 	ibvunze	a	le	front	fermé	parce	qu'	il	a	vu	l'	amant	de	sa	femme	</S>
i	0.768826	0.145695	0.0267537	0.00578496	0.00395514	0.0117754	0.00596017	0.00862263	0.00290157	0.00201571	0.00523152	0.00190137	0.00379477	0.00543024	0.000642195	0.000710047
b	0.96688	0.0230988	0.00413464	0.00122035	0.000357948	0.000533901	0.000299116	0.000812707	0.000225725	5.45128e-05	0.000140604	0.000139275	8.01005e-05	0.000162052	0.000898404	0.000961892
v	0.979527	0.00472603	0.00146368	0.00177627	0.00150241	0.00371346	0.000857735	0.000603345	0.000152356	0.000133015	7.98228e-05	0.000382344	0.000776422	0.00142399	0.000832838	0.00204891
u	0.959809	0.0144475	0.0079323	0.0123021	0.0018445	0.000965916	0.000304001	0.000216289	0.000120752	0.000152704	0.00016395	0.000371439	0.000490712	0.000418722	3.34876e-05	0.000426166
n	0.745932	0.124784	0.0588815	0.0250093	0.0027861	0.0023662	0.00199331	0.00138124	0.000871662	0.00210877	0.00344531	0.010293	0.00941659	0.00302182	0.000527494	0.00718173
d	0.329978	0.206525	0.180596	0.0387415	0.0147673	0.00731203	0.00884599	0.00478475	0.00651243	0.00816199	0.0302348	0.0633587	0.0498871	0.0059049	0.00111602	0.0432735
z	0.384851	0.127929	0.0779971	0.0327714	0.0182105	0.0153286	0.0159053	0.0143479	0.0136936	0.00831132	0.0231053	0.133265	0.0392869	0.00726541	0.0157153	0.0720162
ε	0.679714	0.0545761	0.0232196	0.00333867	0.00697089	0.0254116	0.0220453	0.0164442	0.00669227	0.00557217	0.00482015	0.0240655	0.0258199	0.00395505	0.000540915	0.0968136
a	0.00842318	0.570559	0.335063	0.00810977	0.0068201	0.00226069	0.00436403	0.0047905	0.0108037	0.0128923	0.0125571	0.00185067	0.00720551	0.00225973	0.000544433	0.0114967
d	0.00530873	0.205098	0.500663	0.116028	0.033259	0.00397236	0.00436486	0.00437605	0.0148643	0.0445717	0.0183372	0.0176582	0.0100715	0.00212172	0.00145187	0.017854
í	0.0016148	0.117913	0.258588	0.179402	0.223314	0.0308198	0.0125516	0.00972983	0.0272438	0.0142507	0.0211198	0.0173824	0.0183526	0.00404127	0.0023152	0.0613614
l	0.00207696	0.0529583	0.140449	0.40983	0.272612	0.0274569	0.0171828	0.00707013	0.0121758	0.00699685	0.0115919	0.00794524	0.0083942	0.00287369	0.00110945	0.0192771
e	0.000290557	0.0129746	0.106809	0.15876	0.250809	0.0572376	0.0471813	0.0248591	0.0376474	0.0399525	0.0317852	0.0228103	0.0295839	0.0104592	0.00227732	0.166563
k	0.000824664	0.00692019	0.044161	0.411711	0.317535	0.0510971	0.0393031	0.01256	0.0131012	0.0101699	0.00839063	0.0178727	0.0188178	0.00607477	0.00835136	0.0331091
í	0.00126774	0.00370575	0.0254054	0.650209	0.123497	0.00833607	0.0101779	0.00145094	0.00163121	0.00825957	0.00305076	0.112512	0.0401944	0.00111187	0.00015694	0.00903301
i	0.000399291	0.00191554	0.00975602	0.674695	0.225849	0.0144874	0.0099227	0.00274653	0.00164338	0.00488463	0.0010709	0.0203942	0.013006	0.000491754	0.000610053	0.0181276
t	0.00106391	0.00334611	0.0161613	0.0707656	0.342433	0.210748	0.207488	0.0655197	0.0241223	0.00973193	0.00762526	0.00633271	0.0158309	0.0061322	0.000296434	0.012403
s	0.00162013	0.00277654	0.0131248	0.0253863	0.101868	0.218552	0.39442	0.0674477	0.0294726	0.016	0.0128148	0.0102582	0.0640701	0.0158898	0.000607318	0.0256918
í	0.00137477	0.00205308	0.0082546	0.0680268	0.299759	0.137891	0.133418	0.0338486	0.0154573	0.0120935	0.0103644	0.0295059	0.0809255	0.0173567	0.00233272	0.147338
n	0.000404042	0.00330738	0.0175289	0.119035	0.260123	0.152566	0.167499	0.0617694	0.0352099	0.029903	0.00873455	0.0240083	0.028257	0.00295719	0.000425932	0.0882707
