 	il	est	brûlant	de	fièvre	</S>
w	0.720397	0.183338	0.0613973	0.0336394	0.000979356	0.000249823
a	0.746754	0.137616	0.0133899	0.0884621	0.0136971	8.14006e-05
n	0.17317	0.374859	0.333522	0.0961806	0.00613116	0.0161374
d	0.00979741	0.0207444	0.028862	0.0203102	0.0113839	0.908902
z	0.0539179	0.20142	0.636029	0.0427629	0.0139804	0.0518902
ó	0.0502166	0.117824	0.647724	0.0899578	0.0382072	0.0560699
r	0.0506324	0.0744672	0.310317	0.210202	0.179263	0.175119
o	0.0747251	0.0920317	0.479322	0.223339	0.0419793	0.0886031
é	0.121859	0.134385	0.148811	0.52378	0.0384525	0.0327131
d	0.0867962	0.214031	0.21407	0.370014	0.0442409	0.0708481
í	0.00800733	0.0824187	0.0626636	0.055893	0.0526822	0.738335
l	0.0186175	0.0470142	0.0500757	0.19775	0.212233	0.474309
a	0.0022839	0.00767095	0.0203837	0.0505598	0.196973	0.722129
m	0.00470457	0.0135919	0.0503924	0.121331	0.640495	0.169485
í	0.00145609	0.00277662	0.00131571	0.0312838	0.864668	0.0984997
á	0.00554315	0.0175657	0.00233781	0.0527759	0.834031	0.0877463
</S>	0.0106676	0.0165483	0.0289068	0.134747	0.277106	0.532025
