 	ouvre	la	maison	pour	que	j'	entre	</S>
k	0.46351	0.47064	0.0510514	0.00364881	0.00387689	0.00330582	0.0038214	0.000145761
ú	0.801011	0.141351	0.0507941	0.00171742	0.000824986	0.000591657	0.00335444	0.000355758
m	0.448005	0.239114	0.0988918	0.0376257	0.0281292	0.00563426	0.0203366	0.122263
á	0.342026	0.298308	0.0167364	0.251201	0.0286607	0.00505949	0.0024856	0.055523
n	0.0298376	0.217216	0.550318	0.144678	0.0343178	0.00790586	0.00395949	0.0117678
d	0.00498855	0.122796	0.674845	0.0594087	0.00582442	0.114592	0.00162376	0.0159215
é	0.00401206	0.010626	0.87076	0.0359615	0.00413685	0.0650753	0.00232841	0.00710013
e	0.0339065	0.06202	0.103746	0.271996	0.131475	0.200929	0.0679904	0.127936
b	0.0140697	0.0719931	0.0180945	0.3661	0.36839	0.0989035	0.0157818	0.0466666
a	0.107593	0.0713459	0.00535361	0.232134	0.419477	0.0122554	0.0320018	0.119839
á	0.00502354	0.0531381	0.0112858	0.232241	0.317171	0.081473	0.064557	0.235111
n	0.00185771	0.0102442	0.0266765	0.0637784	0.272562	0.502532	0.0654811	0.0568677
g	0.000158715	0.00439952	0.0231722	0.0186553	0.014088	0.915563	0.0054693	0.0184943
á	0.000261626	0.0040765	0.0662784	0.0425705	0.0299614	0.824944	0.0251979	0.00670919
í	0.00365566	0.010964	0.00359955	0.142461	0.176136	0.285214	0.247941	0.13003
k	0.00250904	0.0149866	0.00989978	0.0460982	0.133736	0.32122	0.382922	0.0886284
ó	0.00472005	0.00214078	0.000145787	0.00907634	0.149794	0.0076006	0.725457	0.101065
a	0.0006704	0.00135922	0.000544162	0.0177947	0.244683	0.0377329	0.426211	0.271005
</S>	0.000959537	0.00386302	0.00123648	0.0177531	0.0636332	0.172588	0.24184	0.498126
