 	onze	a	craché	dans	la	figure	de	son	ami	</S>
o	0.928001	0.0506854	0.0163934	0.00341762	0.000756694	3.97405e-05	0.000258744	0.000360612	8.26697e-05	3.68974e-06
n	0.971672	0.0126889	0.0144004	0.000303003	4.32873e-05	8.42173e-05	5.84531e-05	0.000100809	0.000345127	0.000304032
d	0.384755	0.0640487	0.149992	0.0349012	0.0131415	0.318284	0.00663842	0.00843536	0.0122204	0.00758305
z	0.946918	0.0357124	0.00559098	0.000671563	0.000288697	0.00785432	0.00013073	0.000258703	0.00164692	0.000927583
é	0.891001	0.0649397	0.0105539	0.00417397	0.00153585	0.0202395	0.000570859	0.0013172	0.00236685	0.00330074
á	0.819489	0.133381	0.011774	0.00276085	0.00252734	0.00667259	0.000791475	0.000404118	0.00399719	0.0182026
b	0.0770439	0.690644	0.0814634	0.0538627	0.0254644	0.0156102	0.0139379	0.00749663	0.00336831	0.031109
h	0.0226313	0.42807	0.0939312	0.125069	0.136888	0.0119334	0.0815786	0.0355459	0.0034538	0.0608993
á	0.0349383	0.660001	0.107443	0.0485344	0.0460729	0.00439285	0.0321464	0.0241803	0.00841948	0.0338718
m	0.0170824	0.305459	0.201904	0.214928	0.109562	0.0326036	0.03619	0.0273567	0.0077303	0.0471828
b	0.000512981	0.0458161	0.482842	0.364806	0.092301	0.00183851	0.00394979	0.0027994	0.00169145	0.00344215
i	0.00272172	0.0830588	0.660614	0.167538	0.0733256	0.000816121	0.0014369	0.000762027	0.00644585	0.00328105
o	0.00373747	0.064944	0.499251	0.299286	0.112818	0.000476845	0.0040468	0.00105377	0.00344531	0.0109409
b	0.006726	0.0360698	0.121833	0.537636	0.239334	0.0230789	0.00733261	0.00116571	0.00337329	0.0234507
i	0.00286391	0.225949	0.176389	0.227016	0.298867	0.00255073	0.0122572	0.00229197	0.0189815	0.0328331
a	0.0031401	0.129086	0.104516	0.322673	0.312978	0.0343886	0.0145088	0.00336829	0.0137471	0.0615943
a	0.000613914	0.00891558	0.00762018	0.251521	0.443198	0.186617	0.0383192	0.00608743	0.011092	0.0460159
t	0.00320363	0.0129056	0.00690624	0.107328	0.246658	0.404212	0.0702077	0.0158461	0.0769422	0.0557895
í	0.00146732	0.00495928	0.00633125	0.0937882	0.236128	0.160598	0.128193	0.0284109	0.106369	0.233756
ε	0.000577987	0.00365095	0.00535912	0.0639518	0.155171	0.167484	0.0808111	0.0277596	0.0421134	0.453122
s	0.000242193	0.00183872	0.000851475	0.0278303	0.125102	0.296786	0.305761	0.0998634	0.0494718	0.0922533
á	0.00044304	0.0047199	0.000415047	0.0204196	0.0782684	0.408464	0.178382	0.137494	0.039212	0.132182
m	0.000691658	0.00523366	0.000604078	0.00705499	0.0313315	0.19505	0.245764	0.329141	0.0870773	0.0980513
í	9.1774e-05	0.00585638	0.0421033	0.111408	0.1247	0.0276995	0.145728	0.0986344	0.243041	0.200737
s	0.000132236	0.00643986	0.00788783	0.0319778	0.0688755	0.0287511	0.198676	0.151732	0.276565	0.228963
í	0.000202451	0.000773662	9.99874e-05	0.0040553	0.0172334	0.385534	0.202504	0.189144	0.0744399	0.126013
</S>	0.000153154	0.000980181	0.000121338	0.00314404	0.014705	0.0512837	0.240287	0.195374	0.0300742	0.463877
