 	la	manière	dont	il	est	blessé	au	dos	montre	que	quelqu'	un	l'	a	poignardé	</S>
e	0.135926	0.755755	0.0624975	0.00637657	0.00372323	0.00544576	0.00163694	0.0175095	0.00194737	0.00122558	0.00113226	0.000972243	0.000681509	0.000402366	5.41064e-05	0.00471432
k	0.00248001	0.00376355	0.0123735	0.00229655	0.140099	0.800752	0.00708936	0.0156991	0.000517702	0.00129326	0.00207109	0.00771227	0.00250128	0.000418249	0.00055059	0.000382424
ώ	0.00101136	0.00187231	0.00253757	0.0017586	0.0244555	0.643749	0.00690146	0.266016	0.00430494	0.00861598	0.00826187	0.0195915	0.00905313	0.000588153	0.00050792	0.00077494
s	0.00554548	0.0138933	0.0380013	0.00933365	0.0448277	0.753101	0.0263868	0.0496946	0.0100909	0.00977731	0.0129356	0.0141523	0.00691238	0.00337373	0.000571676	0.00140198
í	0.055739	0.0168656	0.0206015	0.014361	0.0368005	0.0966908	0.0868902	0.0556841	0.0803809	0.0711236	0.0814089	0.108021	0.0846251	0.0128147	0.00578797	0.172205
l	0.047627	0.0117344	0.0186695	0.0850695	0.275317	0.176925	0.118018	0.0154922	0.0360611	0.0249153	0.019065	0.0315755	0.0268555	0.0377439	0.012819	0.0621125
í	0.0133156	0.00916848	0.0114078	0.0326202	0.124118	0.075271	0.0320383	0.00428192	0.0251657	0.0279921	0.0158946	0.0302927	0.0223844	0.0122366	0.0432331	0.520579
y	0.296841	0.215951	0.0813923	0.0808733	0.062597	0.0355813	0.0487317	0.01557	0.0494287	0.0246317	0.0140856	0.00936205	0.0132034	0.0194596	0.00364957	0.0286422
é	0.151678	0.0842634	0.179259	0.0391444	0.0945498	0.0328255	0.0287369	0.0112372	0.0488584	0.0243661	0.018202	0.0276469	0.0311852	0.0218003	0.020592	0.185654
é	0.0367799	0.0703802	0.155867	0.096862	0.206404	0.0823708	0.0264085	0.00768055	0.0408172	0.0257294	0.0270758	0.0182594	0.0226233	0.0170162	0.00825536	0.15747
k	0.00425095	0.00854938	0.0148777	0.0341091	0.366503	0.375462	0.0334831	0.0560925	0.00616322	0.00616096	0.00509403	0.0122116	0.00535007	0.0058677	0.00432925	0.0614955
ώ	0.00185274	0.00193853	0.00322521	0.0112353	0.069277	0.553225	0.0578232	0.236161	0.0102457	0.0091646	0.00692743	0.0131651	0.00662464	0.00345157	0.00199609	0.0136867
s	0.00300356	0.00254854	0.0216111	0.0297679	0.0915147	0.333233	0.11491	0.299182	0.0208213	0.0124334	0.0146516	0.0139139	0.0112034	0.00790576	0.00224099	0.021058
í	0.033463	0.0198781	0.0886254	0.0454318	0.0833084	0.0663722	0.195561	0.163057	0.0799532	0.0407481	0.0399123	0.0371931	0.0385832	0.0133256	0.00266832	0.0519198
w	0.0024828	0.00980331	0.123171	0.468523	0.126902	0.0491347	0.136741	0.0231633	0.0164799	0.0100057	0.00402667	0.00447972	0.0030694	0.00370151	0.0056446	0.0126722
a	0.00859214	0.00828374	0.0616233	0.589085	0.0210852	0.00255411	0.0554657	0.0784177	0.0352575	0.034817	0.0327952	0.0203091	0.0300457	0.00702816	0.00598908	0.0086515
m	0.00187305	0.00441177	0.0627991	0.492501	0.05519	0.0195355	0.205725	0.0532426	0.0302664	0.0224799	0.0116122	0.00681497	0.00773185	0.00523641	0.00981705	0.0107633
ó	0.0128592	0.0154312	0.00789438	0.098998	0.0692498	0.00745742	0.318619	0.0233817	0.130101	0.123114	0.0271377	0.0299522	0.0218769	0.0129826	0.0650585	0.0358865
k	0.0147868	0.0454992	0.0131865	0.0844505	0.0438991	0.0160731	0.162062	0.204486	0.189154	0.0997396	0.0610113	0.0184923	0.0105855	0.00746957	0.0204653	0.00863953
ω	0.000333669	0.000629025	9.65259e-05	0.000527491	0.00219946	0.0128476	0.0149359	0.956333	0.00563405	0.00206904	0.00199042	0.00116833	0.000323595	5.61566e-05	0.000215474	0.000640284
r	6.50742e-05	2.62239e-05	0.000195159	0.00406089	0.00224853	0.00895424	0.0222343	0.924527	0.0106327	0.00708321	0.0103481	0.0038766	0.00251233	0.000843195	0.0007644	0.00162761
ω	0.00083856	0.0011245	0.00228148	0.0131364	0.014352	0.0163232	0.0522075	0.827968	0.0194624	0.0100659	0.0154713	0.00708921	0.00678932	0.00121326	0.000249496	0.0114274
y	0.00355971	0.00344311	0.00914132	0.0362743	0.0571704	0.0125788	0.386742	0.0222197	0.310665	0.0821978	0.0394752	0.016302	0.0100452	0.00752249	0.000968472	0.00169471
é	0.0963135	0.0763021	0.0530828	0.030937	0.0423078	0.00402992	0.0464423	0.0108745	0.416536	0.0778186	0.0813038	0.0189262	0.0188254	0.00763964	0.00423836	0.0144215
e	0.0109022	0.0456172	0.0147712	0.0368347	0.0158506	0.00194653	0.0316146	0.0115038	0.457287	0.148952	0.141348	0.0298989	0.0211321	0.0170651	0.00863484	0.00664064
y	0.00110631	0.0220621	0.00273222	0.00954396	0.0855213	0.0518918	0.0503412	0.0428886	0.173226	0.22121	0.163087	0.0984715	0.0200569	0.0119816	0.0245881	0.0212923
έ	0.00109917	0.00834689	0.0125691	0.00893667	0.11983	0.0165128	0.0452852	0.00683774	0.175932	0.167965	0.166528	0.143879	0.044995	0.0124681	0.0114341	0.0573819
s	0.00106174	0.00373526	0.00331294	0.00702994	0.0312658	0.00737894	0.0628751	0.00686196	0.166018	0.105018	0.120575	0.105803	0.0501131	0.0128492	0.0197886	0.296315
έ	0.00156901	0.000829508	0.00187516	0.00783735	0.0165798	0.00489276	0.063708	0.0902027	0.212279	0.160254	0.216633	0.11756	0.069927	0.00962939	0.00153168	0.0246914
