 	la	tête	de	l'	abcès	est	partie	</S>
i	0.532505	0.32177	0.0812506	0.0187286	0.0395131	0.00607494	4.08313e-05	0.00011632
b	0.0314962	0.848802	0.0160646	0.00834753	0.0833973	0.0046816	0.00270211	0.00450866
o	0.00811405	0.8862	0.0184317	0.012066	0.0673802	0.00104085	0.00216516	0.00460177
ó	0.0461713	0.885187	0.0224278	0.00676399	0.0261398	0.00226297	0.00517723	0.00586991
l	0.162389	0.0226509	0.506663	0.118352	0.0547305	0.0619575	0.00314979	0.0701078
á	0.0343099	0.00241293	0.108624	0.153999	0.0616466	0.0725894	0.0249748	0.541443
i	0.166106	0.00137196	0.22504	0.440332	0.0600765	0.0808066	0.0045815	0.0216857
p	0.0116829	0.00846148	0.0310199	0.160864	0.230821	0.111164	0.374966	0.0710207
i	0.00243799	0.00387813	0.0104496	0.0569772	0.24096	0.0461417	0.607645	0.0315101
a	0.00654927	0.00318014	0.067692	0.229559	0.226012	0.155398	0.196798	0.114812
í	0.00901612	0.00045653	0.0820945	0.22537	0.0835652	0.556143	0.0196839	0.0236706
m	0.00818633	0.00177198	0.0180237	0.0565292	0.0592402	0.516056	0.247426	0.092767
i	0.0057434	0.00117926	0.0358625	0.104758	0.0234119	0.16325	0.249885	0.41591
l	0.0025434	0.0016711	0.00386985	0.00965821	0.0175723	0.0620735	0.62056	0.282052
é	0.00091035	0.000776462	0.000857001	0.00580286	0.00359513	0.0126645	0.700749	0.274645
m	0.000711741	0.000810845	0.00401072	0.0196728	0.0248028	0.0609817	0.650591	0.238418
b	0.0142018	0.00178007	0.0244815	0.0701324	0.0128381	0.140356	0.20273	0.53348
a	0.0319904	0.00634824	0.0685449	0.179269	0.0308408	0.104254	0.0593998	0.519352
</S>	0.0108224	0.00133124	0.0396207	0.0714705	0.0174518	0.188648	0.0820823	0.588573
