 	j'	en	ai	marre	du	mauvais	comportement	de	cet	enfant	</S>
n	0.768798	0.134279	0.069769	0.00179118	0.0114364	0.00481554	0.00301508	0.00327303	0.00257719	0.000158176	8.71114e-05
g	0.996862	0.00135119	0.00157908	2.39166e-06	0.000122948	1.11456e-05	5.81725e-06	1.11457e-05	2.03541e-05	3.2501e-05	1.18304e-06
á	0.985316	0.00817321	0.00566716	9.09203e-05	4.63804e-05	2.94152e-05	1.51333e-05	3.30549e-05	1.36219e-05	0.000613204	2.08515e-06
í	0.157474	0.263912	0.229337	0.0102893	0.0292395	0.0170587	0.0123806	0.0319476	0.0202385	0.0106536	0.21747
m	0.0791241	0.483255	0.312692	0.0697722	0.00405758	0.00154065	0.00389401	0.00912494	0.00145748	0.000697037	0.0343848
i	0.000398382	0.4813	0.362602	0.0866626	0.00457899	0.0093652	0.011369	0.0116097	0.00752215	0.00995075	0.0146412
s	0.00074144	0.181515	0.0954429	0.707039	0.00120494	0.000454904	0.00152333	0.00270645	0.000667464	0.000775342	0.00792888
á	0.001212	0.237556	0.136245	0.616189	0.000523409	6.97272e-05	0.00104282	0.00192354	0.000500354	0.00104583	0.0036924
á	0.00221857	0.139167	0.216018	0.172583	0.024382	0.00381789	0.0256537	0.0308174	0.0413114	0.0284173	0.315613
o	0.0139134	0.139193	0.340267	0.195081	0.163287	0.0315473	0.0320028	0.0174258	0.0505098	0.0126115	0.00416163
l	0.000256038	0.00700237	0.0188979	0.957302	0.00525525	0.00204105	0.00262483	0.00228376	0.000617709	0.00289901	0.000820124
á	0.000127862	0.0149496	0.0653835	0.90896	0.00134119	0.000235903	0.00087524	0.00184914	0.000290854	0.000310372	0.00567662
n	0.000612164	0.0509747	0.0685433	0.658067	0.052966	0.00714487	0.0151052	0.0266356	0.0104443	0.00493598	0.10457
g	0.00220308	0.0247682	0.195834	0.552463	0.114016	0.0109163	0.017651	0.0179302	0.00235664	0.00074623	0.0611155
á	0.00485124	0.0336821	0.205137	0.30118	0.155336	0.0222587	0.0186825	0.0179869	0.00965671	0.00949459	0.221734
m	0.00117306	0.00743556	0.01387	0.00588377	0.347928	0.20075	0.195158	0.0429901	0.153193	0.0237914	0.00782838
w	2.69682e-05	0.000742416	0.000646649	0.00032605	0.00730389	0.427862	0.115594	0.0285508	0.0281289	0.36822	0.0225981
á	0.000354566	0.000351235	0.00073003	0.000352114	0.00282545	0.232566	0.037168	0.00581214	0.00231253	0.715492	0.00203524
n	0.00296996	0.0025739	0.00444475	0.000280104	0.0253175	0.788278	0.026252	0.00391901	0.0107729	0.133239	0.00195302
a	0.0133869	0.0369407	0.0444491	0.0163585	0.0418389	0.0746301	0.135008	0.0682515	0.0839751	0.376485	0.108676
w	0.00143679	0.00317078	0.0136649	0.00355185	0.294482	0.140208	0.211511	0.119581	0.183668	0.00325804	0.0254671
ó	0.00167669	0.00595421	0.022378	0.00648076	0.272191	0.0865852	0.163624	0.176411	0.154511	0.00655272	0.103635
m	0.000606337	0.0014812	0.00205805	0.000638661	0.0872221	0.0855158	0.14814	0.338711	0.225779	0.0098611	0.0999875
é	5.54307e-06	0.00139932	0.00076923	0.000286238	0.018116	0.0983515	0.204218	0.186263	0.346734	0.0567768	0.0870799
y	4.33458e-05	0.00119489	0.00181869	0.0004099	0.0476946	0.0587807	0.115277	0.350504	0.347472	0.0547593	0.0220458
u	0.000252251	0.00187619	0.00324428	0.00278486	0.0284132	0.0090332	0.118708	0.177477	0.457398	0.0964886	0.104325
ú	0.000326592	0.00265476	0.0043079	0.00069264	0.0611851	0.0141285	0.108921	0.177505	0.44923	0.0383821	0.142666
e	5.72399e-05	0.000404129	0.00150104	0.00111646	0.00852598	0.00595111	0.0501801	0.311138	0.136554	0.0133415	0.471231
b	0.000140102	0.00516941	0.0102969	0.00383184	0.0176141	0.0041118	0.0396408	0.329227	0.226667	0.0183989	0.344902
é	8.65762e-05	0.00212852	0.00401678	0.00352235	0.0203351	0.0398603	0.0733218	0.539272	0.122326	0.0599737	0.135157
</S>	0.000138555	0.000591864	0.00127874	0.00290815	0.00902426	0.00671544	0.0254787	0.144098	0.0444606	0.0156495	0.749656
