 	les	chasseurs	sont	revenus	bredouilles	parce	que	l'	un	d'	eux	portait	la	malchance	à	cause	de	sa	soeur	qui	était	enceinte	</S>
a	0.88108	0.110581	0.00327481	0.00171098	0.00105389	0.000417928	0.000438526	0.000341765	0.000251513	0.000307755	0.000314327	2.19832e-05	5.44147e-05	1.72896e-05	2.09644e-05	8.12203e-06	8.71699e-06	3.55542e-05	4.51018e-05	7.7695e-06	3.45277e-06	2.24092e-06	1.51205e-06
b	0.133537	0.800588	0.00940417	0.0449418	0.00471915	0.00121151	0.000786335	0.000638764	0.000631122	0.000463926	0.000461647	0.000564902	0.000211143	0.000258426	0.00026549	7.44224e-05	0.000202258	0.000202305	0.000237008	0.000100229	0.000120953	0.000120562	0.000259238
e	0.0104718	0.979004	0.000805085	0.00599688	0.00146779	0.000406543	0.000602105	0.000218429	0.000174384	0.000130239	0.000262051	8.74367e-05	5.17029e-05	4.92332e-05	3.62771e-05	1.69431e-05	2.9269e-05	3.44825e-05	8.03629e-05	7.91109e-06	1.09694e-05	2.19199e-05	3.45091e-05
n	0.016056	0.929253	0.00293974	0.0240365	0.00305446	0.000948035	0.00187322	0.0011925	0.00127454	0.00110315	0.00177186	0.00505224	0.000923335	0.00263087	0.000547902	0.000670487	0.000659079	0.000568182	0.00119775	0.000367414	0.000249213	0.000295603	0.00333477
g	0.339936	0.414812	0.0970989	0.0102417	0.0127729	0.013645	0.0119095	0.00816039	0.00648676	0.00983094	0.0149521	0.00479222	0.00822	0.0112724	0.00419945	0.00226073	0.0029591	0.00344835	0.00271583	0.00523076	0.00185456	0.000827139	0.0123729
i	0.317404	0.476976	0.0856275	0.0050871	0.0205827	0.00755179	0.00909583	0.00702147	0.00432216	0.00517795	0.00852672	0.00127991	0.00399819	0.0141247	0.00271106	0.000660457	0.00170893	0.00239226	0.00252593	0.00414643	0.00137425	0.00157575	0.0161295
á	0.0616738	0.0297514	0.747791	0.0169166	0.00820523	0.0138566	0.00915884	0.0082722	0.00649626	0.0077518	0.0089089	0.00293601	0.0167204	0.00444873	0.0056716	0.00721788	0.00727211	0.00699061	0.003186	0.00869014	0.0055926	0.000401216	0.0120897
p	0.0132988	0.0193788	0.254797	0.501218	0.0838858	0.00963572	0.0092735	0.00555618	0.00600113	0.0023459	0.00293952	0.0112336	0.00604457	0.0352425	0.00411021	0.00546486	0.00468668	0.00170059	0.000910782	0.00238779	0.00249474	0.00188348	0.0155096
f	0.00150885	0.00785736	0.0433782	0.754616	0.0438251	0.0206797	0.00985294	0.00573588	0.00870332	0.00317116	0.00293881	0.021794	0.00553857	0.0286265	0.00482938	0.00765551	0.00578664	0.00236799	0.0026429	0.00409738	0.00310207	0.00117382	0.0101175
ú	0.00340933	0.00191252	0.0133759	0.944751	0.0176532	0.00583118	0.0014458	0.000726977	0.000916651	0.000462053	0.000429066	0.00299111	0.000602273	0.00225537	0.000376256	0.000788959	0.000485313	0.000207819	0.000161429	0.000302663	0.000202333	3.98464e-05	0.000672535
u	0.0243428	0.0096621	0.17201	0.407051	0.0860269	0.0459504	0.0209928	0.0131099	0.0161556	0.0239082	0.0322582	0.0141336	0.010553	0.0110803	0.00786866	0.0107203	0.0134602	0.0150046	0.0186972	0.00784819	0.011487	0.00430201	0.0233777
o	0.00687789	0.00196756	0.300755	0.12047	0.208947	0.0616516	0.051937	0.0302209	0.0180153	0.0229433	0.0245091	0.00493472	0.0260601	0.00893569	0.0126629	0.00887381	0.0133888	0.0152256	0.00584754	0.0103078	0.00890606	0.00863117	0.0279314
p	0.00205182	0.00350261	0.012434	0.302407	0.482491	0.0701392	0.0352953	0.018317	0.0145748	0.00539811	0.0028216	0.0100951	0.00372095	0.0123127	0.00345651	0.00380339	0.00344405	0.00145622	0.00177694	0.00138418	0.00188202	0.00330435	0.00393117
é	0.000127513	0.00116585	0.0044333	0.71399	0.0543332	0.0528664	0.0142782	0.00809681	0.0161639	0.00538577	0.00216254	0.0577603	0.00260044	0.0172561	0.00359405	0.00740195	0.00576141	0.00224741	0.0125272	0.003669	0.0014806	0.00152003	0.0111776
e	0.000247855	0.000845569	0.0294447	0.592377	0.079665	0.0892925	0.0220768	0.0127206	0.0169493	0.012834	0.0130491	0.0210357	0.00926354	0.0132303	0.00610744	0.0118157	0.0101954	0.00778567	0.0177224	0.0083325	0.00433843	0.000870601	0.0197998
t	0.00104102	0.000155046	0.0421411	0.0432369	0.265581	0.351616	0.105947	0.0486928	0.0228934	0.0212772	0.0106858	0.00324238	0.0134308	0.0069257	0.00699618	0.00739032	0.0080449	0.0083799	0.00314463	0.00970653	0.00691138	0.00236644	0.010193
s	0.00104943	0.000270102	0.01801	0.0710572	0.0536906	0.401559	0.0825247	0.0463991	0.0440003	0.0352775	0.0149582	0.0343619	0.0165584	0.00658253	0.0155486	0.0267575	0.0232187	0.0190916	0.0176271	0.0208951	0.00826664	0.00337857	0.0389175
í	0.000115193	0.00180908	0.00337667	0.101071	0.100731	0.260123	0.0566932	0.0329163	0.0523441	0.04545	0.0161862	0.0128398	0.0172214	0.0323237	0.0191521	0.0143049	0.0288859	0.0594559	0.0276938	0.0470001	0.0134639	0.00661785	0.0502241
n	0.00197264	0.00255665	0.0160144	0.0137556	0.242462	0.268938	0.114091	0.0359094	0.0282611	0.0283802	0.0347273	0.00773462	0.0061211	0.0191104	0.00535109	0.00516876	0.0081579	0.0145741	0.0382498	0.0111499	0.00510371	0.00434151	0.0878686
a	0.00220208	0.00155454	0.00687799	0.0048277	0.181521	0.140294	0.090639	0.044457	0.0256279	0.0208956	0.0267924	0.00842931	0.00961082	0.0331829	0.0139802	0.00338479	0.0125485	0.0149832	0.00841942	0.0181139	0.0148932	0.0639077	0.252857
