 	tourne	le	poisson	que	tu	grilles	là	</S>
k	0.760406	0.170112	0.0173928	0.0299762	0.0059759	0.0133478	0.00239875	0.000391203
a	0.991346	0.00408815	0.00052888	0.00101133	0.00144627	0.000709098	0.000462136	0.000408648
l	0.930599	0.021954	0.00691221	0.0105038	0.00485514	0.0173824	0.00236739	0.00542642
í	0.735644	0.0738596	0.0394655	0.0394137	0.0184325	0.0219887	0.00973573	0.06146
s	0.0945874	0.764989	0.0853331	0.0198284	0.00259784	0.00317431	0.00147449	0.0280154
á	0.140471	0.336877	0.302607	0.0670332	0.0205219	0.0334604	0.0139396	0.0850902
s	0.00745636	0.359963	0.402102	0.171327	0.0248102	0.00945173	0.0116731	0.0132159
w	0.00541344	0.306036	0.563465	0.0514633	0.0181429	0.0112587	0.0182395	0.0259803
é	0.000708245	0.197617	0.400124	0.191837	0.0788829	0.0231847	0.0561556	0.0514904
y	0.0137196	0.165871	0.365885	0.210851	0.0172015	0.0470759	0.027886	0.15151
e	0.0130808	0.405045	0.373546	0.0939645	0.0227312	0.0166362	0.0422948	0.0327019
e	0.00142604	0.129401	0.283786	0.399389	0.0910864	0.052006	0.0125871	0.030318
k	0.0350313	0.00812346	0.0804733	0.202295	0.218271	0.337654	0.0456119	0.0725406
á	0.0256157	0.00530886	0.0577838	0.371418	0.0517534	0.370689	0.0466164	0.0708147
n	0.00594015	0.00395944	0.0599261	0.26794	0.0979642	0.350343	0.0481055	0.165821
g	0.00951663	0.0133127	0.0459187	0.255743	0.341922	0.262033	0.0142842	0.0572698
á	0.0116529	0.125533	0.0728584	0.120017	0.414476	0.127572	0.0129519	0.11494
l	0.00156817	0.0230713	0.0411337	0.14689	0.187461	0.349856	0.174478	0.0755408
á	0.00122224	0.00973592	0.0222598	0.0260768	0.18159	0.452248	0.121923	0.184944
n	0.00103355	0.0261495	0.0263753	0.0940421	0.103136	0.14433	0.558815	0.0461181
ω	0.000160883	0.00665337	0.00495975	0.0145316	0.458558	0.375716	0.0862378	0.0531828
w	4.94126e-05	0.00494955	0.0118673	0.0169974	0.0557078	0.454158	0.152275	0.303996
ú	0.000591221	0.0240153	0.0708484	0.0901947	0.085642	0.219782	0.367	0.141926
u	3.27394e-05	0.00215086	0.00483737	0.0203737	0.0176673	0.073005	0.169075	0.712858
</S>	0.000478791	0.0016633	0.00293586	0.00751614	0.0283992	0.165749	0.174949	0.618309
