 	la	case	a	brûlé	</S>
n	0.54702	0.43343	0.0184237	0.000646792	0.000479125
d	0.0904308	0.907471	0.00190796	0.000149221	4.06469e-05
é	0.0604959	0.937378	0.00143724	0.000547553	0.00014149
e	0.10696	0.814259	0.019308	0.047282	0.0121907
é	0.362614	0.159995	0.411763	0.00397742	0.0616503
m	0.229407	0.116138	0.566028	0.0282644	0.0601623
i	0.0370002	0.018839	0.653307	0.17917	0.111683
b	0.0214596	0.0120232	0.120312	0.747564	0.0986418
o	0.00131395	0.000329643	0.00428914	0.982337	0.0117306
n	0.00332157	0.00043572	0.00474595	0.9083	0.0831968
g	0.0942532	0.0106736	0.0184797	0.396139	0.480454
a	0.157643	0.0909284	0.0147272	0.458648	0.278053
</S>	0.0331536	0.014372	0.163577	0.0607506	0.728147
