 	les	gens	se	rassemblèrent	autour	du	cadavre	</S>
b	0.916041	0.0711798	0.00323947	0.00212938	0.00264054	0.00425412	0.000483786	3.22255e-05
a	0.250396	0.737631	0.00410972	0.000721633	0.00196315	0.000540341	0.00440552	0.000233021
r	0.146426	0.814973	0.0113429	0.00693828	0.00965106	0.00246542	0.00571548	0.00248713
e	0.884553	0.0131099	0.0227719	0.0119213	0.0134221	0.015434	0.00465236	0.0341358
á	0.108729	0.0710718	0.424319	0.254407	0.0555154	0.0405627	0.000556354	0.0448392
b	0.00419871	0.00332894	0.142727	0.675086	0.144346	0.0235001	0.00125792	0.00555533
h	0.00475885	0.020809	0.175145	0.287161	0.395749	0.0721632	0.0282593	0.0159543
í	0.0106323	0.0209669	0.0804561	0.340509	0.496988	0.0370639	0.00750324	0.00588035
n	0.0126819	0.0249899	0.1859	0.228257	0.337822	0.0967161	0.0574198	0.0562135
g	0.0546943	0.0107169	0.286279	0.274702	0.275858	0.0647339	0.00895799	0.0240577
í	0.16333	0.00159344	0.0840901	0.133545	0.470963	0.112489	0.00328109	0.0307077
e	0.010597	0.00218351	0.131799	0.0226161	0.341343	0.43839	0.0166848	0.0363862
b	0.00275458	0.00200268	0.00261652	0.00725459	0.162963	0.37993	0.427603	0.0148761
e	0.00196857	0.0015613	0.000671413	0.000176546	0.0144483	0.0131108	0.966543	0.00151984
m	0.000139348	0.000976778	0.00404625	0.000748895	0.0784442	0.0400469	0.808489	0.0671086
b	0.0009161	0.000112971	0.00300602	0.00104872	0.250147	0.168437	0.23907	0.337262
e	0.0053822	0.000643907	0.00250143	0.000812515	0.0462262	0.0187057	0.844542	0.0811861
</S>	0.00404438	0.000736712	0.00601827	0.0029628	0.118913	0.155782	0.075205	0.636339
