 	notre	aîné	a	déjà	achevé	ses	études	</S>
o	0.38361	0.397998	0.156383	0.0178209	0.0179833	0.0193195	0.00615695	0.000728121
n	0.0111799	0.90105	0.037034	0.0122431	0.0132561	0.00843122	0.0130281	0.00377771
y	0.00400765	0.616959	0.057067	0.0798532	0.0685286	0.0433975	0.0748585	0.0553281
ε	0.00831938	0.814887	0.0205811	0.0316747	0.0332407	0.0358856	0.0273568	0.0280548
b	0.00789046	0.514287	0.0417516	0.0319329	0.0359773	0.0634692	0.146046	0.158646
h	0.221544	0.0718211	0.0108811	0.00516165	0.011089	0.0252082	0.284465	0.36983
í	0.0478838	0.0367577	0.0163566	0.00769754	0.0231957	0.122373	0.163291	0.582445
y	0.0626439	0.121781	0.582344	0.158782	0.0350872	0.0165915	0.00108318	0.0216875
a	0.541534	0.168707	0.163003	0.059737	0.0120722	0.0155614	0.00621899	0.0331661
b	0.895895	0.0293183	0.052105	0.0119254	0.00169107	0.00476816	0.00103507	0.00326154
í	0.977688	0.0140163	0.00561327	0.00140925	0.00044124	0.000591477	0.000176762	6.3711e-05
s	0.992172	0.00149675	0.00318187	0.000846633	0.000277354	0.00054284	9.34286e-05	0.00138882
í	0.701929	0.0149763	0.0938985	0.0668945	0.0168163	0.0161634	0.00237399	0.0869479
á	0.0458317	0.0789211	0.39969	0.325599	0.0778891	0.0243881	0.00291208	0.0447691
m	0.00168613	0.0056573	0.037486	0.530659	0.38517	0.0149145	0.00315154	0.0212757
i	0.0035955	0.00604441	0.0260135	0.219924	0.584303	0.126702	0.00245589	0.0309617
s	0.000169414	0.0112094	0.011146	0.392622	0.519196	0.0354156	0.0173583	0.0128832
á	0.0013268	0.0126234	0.00530289	0.382305	0.540306	0.0420553	0.00606465	0.0100152
á	0.00874192	0.00308137	0.0245893	0.19311	0.21158	0.20797	0.0461331	0.304794
o	0.00220281	0.00327742	0.0307712	0.115712	0.252694	0.497761	0.0725327	0.025048
s	0.000433634	0.00650354	0.00502559	0.0657643	0.577475	0.124102	0.204149	0.0165464
í	0.000372468	0.0109886	0.00460056	0.100066	0.607717	0.184257	0.0601501	0.0318486
á	0.0008761	0.00190676	0.00756295	0.0664568	0.268488	0.217023	0.173291	0.264395
l	0.0137455	0.00248513	0.0205075	0.0559354	0.149018	0.304158	0.141037	0.313113
e	0.0369791	0.00226172	0.00643601	0.0236201	0.124964	0.208326	0.174739	0.422673
k	0.000570946	0.00159064	0.00125861	0.00383644	0.029511	0.206544	0.593246	0.163443
ώ	6.32805e-05	0.000650512	0.000175914	0.000606547	0.00548374	0.0247603	0.926969	0.0412912
ώ	0.000373467	0.00029271	6.35855e-05	0.000233987	0.00183421	0.0125847	0.96363	0.0209871
l	0.000565322	0.0010689	0.00197474	0.00321451	0.0222086	0.221355	0.291163	0.45845
i	0.000210363	0.00157537	0.0029562	0.00785724	0.0256077	0.108896	0.526534	0.326363
</S>	0.00268911	0.00276724	0.0124954	0.0179329	0.034321	0.0997612	0.0767419	0.753291
