 	il	y	a	des	étangs	stagnants	dans	la	vallée	de	la	vouma	</S>
d	0.17563	0.191778	0.119832	0.0421835	0.109918	0.0732691	0.101419	0.0266113	0.051534	0.0164487	0.0905467	0.000720007	0.000110011
z	0.175338	0.130861	0.0523401	0.122979	0.172614	0.0875899	0.0227319	0.0268253	0.0784421	0.0266202	0.0341386	0.0334412	0.0360788
ω	0.0727709	0.110544	0.0193016	0.18365	0.171596	0.180138	0.0424937	0.109245	0.0391147	0.0227251	0.00398054	0.00836734	0.0360728
ω	0.0364934	0.260544	0.0674026	0.162427	0.0334138	0.0375999	0.0411671	0.104429	0.0633683	0.09487	0.0202894	0.00286963	0.0751251
l	0.078332	0.0642913	0.412644	0.15644	0.0725911	0.0384583	0.0888141	0.0294583	0.00984329	0.0129613	0.00880521	0.00074106	0.0266201
á	0.157627	0.0844114	0.133387	0.0430308	0.043403	0.0203287	0.06931	0.0497108	0.029869	0.047474	0.0225037	0.011168	0.287776
w	0.516239	0.0527399	0.0948871	0.0793127	0.0402707	0.0221314	0.0464161	0.022903	0.05841	0.0143867	0.014098	0.0156766	0.0225286
o	0.171448	0.0504008	0.101143	0.119462	0.11588	0.11465	0.0734189	0.0413687	0.0446179	0.0380562	0.0527053	0.0375692	0.0392795
m	0.0491946	0.0305495	0.0613244	0.10641	0.147554	0.275853	0.167215	0.0830421	0.014782	0.02427	0.00697662	0.00593234	0.0268971
á	0.0856089	0.0066623	0.0317275	0.0456761	0.103221	0.105382	0.0989005	0.192275	0.241771	0.0306061	0.0230832	0.0063779	0.0287088
í	0.0280082	0.00824271	0.0387979	0.0836527	0.105949	0.111942	0.18778	0.197366	0.173133	0.0320971	0.00935527	0.00728966	0.0163857
d	0.00625015	0.0133406	0.0722009	0.0479842	0.0186896	0.0228922	0.270882	0.29253	0.172275	0.0565475	0.00997723	0.00321166	0.0132192
í	0.00204004	0.00156283	0.0105863	0.0223119	0.00232932	0.00255825	0.0590167	0.250615	0.380331	0.114158	0.0219139	0.0219827	0.110594
l	0.0043222	0.00129333	0.0167613	0.0316704	0.022227	0.0144443	0.121711	0.242918	0.255886	0.112587	0.0528689	0.0140674	0.109243
i	0.00543525	0.00487676	0.0277856	0.0406187	0.0145373	0.0158515	0.0753708	0.151311	0.300848	0.147755	0.0262386	0.0171866	0.172184
n	0.00168337	0.00179606	0.00621319	0.0166163	0.00693943	0.0323645	0.0369548	0.116762	0.436739	0.299673	0.0170774	0.00971196	0.0174694
g	0.00120431	0.000873004	0.00188271	0.00974757	0.002014	0.00227418	0.00379107	0.0160678	0.827003	0.113926	0.00951226	0.000969999	0.0107334
í	0.000387789	0.000669025	0.00160633	0.0047186	0.00131318	0.00229303	0.00365458	0.0145969	0.800152	0.156273	0.0100127	0.00122275	0.00310036
n	0.000123939	0.000274149	0.00116464	0.00697499	0.00579677	0.00855026	0.0113911	0.0640828	0.544692	0.309044	0.0285871	0.00254096	0.0167776
d	0.00231189	0.00280189	0.00721464	0.0198017	0.0222375	0.0132239	0.021205	0.113549	0.448386	0.293293	0.0127171	0.000834625	0.0424242
í	0.00115557	0.000705992	0.000696995	0.00532768	0.00581876	0.00276379	0.00322298	0.0378337	0.465631	0.41519	0.0175588	0.00133576	0.0427583
</S>	0.00259335	0.00306658	0.0237909	0.0251779	0.0229141	0.0152297	0.0443671	0.0561116	0.118387	0.422832	0.218263	0.00798347	0.0392834
