 	il	se	mit	d'	accord	avec	lui	</S>
w	0.899374	0.0685239	0.0145132	0.0141611	0.00073044	0.00237547	0.00025458	6.74188e-05
a	0.861781	0.0676655	0.0161948	0.0415231	0.00381107	0.00811813	0.000860838	4.59317e-05
a	0.282146	0.57325	0.0729311	0.0435278	0.00560465	0.00849866	0.00335944	0.010682
b	0.0575964	0.635053	0.18993	0.036435	0.0326761	0.023001	0.00640546	0.0189039
ó	0.0450266	0.367608	0.412363	0.119462	0.0173236	0.0169384	0.00240011	0.0188784
n	0.0151689	0.301365	0.351637	0.0837236	0.117467	0.0336597	0.0102198	0.0867586
d	0.0358202	0.216808	0.324537	0.151871	0.0321343	0.040806	0.0139226	0.1841
ó	0.0433491	0.2498	0.410871	0.16541	0.0361769	0.0144006	0.00721795	0.0727743
n	0.0315493	0.0197792	0.0773912	0.46165	0.243147	0.129798	0.0127072	0.0239781
í	0.0117033	0.0135654	0.0361913	0.0890033	0.784266	0.0146592	0.00567098	0.0449401
l	0.0113922	0.0679554	0.0963348	0.14085	0.324942	0.224721	0.0288436	0.104962
a	0.0114957	0.0289963	0.180449	0.106209	0.0714511	0.286878	0.153356	0.161164
w	0.00829058	0.0100507	0.0838317	0.130491	0.0120702	0.39401	0.296012	0.0652435
a	0.00672338	0.016724	0.145421	0.110595	0.0195458	0.197114	0.422663	0.0812135
</S>	0.00116273	0.00238745	0.030131	0.0140609	0.00174026	0.344512	0.288104	0.317902
