 	le	pic	pointillé	est	en	train	de	poursuivre	le	termite	</S>
o	0.72043	0.139375	0.053382	0.0329869	0.00819076	0.009385	0.0316948	0.00054529	0.00365067	0.000247995	0.000111622
k	0.0845711	0.659713	0.163866	0.0331235	0.00402679	0.0107714	0.00331302	0.027993	0.00339924	0.00569249	0.00353062
u	0.0409904	0.698664	0.0458076	0.064632	0.00198015	0.00577567	0.00287834	0.102817	0.00606921	0.020737	0.00964884
m	0.0250913	0.655506	0.0934084	0.122834	0.0135459	0.00943322	0.00911183	0.0406543	0.00523159	0.0117675	0.013416
a	0.583287	0.0663617	0.142496	0.105164	0.0251357	0.0173906	0.0325005	0.00730212	0.00777736	0.00307609	0.00950941
k	0.0744876	0.0269781	0.231526	0.225584	0.106171	0.00669179	0.246983	0.017866	0.0198601	0.000601758	0.0432514
ó	0.0682522	0.0120619	0.107508	0.111567	0.0874889	0.0672359	0.118403	0.315675	0.0224359	0.0103539	0.0790181
b	0.0988865	0.0142778	0.0710246	0.0681469	0.0499188	0.184232	0.349034	0.128027	0.0212293	0.00384882	0.0113736
ó	0.0908602	0.00509276	0.065647	0.0865308	0.0408636	0.0219024	0.138292	0.412814	0.085441	0.0196852	0.0328703
m	0.0192805	0.0046181	0.0668947	0.0608713	0.0989872	0.242567	0.260478	0.0791787	0.100603	0.0159852	0.0505358
ó	0.025776	0.0091519	0.0241349	0.0570952	0.0229133	0.000785685	0.0664007	0.402276	0.194625	0.0502489	0.146592
o	0.0193887	0.0044286	0.0115612	0.0214429	0.0279152	0.00725131	0.0681788	0.303769	0.194176	0.318081	0.023807
l	0.00361917	0.00640898	0.00511508	0.0205136	0.021456	0.001825	0.0243739	0.390027	0.203068	0.232105	0.091488
ω	0.0068987	0.022205	0.00868928	0.015582	0.0204987	0.00234357	0.00477328	0.382611	0.094289	0.317509	0.124601
n	0.00100137	0.00187872	0.0224236	0.00912133	0.0115988	0.00160198	0.00719695	0.429349	0.112747	0.335692	0.0673904
d	0.00329039	0.00353824	0.0499313	0.0193488	0.0260198	0.00113837	0.0303652	0.275662	0.186909	0.302109	0.101688
ω	0.00287034	0.00342188	0.0229944	0.0159261	0.041422	0.00112457	0.017061	0.107585	0.142689	0.48747	0.157435
l	0.00508123	0.000504461	0.0307916	0.00738201	0.0184267	0.000662088	0.0155071	0.0121819	0.435222	0.240671	0.23357
ε	0.00648787	0.00250509	0.013227	0.0120304	0.0198975	0.00138694	0.00755244	0.0565846	0.139038	0.577614	0.163676
n	0.00389727	0.00116738	0.00406667	0.00329266	0.00256851	0.000174339	0.00373095	0.0180929	0.139357	0.574644	0.249008
d	0.00212081	0.000857222	0.00614681	0.00116879	0.00283753	8.33935e-05	0.000526563	0.00674536	0.0694555	0.823488	0.0865704
w	0.000843076	0.000465823	0.00373648	0.000275318	0.000534819	4.90792e-05	0.000136241	0.00472365	0.0154782	0.869733	0.104024
ε	0.000175028	0.000479101	0.00044674	0.000573995	0.000285099	1.89584e-05	5.84204e-05	0.0035598	0.00743822	0.967383	0.0195818
n	0.000127815	0.000190042	0.00155724	0.000779935	0.00176491	7.05525e-05	0.000334389	0.0130334	0.0625234	0.500937	0.418682
g	0.000583166	0.00154041	0.00792256	0.00233373	0.00395828	9.92857e-05	0.00106751	0.0168666	0.0661561	0.721173	0.178299
ε	0.000883281	0.000130639	0.00734979	0.000466808	0.00396749	0.00140957	0.000901811	0.00737165	0.0161513	0.901772	0.0595953
</S>	0.00569588	0.00288881	0.0142173	0.0264319	0.0149199	0.000212541	0.00612386	0.00673317	0.151404	0.221526	0.549847
