 	le	chasseur	a	tué	une	antilope	mâle	</S>
o	0.750557	0.223461	0.007071	0.00598936	0.00753992	0.00451374	0.000369734	0.000498113
b	0.124099	0.834696	0.0127243	0.00696886	0.00194214	0.00399118	0.0138665	0.00171268
e	0.072975	0.80486	0.00361469	0.108266	0.00103435	0.005321	0.00361664	0.000312531
n	0.107759	0.848678	0.00789865	0.0201096	0.0033739	0.00695929	0.00205889	0.00316328
g	0.736744	0.191177	0.0221303	0.0147617	0.0137497	0.00589577	0.000870529	0.0146712
i	0.270095	0.610096	0.0311552	0.0547001	0.0158134	0.00850454	0.00175812	0.00787735
á	0.0985205	0.00809965	0.782504	0.021359	0.0551892	0.0115194	0.00182523	0.0209827
b	0.0226303	0.00414354	0.54943	0.149253	0.14499	0.0672304	0.0051503	0.0571723
o	0.00338242	0.00736505	0.113433	0.61273	0.131437	0.099464	0.00858103	0.0236072
m	0.0125808	0.0026521	0.0599517	0.524256	0.182478	0.161683	0.030759	0.0256395
i	0.0653551	0.00147998	0.0784712	0.167432	0.295959	0.264756	0.0499517	0.0765955
t	0.0287147	0.00132615	0.145929	0.0154721	0.467807	0.21573	0.0500708	0.0749501
á	0.0145628	0.000575387	0.0612244	0.0227842	0.209014	0.447888	0.129919	0.114033
á	0.00599624	0.000252857	0.0605932	0.00339971	0.175429	0.164745	0.045025	0.544559
y	0.0108478	0.000832802	0.0448874	0.0067963	0.22123	0.370249	0.203125	0.142031
a	0.0061249	0.000223835	0.0115083	0.00325972	0.105406	0.244085	0.300757	0.328635
m	0.0129141	0.000348232	0.0159901	0.000677111	0.0856247	0.155962	0.519339	0.209145
b	0.00206958	0.000295544	0.00166652	0.00132618	0.0150396	0.254055	0.0675029	0.658044
v	0.00204027	0.00140179	0.000400301	0.00455242	0.0227771	0.621888	0.055538	0.291402
u	0.00181422	0.0023077	0.000882067	0.0060431	0.0446076	0.502635	0.0616867	0.380023
l	0.00152147	0.000122223	0.0020671	0.00302643	0.0314083	0.165281	0.147412	0.649161
u	0.00855662	0.000268637	0.00181255	0.000335093	0.0292089	0.131929	0.156642	0.671248
</S>	0.00138522	3.51276e-05	0.00353004	0.00027515	0.020355	0.0263703	0.109302	0.838747
