 	il	est	adroit	de	ses	mains	</S>
w	0.803599	0.164235	0.0104127	0.0100318	0.0104212	0.00115004	0.000150949
a	0.741372	0.11246	0.00112431	0.0161171	0.117733	0.0110513	0.000142649
a	0.280211	0.530503	0.13672	0.0284304	0.00801522	0.0022116	0.0139093
d	0.0387285	0.473567	0.343029	0.0558103	0.034084	0.00870454	0.0460773
í	0.0224207	0.334823	0.516414	0.0463294	0.00348482	0.000706007	0.0758217
l	0.00871814	0.036659	0.545963	0.120913	0.0317873	0.00352149	0.252438
a	0.0502453	0.046624	0.305211	0.30872	0.0554411	0.00632464	0.227433
i	0.0564726	0.134245	0.366576	0.240266	0.032698	0.0320336	0.137709
k	0.00311019	0.0298192	0.253386	0.320054	0.0322529	0.129245	0.232132
ω	0.00150034	0.00467408	0.0408871	0.102987	0.016853	0.705229	0.12787
n	0.0015445	0.00372154	0.00720321	0.0736695	0.0369337	0.837084	0.0398438
g	0.0264543	0.0313642	0.0864298	0.482059	0.058394	0.160805	0.154493
ώ	0.0632338	0.0190897	0.00907528	0.243329	0.309849	0.247988	0.107436
</S>	0.00843349	0.00297435	0.00459515	0.249866	0.274676	0.103483	0.355972
