 	il	a	mal	aux	yeux	</S>
w	0.525728	0.276504	0.128726	0.0646182	0.00202137	0.00240207
a	0.462239	0.169456	0.0530363	0.294775	0.019761	0.000731641
m	0.364763	0.374286	0.125209	0.0980277	0.013809	0.0239054
í	0.0219033	0.0429381	0.0655513	0.0489403	0.778436	0.0422315
s	0.0678033	0.291245	0.137277	0.125659	0.339486	0.0385294
i	0.052021	0.119865	0.180284	0.13638	0.192681	0.318769
m	0.0483247	0.143877	0.342038	0.225736	0.0534815	0.186542
á	0.112195	0.0792591	0.0825474	0.290386	0.396798	0.0388146
a	0.255891	0.13618	0.167902	0.292526	0.119244	0.0282571
l	0.0121517	0.113101	0.328179	0.223144	0.16826	0.155163
a	0.00496031	0.0704282	0.375604	0.108109	0.108601	0.332298
n	0.00991876	0.0455343	0.280562	0.272496	0.161007	0.230482
d	0.00440092	0.0252695	0.357737	0.29021	0.154824	0.167559
a	0.00190962	0.00629093	0.0856356	0.0830389	0.363892	0.459233
</S>	0.00348075	0.0163407	0.160308	0.0916329	0.0382312	0.690006
