 	oyibha	est	en	train	de	prélever	de	l'	arachide	comme	tribut	à	l'	entrée	de	la	vouma	</S>
o	0.856284	0.0353871	0.068826	0.00783704	0.0138849	0.00287369	0.00507756	0.00278609	0.000632004	0.00186602	0.000301934	0.00109856	0.00104128	0.000809235	0.00049528	0.000693983	4.45172e-05	6.05457e-05
y	0.318739	0.21104	0.196564	0.134807	0.01492	0.0125781	0.00648593	0.00650225	0.00841821	0.014329	0.0120729	0.00938023	0.0175242	0.0120653	0.00351563	0.00641772	0.00167121	0.0129687
í	0.514028	0.211692	0.0595114	0.00606868	0.0105922	0.00168899	0.00932564	0.010202	0.0289699	0.00284773	0.0945768	0.00833156	0.00667066	0.00867314	0.0025591	0.0040408	0.00824057	0.0119808
b	0.0657175	0.314444	0.0963424	0.00860051	0.00756368	0.00490581	0.00640792	0.00697076	0.0342092	0.00420828	0.0260098	0.0055727	0.00672127	0.0144526	0.00301749	0.00339416	0.00943868	0.382023
h	0.0940031	0.306393	0.222011	0.060924	0.153327	0.0891556	0.0155551	0.00509362	0.00119503	0.00473139	0.00110085	0.00211975	0.00312357	0.00255327	0.00793692	0.00469133	0.00138771	0.0246985
á	0.192483	0.0789283	0.172053	0.0201155	0.16019	0.169428	0.0299958	0.0113095	0.00450035	0.0128189	0.00294579	0.0126844	0.0102861	0.00915857	0.012756	0.00455097	0.0035477	0.0922495
b	0.0487616	0.20499	0.116463	0.0228436	0.438117	0.0769326	0.0508167	0.0104572	0.0030536	0.00544655	0.000275194	0.0012172	0.000665345	0.00031469	0.00363054	0.00146775	0.0016377	0.0129103
ó	0.189252	0.0466212	0.0226038	0.00930062	0.061212	0.47902	0.0806911	0.0238143	0.00245794	0.00439471	0.000432833	0.00225309	0.00740158	0.0207685	0.0132179	0.0133105	0.00423772	0.0190104
l	0.0401157	0.119006	0.286512	0.0109532	0.179912	0.115741	0.139643	0.0506256	0.0179502	0.00689607	0.00426417	0.00284329	0.00188971	0.0034252	0.00242614	0.00329101	0.00324952	0.0112554
á	0.0320358	0.0276332	0.0100478	0.00106569	0.0331302	0.183923	0.229157	0.098055	0.0626335	0.0577544	0.0137759	0.0245323	0.0180241	0.0126245	0.0261908	0.0164313	0.00846535	0.144521
a	0.112754	0.0656217	0.0107366	0.00200595	0.0240797	0.0449022	0.208507	0.244423	0.158456	0.0446692	0.0184315	0.00448134	0.00652215	0.010619	0.0122374	0.00887306	0.00425154	0.0184278
t	0.00901781	0.010282	0.0028488	0.000432099	0.00448751	0.261112	0.172043	0.0894881	0.39408	0.0143987	0.026659	0.0010655	0.000330998	0.000325693	0.000696171	0.000835185	0.001691	0.0102059
á	0.00179364	0.0159832	0.00578425	0.000632302	0.00234154	0.337893	0.190779	0.0986041	0.232739	0.0101955	0.0196652	0.00387969	0.00131073	0.00142954	0.00412549	0.00342244	0.0053422	0.0640795
b	0.00196712	0.00856844	0.00609489	0.0027009	0.00641772	0.175808	0.249837	0.120028	0.173255	0.019262	0.0330247	0.00394413	0.00140063	0.00141234	0.00296842	0.00429143	0.0115384	0.17748
h	0.00327285	0.00200501	0.00141958	0.000303146	0.00183463	0.0860496	0.269198	0.325562	0.092537	0.0825502	0.0348288	0.0213789	0.0116555	0.0111395	0.0101233	0.0103569	0.0027662	0.0330193
á	0.000304646	0.00551133	0.014435	0.00423055	0.0111316	0.0453116	0.193063	0.309629	0.101296	0.0662146	0.0426175	0.0266021	0.0183115	0.0230793	0.0237632	0.00720327	0.00476005	0.102536
á	0.000196257	0.0016324	0.00135777	0.0002332	0.00287594	0.00254938	0.068454	0.282176	0.0944876	0.386991	0.0425416	0.0445719	0.0199411	0.0119047	0.0151268	0.0152049	0.00544223	0.00431331
n	0.00973706	0.00330907	0.00101366	0.000111994	0.00373111	0.00409931	0.0304612	0.101119	0.207666	0.342084	0.109899	0.0557012	0.0335941	0.0367422	0.0201705	0.0278465	0.00781503	0.00489966
d	0.000628184	0.000757526	0.000123897	0.000266594	0.000374526	0.0001843	0.00370539	0.0606056	0.246211	0.143937	0.11751	0.0894965	0.128207	0.180567	0.015605	0.00681575	0.000644466	0.0043601
z	4.0728e-05	0.000157739	5.78499e-05	6.21688e-05	0.000110415	9.38326e-05	0.00115971	0.0195688	0.19248	0.0706176	0.506311	0.0489485	0.0375369	0.11209	0.00287998	0.00211761	0.000548725	0.00521874
o	1.32777e-06	4.43319e-05	1.31771e-05	8.21804e-06	1.24253e-05	2.94949e-05	0.00107998	0.0127839	0.0581124	0.0203191	0.722572	0.0589002	0.031702	0.0869474	0.00218003	0.00202672	0.000856351	0.00241093
ó	0.000124746	0.000245525	0.000332673	0.000229073	0.000431834	0.00066392	0.0109799	0.0318571	0.0384148	0.0395197	0.338975	0.0664212	0.0683021	0.314476	0.0270402	0.00891938	0.000460077	0.0526068
m	2.67579e-05	0.000223883	0.000225547	8.75461e-05	0.000405324	0.000274616	0.00662134	0.0185066	0.00688456	0.126654	0.0146181	0.0981838	0.208867	0.167709	0.227688	0.0879607	0.00317195	0.0318919
ó	0.00038555	0.000673103	0.000197699	2.07215e-05	0.000214767	0.00037696	0.00301807	0.0128116	0.00796328	0.0987834	0.0692834	0.19498	0.146181	0.0855017	0.10995	0.0689361	0.0819978	0.118725
n	0.000333958	0.00188772	0.000587563	0.000184206	0.000541342	0.00076091	0.00451143	0.00486976	0.00593449	0.0167745	0.0359796	0.0597456	0.0928564	0.176091	0.129452	0.244796	0.13783	0.0868631
ω	0.000544606	0.000451522	0.000378912	0.00102063	0.000310719	0.000211083	0.00133161	0.0045841	0.00330792	0.00443181	0.0120192	0.0792763	0.210842	0.494054	0.0776944	0.0665885	0.0108576	0.0320945
ω	0.000438687	0.000464076	0.000188345	0.000134872	0.000185935	5.79525e-05	0.000857927	0.00482323	0.00268209	0.0115937	0.0239641	0.0399682	0.116386	0.555931	0.126455	0.0541199	0.00711993	0.0546295
m	0.000919859	0.00115731	0.000220996	2.31284e-05	0.000285817	0.000414935	0.00436219	0.00601545	0.00543614	0.0146122	0.0507017	0.125492	0.169163	0.0965156	0.132805	0.250353	0.0626394	0.0788823
á	0.00015181	0.00139753	0.000261813	9.37313e-05	0.000168785	0.000391276	0.0014568	0.00145113	0.000695775	0.00127256	0.000279598	0.0121062	0.0348149	0.0208993	0.0412709	0.0913839	0.666836	0.125068
w	0.000190906	0.00340546	0.00131876	0.00053684	0.00103329	0.00030773	0.00424396	0.00393043	0.00155043	0.0103309	0.00269378	0.036856	0.0452694	0.0230409	0.0544186	0.1795	0.498874	0.132498
o	0.00374369	0.00200801	0.00205978	0.000773624	0.00162281	0.0034774	0.00770719	0.00730098	0.00182785	0.00611593	0.00932823	0.0346925	0.0484917	0.0519997	0.0541432	0.269603	0.380938	0.114167
m	0.00227492	0.00136532	0.000672507	0.000201314	0.000459766	0.000630896	0.00222322	0.00240318	0.000916762	0.00426313	0.00747671	0.0334368	0.0719771	0.183743	0.131835	0.193326	0.207076	0.155718
á	0.000119678	0.000932564	0.000569928	0.000148036	0.000203266	0.000262921	0.00187547	0.00173734	0.00159223	0.00154101	0.000957866	0.0518301	0.0593876	0.0237117	0.0319761	0.115762	0.640321	0.0670716
</S>	0.000218108	0.00275678	0.00166913	0.00146611	0.00105068	0.000534069	0.00379458	0.00389969	0.00133319	0.00691912	0.00322392	0.024044	0.0544831	0.040093	0.0976779	0.21783	0.264305	0.274702
