 	cette	femme	a	défendu	à	son	enfant	de	proférer	des	injures	</S>
o	0.849348	0.0659651	0.00666054	0.00631719	0.0172819	0.0165091	0.00406838	0.00617796	0.0194145	0.00764581	6.49416e-05	0.000547045
y	0.0736991	0.920269	0.00135253	0.000790761	0.00051605	0.000345136	0.000389715	0.000566462	0.000174905	0.000407743	0.000280382	0.00120813
ú	0.955814	0.0411104	0.000216257	0.000942378	0.000578233	0.000699147	5.74938e-05	7.5883e-05	0.00010902	0.000115365	0.000173575	0.000107998
r	0.938789	0.0464066	0.000154619	0.00137126	0.00222235	0.00327684	0.000584098	0.000861359	0.00126335	0.000975931	0.000431486	0.00366276
u	0.889614	0.050189	0.00547966	0.00573832	0.00710026	0.0163763	0.00765163	0.00484923	0.00316332	0.0035111	0.00121553	0.00511206
w	0.139233	0.167632	0.40139	0.0577411	0.0233914	0.0274049	0.0194141	0.0300319	0.0326051	0.036804	0.00588074	0.0584716
ó	0.293	0.0320457	0.185805	0.0748927	0.0460514	0.0471384	0.027297	0.0692568	0.0227151	0.0360919	0.0685026	0.0972035
á	0.0246483	0.00242367	0.703916	0.0865333	0.0318027	0.0205747	0.00742029	0.0265125	0.011893	0.0211669	0.00709181	0.0560166
y	0.00270437	0.00382365	0.301492	0.576545	0.0385375	0.00504161	0.00143018	0.00499123	0.00901476	0.0113181	0.00973278	0.0353687
ú	0.134462	0.0123496	0.100249	0.656843	0.0456727	0.0148304	0.0012522	0.00305898	0.00295122	0.00554272	0.0032334	0.0195559
ú	0.391972	0.0114269	0.0665659	0.377476	0.0692167	0.0244788	0.0123724	0.00857793	0.00666975	0.00803721	0.000800575	0.0224066
m	0.00606999	0.000200119	0.184241	0.266975	0.188357	0.122348	0.0551929	0.0571106	0.0481618	0.0318821	0.0072769	0.0321849
u	0.00291488	0.000781723	0.0497905	0.118625	0.154704	0.297865	0.285995	0.0575815	0.0125035	0.0124427	0.000332354	0.00646299
m	0.00196374	0.000498886	0.0860142	0.189621	0.350474	0.133893	0.120932	0.0527014	0.0314758	0.0183816	0.00107113	0.0129732
w	0.00071293	0.00134922	0.025462	0.0455597	0.164818	0.191509	0.437979	0.0686757	0.0236402	0.0196448	0.000918591	0.0197308
á	0.00146149	0.000258239	0.00519644	0.0344393	0.286324	0.262265	0.264617	0.0721994	0.0500331	0.00921564	0.00594897	0.00804181
n	0.0247611	0.000266322	0.0113438	0.0154063	0.0612471	0.244707	0.523252	0.0481003	0.0328486	0.0101805	0.00335015	0.0245368
a	0.0369714	0.00324942	0.0134697	0.0609235	0.175324	0.214234	0.130238	0.0872461	0.0526031	0.0413682	0.0129414	0.171432
m	0.0086766	5.85385e-05	0.0424396	0.0453308	0.13597	0.228404	0.0334463	0.26111	0.117959	0.0904274	0.0206452	0.0155326
í	0.00361417	0.000122982	0.0114272	0.00993532	0.0663536	0.164169	0.130133	0.174365	0.0757607	0.147258	0.00945465	0.207405
k	0.00088054	6.33048e-05	0.00347989	0.00549166	0.0676256	0.0617623	0.105488	0.153428	0.213465	0.148371	0.185065	0.0548795
y	0.000230452	8.6486e-06	0.00133693	0.00645304	0.0554341	0.00982916	0.00324304	0.0525685	0.0811627	0.044895	0.632663	0.112175
a	0.000196773	2.84505e-06	0.000695531	0.00556954	0.0326724	0.00954977	0.00452227	0.0611068	0.18991	0.0749905	0.518418	0.102366
l	0.00018209	2.16468e-06	0.00153444	0.00598443	0.015581	0.0152983	0.00793065	0.172048	0.128424	0.133102	0.217821	0.302092
í	0.00167281	1.23422e-05	0.0030607	0.00786142	0.0314109	0.033213	0.0178641	0.126289	0.28723	0.182118	0.0990126	0.210256
t	0.00846654	3.41127e-05	0.00555415	0.00324025	0.0090884	0.0441289	0.0347659	0.104119	0.192351	0.301694	0.0776884	0.21887
ú	0.00206965	7.43908e-06	0.00153854	0.00246563	0.00738705	0.00928724	0.00315092	0.0260064	0.00923843	0.0288228	0.873996	0.0360298
u	0.000970991	3.52692e-05	0.000342897	0.0046054	0.0174158	0.00986994	0.00501538	0.0398339	0.0300618	0.0712847	0.644557	0.176007
</S>	0.00116756	6.30988e-06	0.00164139	0.00174277	0.00587285	0.00664625	0.0039786	0.0905659	0.0760522	0.223333	0.0694091	0.519585
