 	si	ce	guérisseur	te	soigne	tu	seras	guéri	</S>
n	0.430319	0.17651	0.197559	0.0630734	0.116505	0.00862396	0.00652378	0.000418629	0.000466873
g	0.0505116	0.122969	0.806958	0.00990756	0.00679901	0.00229625	0.000376211	0.000128726	5.35249e-05
a	0.0629947	0.192681	0.663269	0.0166345	0.0155151	0.0374539	0.00929718	0.00183841	0.000316803
n	0.0792245	0.299804	0.507991	0.0453435	0.00692487	0.031397	0.0163886	0.00867734	0.00424868
g	0.247299	0.131061	0.079281	0.0981763	0.00998165	0.0135554	0.0381832	0.0117292	0.370733
a	0.209561	0.364153	0.288267	0.0663974	0.00326002	0.0346888	0.0165709	0.00201158	0.0150906
w	0.162676	0.179549	0.133526	0.318619	0.0605074	0.0730429	0.0300495	0.0108757	0.031154
ó	0.10684	0.28793	0.169098	0.121036	0.0394606	0.0582326	0.0507706	0.0113831	0.155249
w	0.0956556	0.157517	0.0987047	0.300373	0.0546414	0.0605937	0.012823	0.00489194	0.2148
á	0.106151	0.246267	0.208946	0.158591	0.0668976	0.0711281	0.0332828	0.0119405	0.0967952
á	0.0410369	0.0834484	0.143298	0.224198	0.197061	0.13332	0.0229967	0.00468236	0.149959
a	0.00870908	0.00435594	0.0110818	0.115225	0.205439	0.260813	0.285493	0.0699303	0.0389518
k	0.0197131	0.00894495	0.0138806	0.0781773	0.212451	0.174451	0.248618	0.115335	0.128429
á	0.00520599	0.00312097	0.00187916	0.0246555	0.380258	0.224831	0.292575	0.0325	0.034975
r	0.00281453	0.00817779	0.01431	0.046414	0.54858	0.134613	0.114659	0.0167045	0.113728
í	0.00713902	0.0149245	0.0161388	0.0963159	0.215972	0.34862	0.224301	0.00525285	0.0713363
n	0.00773246	0.0209204	0.0897517	0.23846	0.18497	0.235163	0.0917766	0.0556755	0.07555
ω	0.0203213	0.0157876	0.0416631	0.127048	0.036837	0.541334	0.134953	0.0351962	0.0468605
l	0.00281418	0.00999661	0.0369382	0.125625	0.0784835	0.216661	0.137392	0.19432	0.197769
o	0.00710864	0.00699962	0.00738027	0.0712786	0.0687712	0.0827269	0.130373	0.170292	0.45507
o	0.0047757	0.0116635	0.00877434	0.0510188	0.0202312	0.0517047	0.0885871	0.339976	0.423269
y	0.000449762	0.000126656	5.0092e-05	0.00138773	0.00302252	0.00522317	0.136068	0.703982	0.14969
w	0.00191451	0.0010368	0.00127717	0.0117407	0.00684219	0.0452659	0.0890826	0.550548	0.292292
ω	0.00539788	0.00110594	0.00101866	0.0167533	0.0153332	0.0279759	0.0407884	0.17913	0.712497
ω	0.000145595	0.000158834	0.000131811	0.00825214	0.0103156	0.00999429	0.110792	0.204227	0.655982
</S>	0.00309251	0.0025184	0.000323192	0.00958333	0.0051936	0.00515806	0.0691377	0.0600028	0.84499
