 	ces	feuillles	sont	larges	</S>
k	0.491738	0.4946	0.0111569	0.00233328	0.000172297
á	0.0343456	0.960178	0.0012234	0.00356427	0.0006884
s	0.0281785	0.850345	0.0147513	0.0143183	0.0924067
i	0.112225	0.872232	0.00281855	0.00159086	0.0111334
y	0.298846	0.557473	0.122753	0.00173351	0.0191946
é	0.314126	0.444791	0.179716	0.0167389	0.0446276
é	0.551215	0.119232	0.267365	0.0164579	0.04573
d	0.100497	0.0681308	0.612719	0.114022	0.104631
í	0.0349224	0.0071558	0.171558	0.384986	0.401377
n	0.0800536	0.00750277	0.165116	0.350496	0.396832
d	0.0877328	0.0204457	0.236799	0.599532	0.0554904
a	0.010217	0.00473476	0.0292195	0.896493	0.0593359
á	0.0353353	0.0107806	0.210059	0.466811	0.277014
n	0.0172282	0.00538906	0.19553	0.416277	0.365575
d	0.0137947	0.00190604	0.0757717	0.678001	0.230526
a	0.00898134	0.00727299	0.0318896	0.841221	0.110635
á	0.00214343	0.00508157	0.0239543	0.317091	0.651729
</S>	0.00473711	0.00234521	0.050172	0.28397	0.658776
