 	cette	année	les	régimes	de	bananes	sont	gros	</S>
ε	0.757056	0.184133	0.0231644	0.0129142	0.0128284	0.00543623	0.00375884	0.000296318	0.000412898
b	0.0820196	0.856971	0.0137332	0.0143776	0.00552052	0.0213477	0.00193329	0.00250507	0.00159149
h	0.00646148	0.978579	0.00127929	0.00262524	0.000821886	0.00880857	0.000111058	0.00103503	0.00027854
a	0.0164193	0.961151	0.00192442	0.00281743	0.00179286	0.00591848	0.000331053	0.00754074	0.00210474
n	0.422229	0.362571	0.0445353	0.0262781	0.0225617	0.00959006	0.010339	0.0441372	0.0577588
á	0.361402	0.405059	0.0413333	0.00835166	0.0106407	0.00449351	0.00184624	0.00469834	0.162175
a	0.11622	0.0289758	0.515931	0.135975	0.137247	0.0258137	0.0203497	0.000561917	0.0189257
y	0.0892385	0.0140829	0.358688	0.288131	0.159034	0.0429978	0.0254319	0.00401727	0.0183789
é	0.216305	0.00638096	0.218669	0.0967599	0.139684	0.0516395	0.0927653	0.0233784	0.154419
a	0.0340743	0.00279269	0.193627	0.0678588	0.210977	0.0772126	0.101374	0.0208269	0.291257
k	0.0173773	0.00516671	0.189297	0.14553	0.219611	0.147635	0.171706	0.0217368	0.0819398
ω	0.000850796	0.00343333	0.00533567	0.210648	0.0382414	0.702602	0.00816653	0.0113132	0.019409
á	0.00655433	0.0211509	0.022998	0.200869	0.0522385	0.647458	0.0118241	0.0221189	0.0147881
d	0.0124254	0.00331717	0.0435688	0.0123807	0.122511	0.022207	0.514453	0.13221	0.136927
í	0.0144673	0.000498811	0.0130101	0.00566472	0.0514098	0.0314458	0.204453	0.354944	0.324107
a	0.00895413	0.00127432	0.0711552	0.016341	0.105838	0.019621	0.19052	0.240022	0.346275
n	0.00721348	0.0131555	0.016216	0.0125196	0.0229833	0.0530815	0.135447	0.476079	0.263304
έ	0.0272807	0.0018744	0.0097429	0.000789814	0.00572419	0.00242928	0.0517083	0.696745	0.203706
a	0.000499891	0.000403302	0.0107469	0.00845934	0.0253861	0.0121971	0.0656768	0.378829	0.497801
n	0.0114785	0.00209484	0.018922	0.00141319	0.015125	0.00194655	0.162308	0.288333	0.498379
έ	0.0324847	0.00168986	0.0202671	0.000556805	0.00742982	0.000755456	0.0561618	0.620075	0.26058
</S>	0.000934417	0.00017479	0.00822078	0.00194633	0.0130262	0.00190338	0.072967	0.114727	0.7861
