 	nous	avons	tué	un	serpent	mangeur	d'	oeufs	dans	le	poulailler	</S>
b	0.822487	0.157791	0.00202729	0.00608754	0.000387494	0.00153065	0.0022611	0.00155722	0.00295755	0.00247422	0.000360633	7.8213e-05
í	0.561883	0.351678	0.0623194	0.0131872	0.000553974	0.00307043	0.00221899	0.000397331	0.00150098	0.00314507	1.86385e-05	2.63977e-05
s	0.966245	0.0263639	0.00590936	0.000226799	4.92641e-05	0.000238573	0.000245744	7.67641e-05	0.000174012	0.000288353	9.69832e-06	0.000172078
í	0.544086	0.380815	0.0321577	0.00186576	0.00115276	0.00400393	0.0046981	0.00887617	0.00849998	0.00503035	0.00176703	0.00704732
l	0.0683173	0.146065	0.124578	0.0128612	0.0122364	0.00742155	0.0170007	0.0103555	0.0161827	0.0249705	0.00535335	0.554658
é	0.0124202	0.0929766	0.0404123	0.0355824	0.0121879	0.0129335	0.109459	0.112331	0.105261	0.0801874	0.00426164	0.381987
b	0.0172301	0.222874	0.647226	0.0146312	0.00571853	0.00162803	0.0130548	0.0146134	0.0183783	0.0149481	0.00162937	0.0280674
o	0.00388856	0.0189596	0.885339	0.0332732	0.0213072	0.0045029	0.00861445	0.0118281	0.0046014	0.00423415	0.000420335	0.00303117
m	0.00617069	0.0215495	0.545437	0.114862	0.148658	0.0536572	0.0375368	0.0417094	0.0110058	0.00677657	0.00403719	0.00859999
i	0.00216751	0.0180931	0.139816	0.242749	0.167049	0.0757534	0.147873	0.0716707	0.0708005	0.02806	0.0197737	0.0161939
p	0.0122302	0.0247479	0.00700299	0.126255	0.138354	0.402602	0.219308	0.0387941	0.0129488	0.00686399	0.00145606	0.00943687
í	0.00029523	0.000688882	0.00058774	0.0754361	0.461919	0.30669	0.0598728	0.0694616	0.0053591	0.00235758	0.00634481	0.0109877
b	0.00127172	0.00124983	0.000403392	0.0486739	0.373588	0.303595	0.0942482	0.0588268	0.00830302	0.00482608	0.0172661	0.0877483
h	0.000432743	0.000134028	0.000249352	0.0332255	0.0649099	0.659007	0.0904136	0.10922	0.0214958	0.00726168	0.0003005	0.0133497
ε	0.00165319	0.00123551	0.00173184	0.0186489	0.0461795	0.558353	0.0684556	0.131609	0.0274076	0.00795358	0.00546113	0.131311
s	4.07116e-05	0.000109622	7.46894e-05	0.0163945	0.0224251	0.141857	0.281505	0.232286	0.203986	0.0444362	0.00636653	0.050519
á	0.000496129	0.000186845	0.000212288	0.00898938	0.0129011	0.039406	0.104796	0.335369	0.187253	0.0488823	0.0546333	0.206873
n	0.00132592	0.000268609	0.000111669	0.0121398	0.00733975	0.0114831	0.10059	0.259676	0.414595	0.115765	0.0546574	0.0220487
d	0.0118251	0.000850553	4.83112e-05	0.00557987	0.00371027	0.022483	0.0795356	0.260584	0.451425	0.119458	0.0152048	0.0292961
é	0.00038846	0.000267772	6.3361e-05	0.00508412	0.00747643	0.0106417	0.0539708	0.264409	0.420253	0.161845	0.0337845	0.0418161
e	1.25723e-05	2.81854e-05	6.21564e-05	0.00207987	0.00258924	0.00370634	0.0342575	0.190795	0.426285	0.152062	0.124836	0.0632868
y	1.21316e-05	0.000109983	1.9226e-05	0.00448793	0.00227755	0.00777054	0.0644554	0.0331012	0.371032	0.406348	0.0197018	0.0906852
á	0.000333389	0.000183407	5.44507e-05	0.00419285	0.00414413	0.00428894	0.0265681	0.0425929	0.154221	0.1855	0.170689	0.407231
t	0.000613069	0.000264764	0.000162562	0.00336985	0.00185209	0.00266272	0.0132695	0.0184947	0.0827588	0.159917	0.671637	0.0449981
s	9.87005e-05	3.17166e-05	7.35324e-05	0.000704864	0.00277288	0.00266514	0.00353503	0.0117341	0.0115324	0.0154705	0.91502	0.0363614
ó	1.57514e-05	8.40036e-06	3.19748e-05	0.000216725	0.00140206	0.00592275	0.00102745	0.00778845	0.00680598	0.00720147	0.9401	0.0294791
s	1.49813e-06	7.48505e-06	2.55801e-05	0.000546316	0.00270975	0.0123724	0.00607172	0.0100202	0.018973	0.0249386	0.78451	0.139824
o	8.41528e-06	8.88559e-06	7.83217e-05	0.000953165	0.00235226	0.00240237	0.002992	0.0123479	0.0228467	0.0383851	0.668071	0.249554
</S>	0.000229105	0.00025007	6.10831e-05	0.0022792	0.00166325	0.00259773	0.00722558	0.00282299	0.030677	0.0648869	0.0761544	0.811153
