 	ses	copains	se	moquent	de	lui	parce	qu'	il	est	encore	puceau	</S>
a	0.65804	0.299139	0.00725514	0.0118079	0.0141055	0.00306672	0.00346284	0.00269454	0.000261522	0.000152848	3.21426e-06	8.90318e-07	9.2203e-06
b	0.0596381	0.805105	0.0330644	0.0879	0.00317394	0.00248161	0.00224885	0.00150924	0.000857243	0.000585745	0.000514367	0.00167713	0.0012446
i	0.0341745	0.850856	0.0488293	0.0455403	0.00831628	0.00600259	0.00304804	0.00137923	0.000729492	0.00033478	5.82587e-05	3.19586e-06	0.000727666
a	0.0703678	0.722306	0.102781	0.0416362	0.0123138	0.00976752	0.00577403	0.00269454	0.0026198	0.00237832	0.000879178	0.000151599	0.0263299
b	0.245914	0.233439	0.190842	0.0199438	0.0824676	0.0370442	0.0187197	0.0258708	0.0247149	0.040075	0.0102036	0.00166293	0.0691016
á	0.214111	0.210054	0.348145	0.069456	0.0792146	0.0268578	0.0130697	0.00883716	0.00917998	0.00948056	0.00112754	1.16539e-05	0.0104546
n	0.215998	0.0747565	0.282989	0.143958	0.053534	0.0523853	0.0407646	0.0484564	0.0355554	0.0182214	0.00240959	0.000600616	0.0303716
d	0.241801	0.224342	0.200228	0.0480231	0.0189592	0.0759071	0.0257493	0.105952	0.0170877	0.00410678	0.0015956	3.53126e-05	0.0362127
z	0.120755	0.0836613	0.292427	0.202497	0.028122	0.0735817	0.0406518	0.0833682	0.0240064	0.0104433	0.00516603	0.000609612	0.0347102
é	0.0118418	0.00519587	0.0721191	0.818022	0.00650724	0.0172279	0.0119216	0.011392	0.00461317	0.0022725	0.000953642	0.0013992	0.0365343
s	0.0948335	0.046282	0.162999	0.284939	0.0955875	0.0606858	0.0491309	0.0239555	0.00948702	0.00681889	0.00210515	0.000754121	0.162422
i	0.0188744	0.00785023	0.0799275	0.799352	0.0234739	0.00857604	0.0065732	0.00460992	0.00221966	0.00132913	0.000237528	0.00114456	0.0458324
b	0.0418932	0.0115689	0.31802	0.166058	0.345746	0.0667728	0.0181447	0.0123184	0.00643046	0.00435157	0.00116314	0.000119665	0.00741318
ó	0.405137	0.021567	0.12728	0.0387772	0.117726	0.130968	0.067783	0.0439012	0.0219253	0.0156071	0.00247247	2.46136e-05	0.00683072
b	0.0317195	0.00389856	0.138173	0.0463472	0.538008	0.105265	0.0578345	0.0386776	0.0163684	0.0145705	0.00190485	6.6644e-05	0.00716702
á	0.132324	0.0572177	0.250673	0.0764642	0.147378	0.198354	0.0789154	0.0307266	0.0140466	0.00981041	0.001365	4.39198e-05	0.00268067
a	0.0515977	0.0125805	0.195868	0.0649884	0.217899	0.17686	0.123189	0.0621011	0.0600806	0.0158768	0.00114654	8.72194e-05	0.0177248
d	0.00766842	0.00930063	0.12273	0.17192	0.297066	0.164613	0.0677897	0.00943851	0.0187393	0.0293363	0.0593569	0.00593352	0.0361078
z	0.00112316	0.00312786	0.0635434	0.261281	0.10308	0.0723154	0.0567028	0.00182407	0.00416415	0.00637088	0.31243	0.021032	0.0930049
ε	0.00211921	0.00104028	0.0527589	0.723375	0.0528781	0.075807	0.0376092	0.00394787	0.00858724	0.0071472	0.026286	0.00255589	0.00588841
έ	0.000584634	0.000136247	0.0393538	0.209217	0.154016	0.124501	0.103756	0.0141811	0.0199907	0.0321054	0.0487229	0.0131632	0.240272
w	0.00266649	0.000980148	0.0169114	0.0172066	0.143924	0.178765	0.198997	0.210872	0.0830179	0.0879185	0.0115929	0.00596664	0.0411807
a	0.00313009	0.000794722	0.0174213	0.0146445	0.123881	0.166473	0.174611	0.223802	0.18783	0.0752912	0.00168826	0.000359633	0.0100728
t	0.000543971	0.000135796	0.00342403	0.00223737	0.0661537	0.155562	0.184183	0.299442	0.187472	0.0612719	0.00643662	0.000972461	0.032165
s	0.00550032	0.0015102	0.0104481	0.0183791	0.07477	0.0921821	0.429369	0.141054	0.162683	0.0359966	0.00864409	0.00325388	0.0162094
í	0.000971459	0.00017253	0.0042505	0.0105982	0.0541437	0.0707476	0.509604	0.0926717	0.188738	0.026387	0.00772449	0.0183627	0.0156276
n	0.00685736	0.00442987	0.00654259	0.00656634	0.049086	0.073919	0.43445	0.158201	0.125665	0.0155437	0.0461034	0.0212274	0.0514081
a	0.00527168	0.00255409	0.00728589	0.0102771	0.0114907	0.0798595	0.126998	0.41071	0.186659	0.0125869	0.0091362	0.00418703	0.132984
w	0.00156482	7.47282e-05	0.00306865	0.00169403	0.0161471	0.0474086	0.0458958	0.262966	0.323633	0.19187	0.046081	0.00429342	0.0553028
a	0.00497617	0.000390407	0.0107543	0.00967951	0.0455365	0.0906176	0.14356	0.23905	0.301086	0.0943044	0.0111959	0.00136237	0.0474869
a	0.000654241	7.63555e-05	0.00172041	0.000832256	0.0110932	0.0222899	0.0289243	0.182087	0.262864	0.265461	0.0872005	0.00934024	0.127456
d	0.00134189	0.000626983	0.00951772	0.00232414	0.0112269	0.0103488	0.00681943	0.00639061	0.0409162	0.281426	0.544753	0.0120984	0.0722108
í	0.000208701	5.94303e-05	0.000802988	0.000313957	0.000895328	0.00375242	0.0030865	0.00248076	0.0143459	0.0379552	0.752927	0.00788447	0.175288
e	0.00106308	0.00022164	0.00175672	0.000578883	0.00442364	0.0093797	0.00592885	0.0156349	0.0240749	0.0981612	0.330864	0.383013	0.124899
y	0.00157676	0.00291729	0.00354249	0.00173781	0.00170343	0.00247503	0.0029888	0.00255358	0.0068232	0.0179307	0.108668	0.742315	0.104769
e	1.68009e-05	8.5382e-06	6.93205e-05	0.000102548	5.73482e-05	0.000218128	0.000204427	0.000235736	0.00032032	0.000663827	0.0500819	0.926478	0.0215434
b	4.92228e-06	1.44615e-06	3.73715e-05	0.000157248	9.72079e-05	0.00016498	0.000223414	0.000153577	0.000475374	0.00168051	0.015755	0.908786	0.0724629
h	0.000214085	5.58616e-05	0.00175562	0.00143091	0.00526052	0.00559768	0.0132851	0.00541832	0.0157296	0.0681398	0.111989	0.491821	0.279303
é	0.000223639	3.73461e-05	0.00216913	0.0105873	0.0096867	0.0118981	0.0220769	0.012504	0.021828	0.0484133	0.0102217	0.415354	0.435
</S>	0.000331147	8.12391e-05	0.0023125	0.00321709	0.00685376	0.0090258	0.0117145	0.0255369	0.0223539	0.053783	0.0104565	0.257548	0.596786
