 	il	a	un	bec-de-lièvre	</S>
w	0.852583	0.0959785	0.014355	0.0361568	0.000927145
a	0.634649	0.0682235	0.0240537	0.272716	0.000357751
a	0.251301	0.598987	0.102145	0.00514639	0.042421
d	0.110735	0.503604	0.248833	0.0779003	0.0589284
i	0.0382199	0.610926	0.14457	0.00509519	0.201189
ω	0.0132119	0.164426	0.392703	0.0313268	0.398332
n	0.00643349	0.149657	0.704466	0.0909773	0.0484662
ω	0.0117744	0.26015	0.351088	0.070447	0.30654
ω	0.00820696	0.177845	0.328366	0.216937	0.268644
m	0.0139476	0.0805784	0.519267	0.138153	0.248054
b	0.0180273	0.0553621	0.290913	0.355647	0.280051
í	0.00753311	0.016987	0.12937	0.667215	0.178895
t	0.0429825	0.043648	0.106714	0.343732	0.462924
s	0.0629989	0.0642393	0.382105	0.152532	0.338124
έ	0.00488532	0.0180614	0.362915	0.440562	0.173576
s	0.0026484	0.0176274	0.155828	0.203393	0.620503
i	0.00344034	0.025687	0.188583	0.0736119	0.708677
</S>	0.00466289	0.012901	0.0789057	0.046194	0.857336
