 	allume	la	radio	</S>
m	0.753583	0.23833	0.00785209	0.000234263
ó	0.329611	0.620346	0.00414475	0.0458983
b	0.980264	0.0191125	0.000405054	0.00021856
h	0.922567	0.0704192	0.00463951	0.00237465
ώ	0.939979	0.0375506	0.00421087	0.0182595
ώ	0.406316	0.533242	0.00725996	0.0531815
s	0.0523709	0.668755	0.192908	0.0859658
ώ	0.0390297	0.50011	0.0101836	0.450677
a	0.00577829	0.337909	0.147497	0.508815
k	0.0361121	0.2364	0.408436	0.319052
u	0.00684983	0.00278335	0.800204	0.190163
s	0.00469153	0.00951578	0.866064	0.119729
a	0.00972003	0.0381338	0.528903	0.423243
</S>	0.000779198	0.0327287	0.159515	0.806978
