 	je	m'	en	vais	chercher	le	notable	car	on	a	besoin	de	lui	à	la	veillée	mortuaire	</S>
n	0.922958	0.0477547	0.015371	0.000963783	0.000155039	0.00508502	0.00238872	0.00108143	0.00262312	0.000560833	0.000233461	0.000429289	6.29934e-05	4.72943e-05	7.10244e-05	6.19368e-06	0.00019231	1.59668e-05
g	0.930939	0.0664488	0.00077285	0.00111707	9.11395e-06	0.00020864	0.000174334	1.22686e-05	0.000135778	4.45374e-05	1.43616e-05	7.07153e-06	2.2088e-06	2.8758e-06	5.87382e-06	1.69138e-06	9.68753e-05	6.2379e-06
á	0.745508	0.218482	0.0166884	0.0160824	0.00016582	0.00106712	0.0010097	6.17347e-05	0.000239092	0.000274321	0.000226851	3.013e-05	6.90359e-06	2.06946e-05	3.89413e-05	2.75883e-06	8.87003e-05	5.73331e-06
í	0.0308095	0.139638	0.107512	0.11707	0.00974974	0.0174701	0.0253494	0.0283927	0.148528	0.0570358	0.024398	0.0166636	0.023866	0.0286634	0.0295242	0.000927464	0.00427535	0.190127
m	0.0157046	0.0419857	0.598025	0.257257	0.0331159	0.00186533	0.00241859	0.00144994	0.00464141	0.016282	0.0115862	0.00106777	0.00269508	0.00609026	0.00308636	0.000633538	0.000174162	0.00192152
o	0.000395397	0.0135148	0.673634	0.239845	0.0342167	0.00309174	0.00229652	0.00178568	0.00177505	0.00727947	0.00597835	0.00179619	0.00291237	0.0058135	0.00267552	0.000599627	7.37958e-05	0.00231645
d	0.00209555	0.00719082	0.236003	0.662287	0.0415745	0.00329423	0.00563593	0.00205389	0.00121581	0.00893836	0.0164575	0.00127959	0.00268697	0.00434259	0.00167978	0.000666399	9.06795e-05	0.00250742
z	0.00116901	0.00409313	0.438286	0.431724	0.0964396	0.00153901	0.00103871	0.000395616	0.000137546	0.00185956	0.0158175	0.000338378	0.000378601	0.00207501	0.00118238	0.000766854	0.000110042	0.00264961
w	0.0431905	0.0308315	0.159941	0.74024	0.0161401	0.00121487	0.00486342	0.000536459	0.00017234	0.000774988	0.00123902	0.000134982	0.000147035	0.000254072	0.00014647	5.29565e-05	2.11477e-05	9.91979e-05
á	0.0113873	0.0324812	0.0808499	0.515855	0.0323182	0.0258215	0.0971085	0.0204864	0.0127108	0.0192218	0.0197939	0.0120941	0.0123016	0.0159462	0.0160623	0.00188178	0.000634127	0.073045
o	0.00153034	0.0407568	0.103146	0.2193	0.283718	0.159482	0.0542534	0.0295429	0.0114582	0.0150002	0.0131508	0.0165594	0.013864	0.0117712	0.0109974	0.00329289	0.00314844	0.00902704
