 	cette	nourriture	ira	chez	ngala	celle-ci	ira	chez	apendi	</S>
b	0.2531	0.697603	0.0135211	0.0252353	0.00193027	0.00504123	0.00078377	0.00263656	0.000126381	2.28037e-05
e	0.138303	0.789969	0.0241103	0.0190803	0.00397589	0.0104527	0.00229956	0.0113342	0.000206435	0.00026829
a	0.0284056	0.495739	0.178931	0.187017	0.020132	0.0285993	0.0423514	0.0102751	0.00233924	0.00621031
b	0.413931	0.453945	0.0591843	0.0132512	0.00676986	0.00655839	0.0029787	0.00477028	0.00130763	0.0373041
í	0.0516913	0.463792	0.14325	0.156749	0.0259056	0.0410377	0.0185715	0.0645325	0.00197503	0.0324955
b	0.104742	0.467805	0.153494	0.060484	0.0493117	0.0374364	0.00851522	0.0614174	0.00275963	0.0540341
í	0.0137846	0.684891	0.0649089	0.112853	0.00738043	0.0185719	0.00626382	0.0816511	0.000939444	0.00875598
i	0.0590288	0.521457	0.099784	0.205878	0.027702	0.0252397	0.0117927	0.0344814	0.00120552	0.0134309
d	0.0243196	0.035038	0.705726	0.132386	0.0150021	0.015032	0.0193114	0.00599931	0.00381763	0.0433674
z	0.0037291	0.0168353	0.752008	0.156099	0.00327331	0.00709539	0.0371211	0.00153874	0.00134854	0.0209516
w	0.0526515	0.0170798	0.636466	0.202187	0.00878325	0.00892007	0.0633169	0.00108003	0.000837151	0.00867897
a	0.0233199	0.00857847	0.181016	0.411742	0.0282672	0.057154	0.198917	0.0269646	0.00258168	0.0614593
m	0.0130788	0.0312105	0.124604	0.569074	0.0740383	0.0335035	0.0223382	0.0244616	0.00112567	0.106565
b	0.0164377	0.0336921	0.106404	0.614707	0.0315021	0.0867164	0.0794523	0.0103708	0.000570378	0.0201472
v	0.00271783	0.00704934	0.0517004	0.791609	0.0147278	0.0579131	0.0347714	0.0255598	0.000747572	0.0132039
á	0.00883759	0.0145459	0.0815047	0.725601	0.0203461	0.0523499	0.0350832	0.0279015	0.000635253	0.0331949
a	0.0482626	0.0218745	0.0738387	0.532144	0.0450358	0.0419669	0.120923	0.0118275	0.00220835	0.101918
n	0.00813904	0.00369869	0.0195251	0.133568	0.423518	0.303505	0.0305145	0.0424451	0.00362555	0.0314605
g	0.0278889	0.00801852	0.0223836	0.0716013	0.69983	0.0965088	0.0128106	0.0104878	0.0010689	0.0494019
a	0.00299435	0.00115637	0.00423679	0.0105972	0.92271	0.0460917	0.00460416	0.00305975	0.000798067	0.00375138
l	0.0123154	0.00223543	0.0244572	0.0394521	0.49835	0.27405	0.0529399	0.036534	0.00975124	0.0499149
a	0.023284	0.00857492	0.0293028	0.0290556	0.240013	0.486698	0.0999351	0.0338171	0.0148195	0.0345
b	0.00814292	0.00167884	0.00857676	0.0102716	0.0985638	0.509511	0.154364	0.109809	0.0289076	0.0701735
í	0.00588591	0.0760122	0.0311575	0.104519	0.0757218	0.371754	0.219265	0.0843228	0.0186392	0.0127237
b	0.00630979	0.0489861	0.0146058	0.0803396	0.196083	0.249342	0.195568	0.142032	0.0155434	0.0511899
í	0.0046561	0.0952406	0.00858618	0.0578585	0.0212706	0.346615	0.206439	0.202815	0.0191181	0.0374008
i	0.0131907	0.0422345	0.0097319	0.036904	0.0952011	0.281665	0.158721	0.329913	0.00868248	0.0237559
d	0.002395	0.00235773	0.0114318	0.00461642	0.00929135	0.154214	0.403491	0.197581	0.0607549	0.153866
w	0.00113398	0.00273555	0.0154327	0.00462893	0.00866883	0.130974	0.509895	0.0984467	0.0906409	0.137443
z	0.00188919	0.000454307	0.00364261	0.00155289	0.00232775	0.0417517	0.844232	0.0154682	0.0260307	0.0626504
a	0.000882938	0.000211228	0.0045003	0.00248675	0.00354517	0.0576261	0.646082	0.0386401	0.0979478	0.148077
m	0.00101084	0.000420946	0.00116751	0.00244983	0.00472611	0.0677277	0.11561	0.447284	0.03368	0.325923
b	0.00790958	0.00614956	0.00511044	0.00687673	0.00326987	0.0942391	0.264714	0.300761	0.0289916	0.281978
v	0.00145568	0.00257513	0.00677672	0.0213041	0.00300439	0.0873455	0.310782	0.213109	0.0273268	0.326321
á	0.00598216	0.00321166	0.00784249	0.0228747	0.00780299	0.0954416	0.312051	0.16728	0.0225087	0.355005
a	0.00616041	0.00244142	0.00240716	0.00378715	0.00603233	0.0439619	0.14861	0.183674	0.0934089	0.509517
a	0.0054452	0.00169792	0.00334739	0.00417177	0.0097332	0.0439221	0.017647	0.26081	0.26269	0.390536
p	0.00707083	0.00475789	0.0144795	0.0080775	0.0153224	0.0409107	0.0257017	0.0930349	0.59842	0.192224
é	0.000373032	0.000511626	0.00441089	0.00093088	0.00208051	0.0112455	0.0321398	0.0173266	0.736173	0.194808
n	0.000955151	0.000455964	0.00100707	0.000540385	0.00240164	0.00845616	0.0221386	0.0246535	0.361775	0.577617
d	0.0016846	0.00156967	0.0040305	0.00364726	0.0109968	0.0296721	0.0190402	0.0662959	0.45076	0.412303
i	0.0017316	0.000512405	0.00739883	0.00145331	0.0107465	0.0242918	0.0347051	0.0208676	0.25994	0.638353
</S>	0.00146787	0.000379862	0.00174018	0.00114444	0.00273769	0.0246885	0.013367	0.0867101	0.249957	0.617807
