 	tout	le	monde	dit	que	je	suis	honnête	</S>
b	0.680413	0.275701	0.0290523	0.00479873	0.00547186	0.00182088	0.00204083	0.000648494	5.20856e-05
a	0.348497	0.55536	0.0437743	0.0153712	0.00900554	0.00427127	0.0104337	0.00698851	0.0062989
r	0.209114	0.668955	0.040617	0.0215298	0.0240297	0.00952211	0.00875352	0.00573571	0.0117433
e	0.287776	0.625313	0.0291889	0.0190415	0.00693267	0.015636	0.005317	0.00344847	0.00734692
á	0.286333	0.287931	0.209248	0.077249	0.0483688	0.0242459	0.0266115	0.00306346	0.0369495
t	0.0773912	0.124001	0.421536	0.19497	0.0793829	0.0467111	0.0405348	0.00409828	0.0113747
s	0.0241289	0.104939	0.355272	0.209892	0.16955	0.0510855	0.0517769	0.0104941	0.0228618
ω	0.138017	0.232729	0.343977	0.115608	0.119447	0.0165898	0.0234722	0.00312909	0.00703125
b	0.067939	0.146423	0.224786	0.342088	0.165396	0.013018	0.014074	0.00371938	0.0225571
á	0.199514	0.0869479	0.118894	0.0871501	0.323842	0.0589857	0.0443457	0.0131333	0.0671868
a	0.029637	0.0113375	0.0323913	0.115152	0.543447	0.0713367	0.0277748	0.0105303	0.158394
t	0.00536964	0.00786971	0.0193702	0.162409	0.496975	0.211058	0.0557953	0.0104718	0.0306805
i	0.00174471	0.00606828	0.0560748	0.10712	0.621007	0.117369	0.0566932	0.0124522	0.0214701
á	0.00458629	0.0117924	0.051992	0.144158	0.55732	0.124948	0.0412425	0.008465	0.0554959
w	0.0149348	0.00795568	0.00754984	0.0614083	0.337468	0.339642	0.204664	0.00701497	0.0193624
á	0.00809433	0.00973887	0.0195123	0.0489988	0.324949	0.254916	0.110515	0.0291299	0.194145
r	0.0267441	0.00606495	0.00505009	0.0199312	0.166496	0.332304	0.173257	0.05666	0.213494
e	0.00210163	0.00288532	0.0012315	0.01303	0.0156275	0.758013	0.0622903	0.0379437	0.106877
n	0.000964829	0.00126779	0.00208716	0.0482835	0.0663852	0.609269	0.175077	0.0289099	0.0677554
g	0.0024321	0.0051614	0.0022838	0.015873	0.0101279	0.640478	0.120635	0.0899445	0.113064
á	9.43282e-05	0.000423864	0.000420918	0.00888167	0.00714425	0.76734	0.0525335	0.118411	0.0447502
i	0.00167157	0.00162397	0.0024303	0.00913042	0.0450166	0.148677	0.464836	0.16056	0.166055
d	0.00100153	0.00182695	0.00451058	0.00479209	0.0131921	0.0506978	0.285406	0.514909	0.123664
i	0.000814685	0.00316243	0.00301971	0.00800592	0.00272718	0.0594921	0.361105	0.31917	0.242504
m	0.000422912	0.000681632	0.0010716	0.00245611	0.00684757	0.0149235	0.32606	0.408175	0.239362
b	0.00179772	0.00303635	0.00146408	0.00176263	0.00541394	0.00692313	0.257462	0.347779	0.374361
ω	0.000222443	0.000841717	0.000268703	0.000893748	0.00137547	0.00442875	0.0326531	0.417186	0.54213
n	1.35436e-05	0.000118246	0.000357717	0.00105721	0.00326535	0.00866623	0.107027	0.39056	0.488935
d	7.73526e-05	0.000447294	0.000211016	0.000460788	0.000509132	0.00890773	0.035994	0.806285	0.147108
ω	0.000146076	0.000424602	0.000315676	0.000660733	0.00125647	0.010142	0.0214554	0.824877	0.140722
</S>	0.000628726	0.00075224	0.00045547	0.0029634	0.00563932	0.0385976	0.0986517	0.127328	0.724984
