 	les	habitants	de	mbese	ont	revêtu	leur	route	de	petites	termitières	noires	</S>
m	0.555012	0.382225	0.0551661	0.000775319	0.000973421	0.000366638	0.00286771	0.00118012	0.00109687	0.000241442	5.65037e-05	1.7426e-05	2.15255e-05
b	0.0585986	0.673414	0.124106	0.00660323	0.00615637	0.00432363	0.00582833	0.000500128	0.0081848	0.0972939	0.00218907	4.56061e-05	0.0127569
έ	0.0284132	0.94093	0.0203173	0.00455682	0.00100121	0.0021425	0.00177808	8.49375e-05	0.000155884	0.000500357	5.74017e-05	9.81934e-06	5.27191e-05
s	0.166018	0.760844	0.0469539	0.00268866	0.00457135	0.00081631	0.00547309	0.000347409	0.00148124	0.0068918	7.48517e-05	4.82951e-05	0.00379058
έ	0.298168	0.447372	0.132904	0.0163071	0.0257619	0.0195551	0.0252109	0.00108195	0.00322556	0.0150449	0.00210825	0.000258447	0.0130013
á	0.0917596	0.0327963	0.621658	0.129623	0.0360239	0.00939053	0.00717541	0.00298317	0.00532826	0.00879643	0.00449797	0.00161966	0.0483481
b	0.00759799	0.00278113	0.0940353	0.655627	0.165859	0.029659	0.00250596	0.0043501	0.00227932	0.0122185	0.0110466	0.00182124	0.0102187
ó	0.00712211	0.00395755	0.0332542	0.66746	0.240712	0.00864138	0.0076669	0.0166798	0.00663277	0.00444816	0.000788271	7.39241e-05	0.00256298
i	0.0143854	0.00591132	0.0586696	0.55375	0.255414	0.043744	0.0128908	0.0169809	0.00438927	0.00545229	0.00304994	0.00230013	0.0230628
o	0.0458633	0.0104241	0.06754	0.139924	0.415304	0.0712583	0.139612	0.0289961	0.0382272	0.0187161	0.0106025	0.00160109	0.0119315
p	0.00139679	0.000651186	0.00105456	0.116179	0.289248	0.494942	0.0177003	0.0413003	0.00499235	0.00678872	0.0165063	0.00533964	0.00390056
o	7.93456e-05	0.000104582	0.000839555	0.0270235	0.0407826	0.868763	0.00327451	0.0334972	0.00252715	0.00174173	0.00393072	0.00646122	0.0109743
n	0.000256991	0.00043957	0.0024721	0.025121	0.0271673	0.827956	0.00869968	0.0585514	0.00679666	0.00208429	0.00414949	0.0102695	0.0260357
g	0.00364697	0.0024856	0.00761642	0.061826	0.144856	0.641074	0.0586149	0.0412104	0.0149664	0.00605408	0.00133397	0.00148599	0.0148296
a	0.00487954	0.0049708	0.0124332	0.0300507	0.0452123	0.816027	0.0562015	0.0135329	0.00566874	0.00247871	0.000884095	0.000107607	0.00755307
m	0.00594272	0.00115832	0.00744765	0.00521898	0.108474	0.060292	0.464964	0.0983411	0.161754	0.0528073	0.00863443	0.000736705	0.0242287
í	0.0311215	0.00825538	0.00976851	0.000930831	0.0176764	0.0069186	0.333772	0.0998562	0.329248	0.122319	0.00145852	0.000686118	0.0379884
k	0.00567665	0.00149115	0.00454024	0.00115311	0.0137696	0.0232124	0.217188	0.492489	0.125393	0.0468107	0.0491844	0.00757603	0.0115166
ó	0.00061812	0.000171984	0.000579609	0.00118453	0.00411477	0.118008	0.0152225	0.679405	0.0412696	0.00942748	0.0155866	0.0566729	0.0577393
ó	0.000175143	0.000140573	0.000492897	0.00253076	0.00571734	0.091406	0.0157167	0.593163	0.0357964	0.0108976	0.0569564	0.123823	0.0631847
g	0.00137818	0.00016678	0.00285036	0.00417304	0.011672	0.00717185	0.0541352	0.0399003	0.166797	0.220593	0.248413	0.0636486	0.179101
h	0.00149915	0.000312238	0.00136044	0.00227273	0.010516	0.00583358	0.0293774	0.107145	0.0889616	0.0264376	0.0706229	0.0700546	0.585607
ó	0.00381165	0.000793529	0.00125861	0.0038079	0.0120437	0.0264698	0.102714	0.147161	0.106864	0.0241819	0.0483927	0.217771	0.304731
</S>	0.000993483	0.000431835	0.00171384	0.00130344	0.0102581	0.00838766	0.0588751	0.0744119	0.13923	0.0776895	0.130655	0.244033	0.252017
