 	il	faut	amarrer	les	bagages	dans	la	voiture	</S>
k	0.531698	0.37939	0.0475694	0.00556397	0.00461815	0.0111353	0.0158245	0.00382701	0.000374054
á	0.1789	0.527325	0.06645	0.0136084	0.0397808	0.0292632	0.030024	0.109464	0.00518508
a	0.0544803	0.629936	0.0863574	0.050921	0.0549669	0.047026	0.0171438	0.00489834	0.0542702
l	0.194441	0.217907	0.347774	0.0634002	0.00778112	0.0432989	0.0465408	0.00265953	0.0761985
é	0.0859587	0.130117	0.286213	0.120603	0.0189698	0.0370772	0.0571269	0.00120201	0.262732
e	0.0745951	0.0677959	0.409618	0.160177	0.0338433	0.0380498	0.048943	0.00460887	0.16237
t	0.00421439	0.0222456	0.16429	0.408579	0.314376	0.0117482	0.00481283	0.0181825	0.0515514
i	0.00158829	0.0289186	0.105463	0.215836	0.596987	0.00995652	0.00251966	0.0137987	0.024932
n	0.00188248	0.0184777	0.116351	0.378685	0.441888	0.0135174	0.0033074	0.00325961	0.0226312
g	0.0178464	0.0236708	0.149218	0.443964	0.296217	0.0267303	0.0090892	0.00440557	0.0288578
á	0.141155	0.0663121	0.183634	0.102708	0.371589	0.0458074	0.0172877	0.0153888	0.056119
b	0.00850777	0.00480183	0.0446892	0.162984	0.175486	0.358717	0.220076	0.0157121	0.00902602
e	0.0427339	0.0120319	0.0258302	0.136162	0.221502	0.302882	0.200275	0.0456467	0.0129355
a	0.0040943	0.00449282	0.021211	0.0972524	0.176475	0.464676	0.157267	0.021039	0.0534922
s	0.000717543	0.000832112	0.0113383	0.0702928	0.0503492	0.575269	0.247556	0.0190134	0.0246314
á	0.000911784	0.0010181	0.0065986	0.0706105	0.13803	0.284921	0.311822	0.0619164	0.124172
ω	0.00419708	0.00178794	0.00464037	0.0134144	0.027466	0.150507	0.405221	0.367522	0.025245
t	0.000129657	0.00023431	0.00125914	0.00982399	0.0139011	0.106436	0.118142	0.71095	0.039124
ω	9.27993e-05	0.000638845	0.00218076	0.0046932	0.0379719	0.0177183	0.0173849	0.907266	0.0120535
m	3.41584e-06	3.12983e-05	0.000556503	0.00297099	0.040221	0.00548521	0.00233275	0.943007	0.0053921
b	0.000140056	0.000212506	0.000635255	0.00250842	0.118731	0.0412288	0.0164343	0.599526	0.220583
í	0.000462211	0.000681872	0.00150492	0.016743	0.163844	0.0720369	0.0279081	0.428079	0.288741
l	0.00158811	0.000870578	0.00462035	0.00840406	0.0126205	0.190125	0.127525	0.13231	0.521937
i	0.00586238	0.0100207	0.0148883	0.0133643	0.0312327	0.192311	0.319667	0.290709	0.121944
ω	0.00286407	0.000851091	0.00382919	0.01078	0.00221071	0.135272	0.383345	0.0085644	0.452283
b	0.00130568	0.0022928	0.0174614	0.0362513	0.0151726	0.230056	0.502546	0.104705	0.0902092
v	0.00126683	0.00446037	0.0213004	0.0371557	0.119726	0.281177	0.367085	0.0755718	0.0922568
έ	0.00280309	0.00138562	0.0101252	0.055913	0.108717	0.358381	0.280713	0.103134	0.078828
ω	0.000333468	0.000172346	0.000927624	0.00746739	0.0107474	0.210148	0.136657	0.0235188	0.610028
b	0.00199768	0.000932917	0.0173462	0.0466378	0.010819	0.186675	0.243918	0.0186505	0.473023
v	0.00350799	0.00426311	0.0180382	0.034065	0.0355388	0.406355	0.375887	0.0156831	0.106662
έ	0.00295191	0.000852678	0.0054628	0.0280089	0.14222	0.318405	0.245974	0.0615607	0.194564
</S>	0.000548792	0.000258218	0.00134097	0.00870068	0.00933704	0.158867	0.130221	0.0140534	0.676673
