 	il	a	arraché	les	souches	</S>
w	0.905932	0.0639494	0.0113016	0.0101969	0.00827057	0.000349311
a	0.91076	0.0382123	0.00450047	0.0357654	0.00950719	0.00125422
á	0.176272	0.670159	0.0655205	0.0459233	0.00464729	0.0374781
m	0.0366576	0.53286	0.320559	0.0635094	0.00979703	0.0366164
i	0.0151092	0.35807	0.300428	0.191772	0.0135922	0.121028
b	0.00362766	0.0706908	0.845655	0.0468178	0.00418613	0.0290229
í	0.0119278	0.0942514	0.746858	0.118138	0.00407656	0.0247474
l	0.00137029	0.0571882	0.840336	0.0682882	0.00677836	0.0260393
á	0.0192941	0.0542802	0.638371	0.239613	0.0229754	0.0254661
t	0.0179285	0.0884686	0.141371	0.468419	0.243353	0.0404602
s	0.0341815	0.00981077	0.0429471	0.138525	0.695885	0.0786503
í	0.00337888	0.0138311	0.194651	0.26926	0.486265	0.0326138
n	0.0142957	0.0228162	0.223564	0.1241	0.472315	0.142909
a	0.0172394	0.0211793	0.179355	0.231741	0.266664	0.283821
y	0.0126486	0.108	0.212378	0.296653	0.12953	0.240791
á	0.093937	0.0655136	0.0535911	0.459788	0.171132	0.156039
a	0.0711706	0.017244	0.0104117	0.224449	0.632147	0.0445778
b	0.003552	0.0300761	0.0491563	0.18284	0.657722	0.0766535
v	0.010785	0.0296033	0.113777	0.386432	0.389249	0.0701546
ú	0.00343714	0.0036221	0.0399823	0.215469	0.687143	0.0503466
a	0.0014468	0.00274698	0.0271923	0.267984	0.352296	0.348334
</S>	0.0019707	0.0164393	0.0716629	0.233706	0.164976	0.511245
