 	il	allonge	le	bras	pour	attraper	son	vêtement	</S>
w	0.983066	0.00355767	0.00842802	0.000947415	0.00229388	0.000893214	0.000500978	0.000293468	1.96499e-05
a	0.978648	0.00305985	0.0126963	0.00111377	0.00196459	0.000530469	0.00161944	0.000277868	8.9327e-05
l	0.649263	0.211254	0.0910437	0.0121189	0.0196146	0.0114836	0.0026706	0.000468254	0.00208367
á	0.265898	0.0540816	0.198952	0.0961949	0.116812	0.0474332	0.0392393	0.00576821	0.175621
a	0.357395	0.0614016	0.168878	0.0870945	0.0610315	0.0275076	0.036631	0.0279581	0.172102
s	0.0129561	0.96451	0.00971982	0.00498163	0.00157225	0.00311073	0.00062457	0.000741156	0.00178415
é	0.000184474	0.999576	0.000175177	1.5678e-05	3.27929e-06	2.16172e-05	3.41216e-06	2.25866e-06	1.80344e-05
m	0.172661	0.771641	0.0451652	0.00286142	0.00170727	0.00214913	0.000786621	0.000151572	0.00287658
b	0.184715	0.499813	0.23676	0.0233943	0.0229713	0.0121766	0.00914886	0.000607763	0.010413
á	0.0628848	0.226186	0.198758	0.0804506	0.0365108	0.0170518	0.0153293	0.00786736	0.354962
ε	0.0741642	0.0173017	0.612361	0.165898	0.101181	0.0147565	0.00775015	0.00356289	0.00302558
b	0.00535744	0.0314866	0.121994	0.500826	0.109391	0.161615	0.00562167	0.056721	0.00698729
ώ	0.00760645	0.0133223	0.0360427	0.820568	0.021437	0.0433473	0.00117643	0.0534297	0.0030702
ω	0.000786846	0.00218722	0.0602519	0.72333	0.0485524	0.0412005	0.00156169	0.0981685	0.0239611
m	0.0064092	0.000749091	0.103452	0.15395	0.573364	0.0899984	0.0431488	0.00988748	0.0190414
i	0.0277401	0.00242758	0.0759306	0.0737481	0.226409	0.213404	0.0896424	0.013119	0.27758
p	0.0034476	0.00524706	0.0403351	0.0872117	0.218747	0.331019	0.0754636	0.174569	0.06396
i	0.00444954	0.000806586	0.0188108	0.0066688	0.159632	0.477952	0.146135	0.160986	0.0245595
a	0.000569513	0.00172205	0.0153384	0.0102227	0.192661	0.479394	0.132686	0.1064	0.061007
l	0.0016733	0.000873279	0.0220841	0.0321692	0.0848705	0.0795366	0.542251	0.137601	0.0989409
á	0.00386359	0.00423735	0.0203972	0.0209877	0.0555518	0.0926778	0.390593	0.137379	0.274313
ω	0.0126432	0.00365018	0.0561247	0.0113901	0.0460515	0.0234643	0.339816	0.390915	0.115945
k	0.00189177	0.00827301	0.00918888	0.0141373	0.0251023	0.0779951	0.127775	0.678931	0.056705
á	4.39998e-05	0.008738	0.00411078	0.00271845	0.00655793	0.059121	0.0530222	0.844255	0.0214324
n	0.000610618	0.0104193	0.00448265	0.00173209	0.0143524	0.0869178	0.0719573	0.786481	0.0230473
d	8.31037e-05	0.000267725	0.00183313	0.00254682	0.0265257	0.140763	0.0962725	0.652483	0.0792244
á	0.002527	0.00107667	0.0057649	0.00812804	0.034851	0.108101	0.0628684	0.628566	0.148116
m	0.00701563	0.000837123	0.0230746	0.0210413	0.0601955	0.035019	0.128515	0.195982	0.52832
á	0.0119844	0.00933192	0.118927	0.0251725	0.0788759	0.0610973	0.217006	0.0261998	0.451405
w	0.00401432	0.00303241	0.0736674	0.0256791	0.0871876	0.0396866	0.143023	0.323314	0.300395
a	0.0242492	0.00244814	0.0671546	0.0317279	0.122147	0.0639286	0.225028	0.219136	0.244181
</S>	0.000294487	0.000370782	0.00466086	0.00320543	0.0163034	0.0221768	0.088013	0.217276	0.647699
