 	il	vend	des	bananes	au	marché	</S>
w	0.981934	0.00685405	0.00513047	0.000852208	0.00485272	0.000336758	3.94185e-05
a	0.960081	0.000922228	0.01743	0.000584979	0.0184736	0.00242265	8.53425e-05
l	0.56465	0.340464	0.0441788	0.00363846	0.0318336	0.00620822	0.00902626
á	0.141353	0.113761	0.125034	0.00732825	0.0613862	0.0289493	0.522188
a	0.369088	0.0219853	0.333278	0.0134034	0.0874504	0.0225911	0.152204
k	0.00466556	0.940646	0.0381453	0.0118831	0.000816395	0.00174793	0.00209565
i	0.000637314	0.986891	0.00292902	0.00920504	9.41972e-05	9.45591e-05	0.000148483
r	0.00139359	0.944057	0.0412979	0.010558	0.00144952	0.000339408	0.000904493
á	0.0222141	0.624683	0.253659	0.0391716	0.0424493	0.00424743	0.013576
a	0.0150504	0.00730895	0.518451	0.212325	0.107862	0.101632	0.0373705
t	0.00103913	0.0264186	0.518785	0.399402	0.0343286	0.0170046	0.0030224
ω	0.000538086	0.00281417	0.166338	0.777239	0.01077	0.0274961	0.0148047
r	0.000160164	0.00353163	0.142843	0.793767	0.0206993	0.0169075	0.0220916
ω	0.00375905	0.0102859	0.278302	0.52848	0.0580819	0.052469	0.0686225
ó	0.00195746	0.00082765	0.128672	0.0509422	0.70627	0.0371295	0.0742013
d	0.00668112	0.0171691	0.0776427	0.0324869	0.3403	0.480169	0.045551
z	0.000656301	0.000378824	0.00626584	0.000831089	0.0530307	0.468014	0.470823
á	0.0019596	6.15455e-05	0.0124173	0.000467129	0.0800917	0.802409	0.102594
n	0.00158198	0.000377547	0.0128486	0.0117633	0.242056	0.388474	0.342899
d	0.000342832	0.000173524	0.00344	0.000966629	0.0319466	0.62136	0.341771
e	0.000280962	0.000384001	0.00719903	0.00182978	0.050288	0.668395	0.271623
</S>	6.06684e-05	0.000272592	0.00827924	0.00665936	0.0305416	0.3727	0.581487
