 	il	l'	a	attendu	longtemps	</S>
w	0.91702	0.0521735	0.0295091	0.00116749	0.00010847	2.13412e-05
a	0.829691	0.133008	0.0317805	0.00191309	0.0034198	0.000187864
á	0.0731343	0.513134	0.400635	0.0109103	0.00130905	0.000877228
k	0.00761181	0.105807	0.449551	0.409916	0.019844	0.00727022
y	0.0138066	0.101625	0.475829	0.308123	0.0212586	0.0793572
έ	0.0271743	0.117726	0.657212	0.181354	0.0133595	0.0031748
έ	0.112851	0.419207	0.407311	0.0239171	0.0108812	0.0258326
l	0.0494705	0.126682	0.156812	0.207285	0.237103	0.222648
i	0.0488271	0.171597	0.408127	0.126864	0.152412	0.0921726
w	0.100156	0.168462	0.160185	0.0494444	0.279815	0.241938
á	0.109515	0.129796	0.287286	0.0141424	0.345278	0.113982
ω	0.0313589	0.0147932	0.0218038	0.00457424	0.170339	0.757131
l	0.000492591	0.00239599	0.0144519	0.0502482	0.598511	0.333901
a	0.00102731	0.0132077	0.0300802	0.0222583	0.571362	0.362064
á	0.00041033	0.00725626	0.0258037	0.00502133	0.134287	0.827221
</S>	0.0399518	0.0428397	0.0437147	0.0138995	0.113961	0.745634
