 	la	maman	caresse	l'	enfant	</S>
n	0.94234	0.0463111	0.00408524	0.00523847	0.00159814	0.000427241
g	0.112922	0.886654	3.5372e-05	0.000378509	7.26346e-06	3.67343e-06
ó	0.0275025	0.971359	3.12403e-05	0.00061486	0.000487066	5.22018e-06
o	0.00670443	0.991397	0.000178272	0.000794881	0.000913614	1.18563e-05
l	0.31553	0.170238	0.243624	0.113517	0.0151614	0.14193
á	0.336054	0.139223	0.105171	0.0624382	0.00943584	0.347678
a	0.319033	0.00273306	0.0392362	0.53168	0.101545	0.00577226
m	0.0089557	0.00167421	0.902921	0.0685534	0.00265788	0.0152381
a	0.00235585	0.000396084	0.954226	0.00820657	0.0301779	0.00463779
b	0.00391371	0.000181205	0.968871	0.00808315	0.00318545	0.015766
h	0.000541368	2.96931e-05	0.944389	0.0178963	0.00352368	0.0336202
í	7.67122e-05	3.51152e-05	0.94983	0.0257454	0.00117612	0.0231368
r	9.01924e-05	1.25202e-05	0.876003	0.0756482	0.0106165	0.0376301
á	0.00999495	1.65647e-05	0.221412	0.0590056	0.00908992	0.700482
m	0.00749559	2.17852e-05	0.0519641	0.745611	0.119345	0.0755621
w	0.00052065	8.77594e-07	0.00694647	0.0110331	0.920762	0.0607368
á	2.0111e-05	9.48601e-08	0.000911275	0.000206744	0.997768	0.00109358
n	0.00489523	6.82059e-06	0.00846528	0.0170573	0.947756	0.0218199
a	0.000911158	5.05867e-05	0.0088043	0.0270259	0.935406	0.0278018
</S>	0.0279002	0.00220229	0.15912	0.382264	0.0706865	0.357826
