 	dans	cette	région	la	terre	est	brune	</S>
s	0.637753	0.331797	0.0174794	0.00593181	0.00204776	0.00490801	5.84045e-06	7.68556e-05
á	0.398639	0.564564	0.00629362	0.015741	0.000306205	0.00706389	8.10909e-05	0.00731145
e	0.245437	0.733779	0.00829886	0.00682821	0.00248754	0.00071851	0.00158565	0.00086516
k	0.0446738	0.455502	0.453068	0.0205117	0.0147434	0.0032556	0.0035242	0.00472177
y	0.008575	0.158932	0.742126	0.0252471	0.0541634	0.0019563	0.00185231	0.00714744
é	0.0320357	0.273402	0.541746	0.0127504	0.131029	0.000509505	0.00464155	0.00388658
n	0.0588839	0.146356	0.665443	0.059888	0.032358	0.00603815	0.00238413	0.0286491
á	0.0583617	0.246963	0.644483	0.02457	0.0104532	0.001859	5.95597e-05	0.0132504
á	0.128776	0.111519	0.30386	0.36593	0.0348264	0.0419472	0.00196872	0.0111725
y	0.0451771	0.0157357	0.164744	0.670327	0.0587121	0.035254	0.00213651	0.0079132
é	0.0605064	0.038862	0.187508	0.502396	0.0958379	0.0461944	0.00678217	0.0619127
t	0.0281196	0.0147743	0.0635219	0.4818	0.338917	0.0353932	0.0109024	0.0265713
s	0.00591829	0.0170922	0.105145	0.229452	0.58162	0.0174768	0.0228263	0.0204693
ε	0.000212361	0.00150277	0.049162	0.0402118	0.902015	0.00198576	0.00117136	0.0037388
n	0.00375217	0.0151797	0.111157	0.24959	0.456369	0.0520529	0.00449289	0.107407
g	0.00713332	0.014999	0.0558739	0.407147	0.153738	0.200838	0.00865933	0.151611
ε	0.0109704	0.0135909	0.0601795	0.241394	0.485609	0.0360663	0.00271379	0.149476
é	0.00567568	0.00346712	0.00645642	0.166176	0.0419135	0.688577	0.00867785	0.0790564
d	0.0191724	0.00886864	0.0141782	0.111323	0.0258122	0.529658	0.233295	0.0576928
í	0.0088822	0.00259877	0.0039422	0.0376013	0.00291379	0.305357	0.0742949	0.56441
t	0.00449509	0.000544548	0.00136693	0.0145118	0.00217352	0.0672126	0.744327	0.165369
s	0.00240419	0.00216766	0.0053384	0.00804719	0.00356616	0.0147659	0.874494	0.0892163
ω	0.000574602	0.00036287	0.00237888	0.00396874	0.0186166	0.010101	0.926583	0.0374147
</S>	8.07011e-05	0.000364896	0.00530218	0.0188312	0.0231338	0.0208382	0.508797	0.422652
