 	c'	est	assurément	le	garçon	le	plus	gentil	du	village	</S>
w	0.653612	0.288827	0.00493314	0.0239413	0.0100733	0.00582131	0.00642522	0.000493584	0.00545345	0.000345764	7.32125e-05
a	0.548319	0.373108	0.00413953	0.0167791	0.0277493	0.00991587	0.0110205	8.63948e-05	0.00860506	6.7679e-05	0.000209832
a	0.155303	0.691645	0.035049	0.0484764	0.00654717	0.0181893	0.0260826	0.00367048	0.0106561	0.000507558	0.00387301
d	0.106104	0.426936	0.147346	0.148874	0.0552973	0.0279	0.0168248	0.0263497	0.00950952	0.0054479	0.0294101
í	0.053654	0.164708	0.591727	0.0817048	0.0171053	0.016048	0.00684699	0.00320022	0.00177351	0.000157046	0.0630744
i	0.0284651	0.0983375	0.519032	0.105503	0.0118523	0.011723	0.0186846	0.02645	0.0251425	0.00471113	0.150098
b	0.0163871	0.0496941	0.190341	0.36465	0.193519	0.0514999	0.0380074	0.0376172	0.0060826	0.0040265	0.0481753
a	0.00401643	0.0236609	0.115471	0.263135	0.373968	0.130582	0.0502367	0.0181117	0.0054654	0.000457173	0.0148949
a	0.0141678	0.0515363	0.254339	0.306863	0.214885	0.0576218	0.0291708	0.0178973	0.00902631	0.000899378	0.0435931
l	0.0291051	0.0734289	0.0197313	0.59696	0.0899594	0.0655371	0.0302984	0.0190039	0.0166824	0.00127584	0.0580176
í	0.0152038	0.0138252	0.0162209	0.134045	0.0759171	0.10947	0.100452	0.0298659	0.0484238	0.00205155	0.454524
í	0.00712024	0.0219469	0.0143647	0.267441	0.203981	0.244533	0.074959	0.0286142	0.0501096	0.00728143	0.0796496
p	0.0061613	0.0189674	0.037846	0.287751	0.149572	0.288374	0.0624331	0.100799	0.0264427	0.00592926	0.0157248
é	0.000911434	0.0031342	0.0325582	0.0740902	0.300227	0.155911	0.0442469	0.339935	0.00612078	0.0254905	0.0173754
n	0.000587219	0.00571986	0.0224844	0.154781	0.144925	0.229974	0.0612291	0.239912	0.017265	0.0332108	0.0899123
d	0.00331008	0.00500125	0.00338751	0.131398	0.246016	0.293957	0.10518	0.0738391	0.0266726	0.0125463	0.098693
í	0.00714611	0.00745936	0.00509822	0.115971	0.151089	0.403679	0.0991038	0.0631454	0.0310843	0.0100299	0.106194
p	0.00797454	0.0109306	0.000967269	0.0885882	0.0369032	0.298471	0.264821	0.167608	0.075909	0.00638613	0.0414405
ó	0.00367081	0.0041208	0.00397867	0.0123372	0.0464839	0.0949482	0.137449	0.508438	0.0226039	0.147055	0.0189142
s	0.000589935	0.0014049	0.00369299	0.0108675	0.0116455	0.0764158	0.0916492	0.662956	0.0332796	0.0620461	0.0454525
á	0.00238695	0.00334916	0.00125007	0.0244859	0.00397857	0.117122	0.124569	0.535442	0.0914517	0.075981	0.0199828
b	0.00570901	0.00538869	0.00219011	0.0188167	0.00605525	0.0813335	0.322937	0.223225	0.271206	0.0445625	0.0185764
a	0.00173364	0.00376697	0.0057398	0.00959979	0.0258396	0.0888357	0.269176	0.424439	0.103895	0.0435551	0.0234195
r	0.000252677	0.00129289	0.000800344	0.00704661	0.00915761	0.0596786	0.324813	0.310122	0.21704	0.0158551	0.0539417
e	0.00571216	0.0030421	0.000760791	0.0116786	0.0145709	0.0582995	0.308042	0.0609454	0.177779	0.00353075	0.355639
s	0.00126112	0.00264281	0.000301847	0.00857025	0.0020837	0.0485812	0.195019	0.163229	0.470431	0.00515551	0.102724
á	0.00583241	0.00400208	0.00132659	0.0184621	0.00367686	0.0511197	0.109209	0.189794	0.180306	0.0209018	0.41537
p	0.00844601	0.00959461	0.000817445	0.0115877	0.00155143	0.0143623	0.0527991	0.0500775	0.278395	0.550792	0.0215768
o	0.000145013	0.000347982	0.00012765	0.000568838	0.000269545	0.00235477	0.00895155	0.100589	0.0129554	0.869616	0.00407426
o	0.000323754	0.000583637	0.000415983	0.00173374	0.000347132	0.00658439	0.0241152	0.154273	0.0216067	0.769553	0.0204637
y	0.00104972	0.00244834	0.000395751	0.00732262	0.000606465	0.0146006	0.0611837	0.0733863	0.268901	0.0243026	0.545803
é	0.0196017	0.0698923	0.00746481	0.0871215	0.00370598	0.0511897	0.107153	0.123614	0.326514	0.074149	0.129593
m	0.00157695	0.00384678	0.000624626	0.0111395	0.000512666	0.0100308	0.0590175	0.0255701	0.301321	0.0263504	0.56001
b	0.00677525	0.0151582	0.01405	0.033624	0.0490199	0.0908993	0.0926898	0.0361167	0.118718	0.04423	0.498719
v	0.00185928	0.00289909	0.000372527	0.0134247	0.0406993	0.0511719	0.17232	0.0788302	0.0587086	0.0286834	0.551031
a	0.00152857	0.00267469	0.000855817	0.0162948	0.0985295	0.0836484	0.187492	0.0507765	0.0464175	0.0172374	0.494545
m	0.000547783	0.000904626	0.000237456	0.00639916	0.000902485	0.0311873	0.0547226	0.110278	0.0587526	0.0372407	0.698827
b	0.00555483	0.00367127	0.000285422	0.00736064	0.00386398	0.0461917	0.0932581	0.103646	0.106673	0.0407042	0.588791
v	0.00692892	0.00286798	0.000210252	0.00827632	0.00774894	0.0434867	0.203883	0.068733	0.0586277	0.0291501	0.570087
a	0.00137304	0.00059417	8.95686e-05	0.00351651	0.00245505	0.0226434	0.0617602	0.0205272	0.0656112	0.0353237	0.786106
</S>	0.000266018	0.000352412	0.000115126	0.00228685	0.00044884	0.00969051	0.0202977	0.0753138	0.0228538	0.0820955	0.786279
