 	ce	jeu	auquel	vous	jouez	s'	appelle	lebese	</S>
e	0.393663	0.420888	0.167628	0.00427849	0.00366824	0.00678002	0.00266521	0.000264017	0.000164578
s	0.016824	0.337199	0.607405	0.0105183	0.00924407	0.00431289	0.00706684	0.00700463	0.000424896
í	0.00309521	0.0323831	0.931057	0.00592702	0.00804704	0.00308621	0.00750255	0.000808826	0.00809298
m	0.00866206	0.0321814	0.730651	0.0343997	0.00430569	0.00546584	0.00569333	0.000932538	0.177709
á	0.200738	0.0543979	0.412621	0.232765	0.0109924	0.0594665	0.0137445	6.38372e-05	0.0152099
y	0.124729	0.102931	0.238461	0.127734	0.12726	0.0733287	0.0225493	0.00130688	0.1817
é	0.0993199	0.0159867	0.304307	0.120693	0.125037	0.132817	0.0493456	0.000227066	0.152266
é	0.148662	0.0117639	0.293954	0.0581593	0.0777229	0.203151	0.0721824	0.00219147	0.132213
k	0.00118122	0.00170658	0.0684052	0.30738	0.482277	0.0566218	0.0649404	0.00249865	0.0149891
y	0.00052687	0.000776443	0.00110108	0.0911155	0.647461	0.0382213	0.160003	0.0418116	0.0189835
a	0.000736963	0.00414449	0.00875171	0.166	0.625258	0.0711964	0.103502	0.00548808	0.0149229
b	0.00398844	0.0154076	0.0534378	0.107015	0.472322	0.104942	0.186691	0.016887	0.0393088
í	0.00436844	0.00543569	0.00098043	0.141088	0.651021	0.10838	0.0682148	0.00520209	0.0153086
n	0.00740926	0.0142096	0.0036586	0.165714	0.256142	0.402866	0.109365	0.00392623	0.0367092
í	0.00771905	0.00304479	0.00894726	0.172998	0.123006	0.482105	0.0675484	0.00105003	0.133581
y	0.000776165	0.000706123	0.00680054	0.081441	0.159573	0.383121	0.283747	0.0170948	0.066741
é	0.0366973	0.0103967	0.0806843	0.00930383	0.0648147	0.186306	0.509049	0.00733008	0.0954182
b	0.00237945	0.00036117	0.0109993	0.00877181	0.0345213	0.162	0.564342	0.0456384	0.170986
á	0.00143578	0.00210533	0.000941971	0.023786	0.197294	0.127425	0.323932	0.279613	0.0434675
a	0.00173024	0.00399538	0.000833385	0.0206212	0.0992523	0.198018	0.466937	0.0979	0.110713
b	0.000534942	0.00083408	0.00256997	0.0272223	0.0250907	0.0734612	0.153455	0.232784	0.484048
é	0.00186463	0.00343611	0.000540151	0.0290811	0.114373	0.0605485	0.171275	0.487733	0.131148
á	0.000672293	0.000993749	0.00122434	0.0151831	0.051185	0.0588274	0.143035	0.348342	0.380537
m	0.00406706	0.00224618	0.0195479	0.0491188	0.0166767	0.046889	0.0298543	0.149134	0.682466
ó	0.0124582	0.00220299	0.00300138	0.00937775	0.0286322	0.088683	0.130499	0.0841668	0.640979
l	0.0014947	0.000550726	0.00192596	0.00198551	0.00953602	0.0374965	0.0490858	0.760924	0.137001
e	0.0037962	0.00112988	0.0107304	0.0215267	0.0172782	0.0412929	0.0161417	0.0743416	0.813762
b	0.000645824	0.000338795	0.00517452	0.00133037	0.00689144	0.0251941	0.0514331	0.20013	0.708862
ε	0.000638163	0.00142556	0.000291724	0.00502432	0.0284126	0.0310357	0.0349005	0.734679	0.163593
s	0.00090643	0.000196975	0.000565228	0.00205966	0.0096557	0.018425	0.0491656	0.570965	0.34806
ε	0.00306905	0.0030968	0.00273679	0.0062122	0.024423	0.0306404	0.117551	0.219967	0.592303
</S>	0.00651266	0.000514908	0.00147009	0.00265833	0.00263924	0.0169165	0.0158664	0.0330195	0.920402
