 	cet	homme	est	en	train	de	se	raser	la	barbe	</S>
i	0.838534	0.114475	0.0189646	0.0244858	0.000411006	0.00112906	0.000359996	0.000426151	0.00105564	9.89923e-05	5.96652e-05
b	0.142338	0.836531	0.0108105	0.00478808	0.0028853	0.00068066	0.000684695	0.000597487	0.000299737	4.85664e-05	0.000336013
a	0.00376658	0.93353	0.00160299	0.0103279	0.0471908	0.000195121	0.000102549	0.00319084	9.68447e-06	6.0804e-05	2.29995e-05
a	0.0422459	0.70079	0.0395529	0.106686	0.0814963	0.00379517	0.00118001	0.00880688	0.000212985	0.00123351	0.0140005
d	0.635281	0.0611178	0.164299	0.0382455	0.00210741	0.0185439	0.00219921	0.000612402	0.00406265	0.000106235	0.073425
í	0.136819	0.0389245	0.362473	0.0393272	0.00167997	0.0149529	0.0110477	0.0031235	0.0082654	0.0197333	0.363654
b	0.0378099	0.0192271	0.536823	0.178433	0.00360472	0.109228	0.0268283	0.00504005	0.0129112	0.00240192	0.0676927
ó	0.00456488	0.00926545	0.0875461	0.342782	0.0857968	0.226957	0.119126	0.0874962	0.0108717	0.00396751	0.0216262
l	0.0269048	0.00930577	0.131546	0.340067	0.040804	0.292944	0.112745	0.0152034	0.0159986	0.00123866	0.0132425
í	0.0304661	0.0108052	0.103379	0.0174521	0.00194727	0.202887	0.074977	0.0167454	0.114887	0.0126597	0.413794
i	0.120003	0.0077614	0.159837	0.0346304	0.00246675	0.25733	0.109458	0.10026	0.0799327	0.0335712	0.0947492
b	0.0241346	0.0193834	0.0204308	0.00523332	0.00357433	0.11343	0.376352	0.34728	0.0174923	0.0554374	0.0172523
h	0.000893422	0.00661642	0.00561434	0.00131069	0.00431037	0.00861775	0.101151	0.866753	0.000938682	0.00204676	0.00174758
ε	0.000903571	0.00145021	0.00206325	0.000326605	0.000306282	0.00800606	0.0911135	0.86919	0.00103455	0.0169752	0.00863078
n	0.00515861	0.00250237	0.0204545	0.00641121	0.000757956	0.0653451	0.167038	0.589608	0.0279907	0.0872172	0.0275157
g	0.149917	0.0092749	0.0961696	0.0359663	0.000112064	0.091524	0.151919	0.229511	0.140442	0.0476538	0.0475114
έ	0.0618599	0.00265397	0.0219384	0.0945182	0.00138049	0.0379928	0.172997	0.493332	0.0274498	0.0728927	0.0129845
n	0.00229565	0.000143145	0.00305182	0.000845314	2.42191e-05	0.00882969	0.0190019	0.134328	0.368968	0.417967	0.044545
d	0.0463884	0.00120427	0.00769677	0.00242137	1.25799e-05	0.00631837	0.0393618	0.016434	0.540604	0.283567	0.0559914
ε	0.00672077	0.000898285	0.00492549	0.000560709	8.88761e-06	0.00602694	0.0374107	0.011764	0.28661	0.579551	0.0655229
l	0.00693467	0.000776392	0.00759086	0.000720858	9.04478e-06	0.00414364	0.0109748	0.00589979	0.340741	0.429791	0.192418
i	0.00383115	0.00237024	0.0106839	0.00141257	1.53587e-05	0.00554856	0.00774088	0.00484234	0.181509	0.593506	0.188539
</S>	0.00707442	0.000708275	0.00828632	0.000564745	1.85971e-05	0.00711029	0.00381214	0.00123339	0.136855	0.192833	0.641505
