 	yongo	qui	était	chef	de	can	ton	mbochi	voyageait	toujours	en	chaise	à	porteurs	dans	son	fief	</S>
y	0.642184	0.26787	0.0131225	0.00559189	0.0157533	0.00420887	0.0188217	0.00613386	0.00104702	0.00410689	0.0081175	0.00201371	0.0055243	0.000436162	0.000743615	0.00375423	0.000542375	2.76238e-05
o	0.711421	0.279394	0.0074525	0.000249609	9.95879e-05	0.000477727	0.000263704	5.11899e-05	0.000264839	2.74323e-05	2.04008e-05	5.92578e-06	4.49749e-05	1.1472e-05	1.88911e-05	8.03907e-05	9.47787e-05	2.121e-05
n	0.753308	0.188763	0.0078218	0.00203197	0.00046876	0.00131349	0.00162626	0.00104564	0.0271042	0.00217312	0.0019344	0.00119524	0.0025784	0.00231263	0.000772567	0.000814873	0.00104149	0.00369402
g	0.636767	0.287801	0.00768458	0.000259599	0.000745604	0.0348338	0.00256587	0.00433093	0.0091336	0.00232987	0.00161691	0.00068379	0.00316812	0.0019029	0.000771774	0.00115842	0.00016388	0.00408178
o	0.77152	0.181055	0.0157209	0.002129	0.000328119	0.00190353	0.00229361	0.0010976	0.0138596	0.000869732	0.000907469	0.0010875	0.00233567	0.00277418	0.000213527	0.00013347	2.87671e-05	0.00174251
y	0.280676	0.560585	0.0896681	0.000691014	0.00456249	0.00116868	0.00685068	0.00659989	0.00550919	0.00578017	0.00686635	0.00359031	0.0101755	0.00198648	0.00386075	0.00258185	0.000513539	0.0083339
á	0.147467	0.57489	0.149343	0.00384754	0.0108048	0.0069991	0.00700541	0.00800221	0.0176671	0.0140302	0.0111799	0.00396655	0.0154556	0.00466857	0.00483077	0.00751661	0.000838222	0.0114871
á	0.03561	0.297783	0.397468	0.0144811	0.0592054	0.0114967	0.0265977	0.0139062	0.00728151	0.0118772	0.0199204	0.00946822	0.0305053	0.0091791	0.0157696	0.0240518	0.00519942	0.0101993
d	0.00186971	0.0529957	0.822551	0.0790651	0.00632521	0.00121047	0.00454535	0.00107446	0.000873646	0.00083786	0.000926714	0.00306117	0.00248312	0.0129048	0.00421759	0.00176606	0.000373302	0.00291898
z	0.00101032	0.0298154	0.837259	0.0205709	0.021519	0.0102661	0.00664808	0.00298002	0.00630159	0.00529948	0.0036811	0.00396504	0.00787729	0.00944524	0.00836245	0.00363348	9.63945e-05	0.0212693
á	0.0114815	0.0309591	0.843585	0.0353686	0.0260977	0.0208524	0.00368514	0.00120817	0.0121077	0.00134344	0.00100949	0.000579597	0.00260571	0.00464846	0.00200282	0.000586844	0.000176176	0.00170178
o	0.0021168	0.0295276	0.161097	0.0621822	0.203615	0.0648085	0.0599947	0.0213936	0.0227844	0.0654273	0.047802	0.0202855	0.0334148	0.00766669	0.0390756	0.0376525	0.0292255	0.091931
k	0.000968463	0.0018937	0.0605007	0.82746	0.0434968	0.01266	0.00727229	0.00339811	0.0113861	0.00184552	0.00110042	0.00474946	0.00134351	0.0141714	0.00292818	0.00103282	0.000932543	0.00286019
o	2.2793e-05	3.36153e-05	0.000661204	0.972759	0.00551701	9.10098e-05	0.00204781	0.000391918	0.00536943	0.000941746	0.000527012	0.0046404	0.000280724	0.00188987	0.00212501	0.000340717	0.000217242	0.00214335
n	0.000426655	6.80373e-05	0.00107842	0.958777	0.00708397	0.000223225	0.00568089	0.000925942	0.00554863	0.000959533	0.00115326	0.00566043	0.000955859	0.00139466	0.00461631	0.00131099	0.00217914	0.00195712
d	0.00297296	0.00278815	0.0107623	0.822511	0.0218134	0.00460579	0.0295111	0.00415114	0.0195899	0.00606246	0.0056128	0.0151568	0.00431731	0.0039053	0.00867213	0.00535776	0.00218881	0.0300204
z	0.00330491	0.0130905	0.00971747	0.803226	0.0171107	0.00290454	0.0390605	0.00532667	0.0445897	0.00563113	0.00342167	0.0207059	0.00128424	0.00206425	0.00273357	0.00243361	0.000965785	0.0224288
i	0.00292958	0.00698993	0.0143883	0.28329	0.0859523	0.00738047	0.127236	0.0186099	0.137115	0.0351037	0.0241287	0.138694	0.00590226	0.00479131	0.00936536	0.00665517	0.00108202	0.090386
y	0.000731535	0.00479232	0.0612816	0.0258125	0.318412	0.116205	0.205423	0.0644295	0.0454429	0.0454015	0.0291041	0.0161546	0.0185835	0.00749161	0.0119437	0.00601331	0.000354095	0.0224231
a	0.00123312	0.00492282	0.00969403	0.00112611	0.147137	0.104555	0.150854	0.108179	0.24002	0.0707901	0.0415022	0.0299026	0.0149935	0.00744089	0.0337344	0.0130501	0.00252556	0.0183391
s	0.00360233	0.00381561	0.00735275	0.00212786	0.107843	0.159257	0.303272	0.100851	0.122203	0.0471964	0.0457107	0.0290089	0.017664	0.00644795	0.0112888	0.00946246	0.0103902	0.0125064
í	0.00216265	0.00500739	0.00535661	0.000103011	0.0115404	0.560705	0.0409511	0.0849308	0.2085	0.023454	0.0116676	0.0102509	0.00564677	0.00817692	0.0119266	0.001981	0.000272243	0.00736639
n	0.00044835	0.000704519	0.00343921	0.00232314	0.0324979	0.0708859	0.278437	0.125665	0.150146	0.0931391	0.0909555	0.0625394	0.0318446	0.0121609	0.0140939	0.00743292	0.0062218	0.0170636
g	0.00015137	0.00106721	0.000963327	2.22551e-05	0.00305411	0.825071	0.0347767	0.0732025	0.0279617	0.00797489	0.00693648	0.00277581	0.00620099	0.00307768	0.00112461	0.00181796	2.32275e-05	0.00379806
a	0.00204185	0.00314356	0.000799759	0.000161655	0.0020221	0.580147	0.0863444	0.058015	0.202801	0.0157958	0.0142316	0.0157179	0.00642264	0.00442371	0.00209631	0.00101693	0.000108232	0.00471078
l	0.000103656	0.000658872	0.00237136	0.000104873	0.0172193	0.0703432	0.147462	0.193386	0.0989565	0.174473	0.136651	0.0409811	0.0669194	0.00687816	0.0130333	0.0152758	0.000556568	0.0146255
á	0.00144129	0.00360425	0.00468187	0.000242156	0.0113629	0.128595	0.127403	0.252155	0.0822866	0.0842497	0.0828346	0.0925549	0.0492925	0.0102662	0.0141776	0.0158455	0.000360202	0.038647
m	0.00037421	0.00012506	0.000499781	0.000416175	0.0053786	0.00488553	0.0714983	0.0767331	0.0807602	0.160445	0.195348	0.177304	0.0847097	0.0276106	0.0598534	0.0337572	0.00802847	0.0122719
b	0.000107496	0.000398534	0.000520743	3.96448e-05	0.0029109	0.000792816	0.0031556	0.373007	0.0591931	0.0504506	0.0363199	0.00535164	0.0807694	0.30331	0.0375719	0.0273171	0.00142982	0.0173543
ώ	2.09501e-05	1.83546e-05	3.00989e-05	0.000501926	0.000919001	0.000315007	0.00246946	0.135323	0.1142	0.0127461	0.0128648	0.0216964	0.0191217	0.649492	0.0231461	0.00228464	0.0011856	0.00366397
s	7.58568e-05	4.752e-05	0.000326792	0.00061602	0.00412346	0.000132321	0.012665	0.226831	0.0444077	0.0268808	0.054545	0.125389	0.0606331	0.389478	0.0361727	0.00781782	0.00055964	0.00929912
í	0.000679325	0.000448264	0.0004237	0.00190879	0.00549217	0.0144008	0.0865326	0.107542	0.296524	0.0605226	0.0522749	0.115033	0.0387292	0.044567	0.0211507	0.0215785	0.00148438	0.130708
á	6.62663e-05	0.000227668	0.00187293	2.41834e-05	0.00814492	0.0120185	0.0265359	0.0562175	0.0312243	0.184391	0.151746	0.0259517	0.253858	0.0255675	0.122144	0.0817265	0.00149292	0.0167893
m	0.000101038	0.000285193	0.00663094	0.000411396	0.00220439	0.00206409	0.00970047	0.00602977	0.00223871	0.0131474	0.0211999	0.0353235	0.230383	0.170246	0.339325	0.116768	0.00620047	0.0377414
b	1.5279e-05	0.00125629	0.00325417	1.62517e-05	0.00159862	0.000714715	0.00351735	0.0271898	0.00102267	0.0181022	0.0227914	0.00292904	0.210434	0.381761	0.15491	0.108075	0.00147183	0.0609398
o	1.34403e-05	0.000197197	0.00022384	9.11495e-05	0.00065252	9.20858e-05	0.00237555	0.0506496	0.00562832	0.0058124	0.0112551	0.0248723	0.0532302	0.745668	0.0695268	0.00775519	0.0013389	0.0206177
n	3.94742e-05	7.01242e-05	0.000118944	0.000129796	0.00148407	9.27925e-05	0.00577688	0.0117601	0.0194284	0.0242129	0.0300152	0.0658907	0.0662803	0.463863	0.262333	0.0136136	0.000902187	0.0339887
d	0.000384565	0.001408	0.00100656	0.00393276	0.00425103	0.00178672	0.0397855	0.0228607	0.0645951	0.0476937	0.0594427	0.139685	0.13042	0.274282	0.0868871	0.0292969	0.00859849	0.0836825
z	0.000206786	0.00130745	0.000701043	0.00136957	0.00247697	0.00277507	0.0249258	0.024416	0.145173	0.0645268	0.0663146	0.0955405	0.104678	0.235682	0.110244	0.0419897	0.0250746	0.0525978
i	5.54002e-05	0.000150884	0.000145324	0.0014867	0.00205313	0.00206281	0.0690082	0.0205059	0.0794497	0.0463336	0.0545269	0.353269	0.032934	0.0547403	0.0477487	0.0201242	0.0152529	0.200152
á	0.000117844	0.000391185	0.00130844	3.82595e-05	0.00321148	0.00309733	0.0221662	0.0163494	0.00749728	0.0716767	0.107225	0.0449807	0.230322	0.0597387	0.226619	0.153515	0.00478177	0.046964
b	0.000104087	0.000479305	0.0115219	0.000598245	0.00461289	0.00151928	0.0112556	0.00540249	0.00164508	0.00670089	0.00822888	0.0109959	0.0882204	0.128162	0.393057	0.176731	0.0541607	0.0966046
h	7.52391e-05	0.000630618	0.00146179	0.0002713	0.00213986	0.000942374	0.0152359	0.0168876	0.000373819	0.0104843	0.0314459	0.0243403	0.127147	0.31997	0.237721	0.0875958	0.00258643	0.120691
é	0.000141307	7.96015e-05	0.000423806	0.000949246	0.00259219	0.00153699	0.0213909	0.0166079	0.00104614	0.0279715	0.0658392	0.0556302	0.186716	0.147578	0.272097	0.047152	0.00274166	0.149506
m	8.02521e-05	0.000174846	0.000404144	0.000114696	0.00235162	0.00167034	0.0099507	0.00474001	0.00229385	0.0154751	0.0267357	0.0181889	0.0887653	0.113495	0.456601	0.0898465	0.0357641	0.133348
b	1.12207e-05	6.99505e-05	0.000162466	2.2203e-05	0.00330383	0.00064498	0.00188212	0.0249737	0.00222176	0.0133088	0.0137869	0.00268706	0.075037	0.235929	0.299007	0.175249	0.00456209	0.147142
á	1.5158e-05	2.59422e-05	4.37828e-05	0.000139347	0.00237471	0.000506577	0.00450958	0.0273473	0.0024465	0.0110582	0.0180453	0.00386679	0.0962879	0.417774	0.168437	0.0587339	0.00172081	0.186667
á	6.06066e-05	3.38872e-05	6.28372e-05	3.038e-05	0.00200788	0.000387627	0.00273743	0.00693008	0.00134466	0.0104858	0.0219681	0.00735107	0.0809738	0.0657305	0.284143	0.207437	0.0404034	0.267912
