 	j'	ai	une	ampoule	au	pied	ma	chaussure	me	blesse	</S>
n	0.509425	0.0363452	0.0868743	0.31165	0.0394214	0.0106487	0.0029178	0.000753623	0.00165568	0.000168884	0.000139202
g	0.985291	0.00641671	0.00406011	0.000289244	0.000216106	1.02953e-05	0.00333625	1.65187e-05	0.0003571	4.60497e-06	2.55934e-06
á	0.934666	0.0449112	0.0125218	0.00131875	0.000234412	0.000106734	0.00584605	7.35962e-05	0.000294807	1.66333e-05	9.62609e-06
i	0.125748	0.352295	0.246959	0.0106273	0.0112845	0.00234123	0.0319256	0.00805859	0.0510472	0.0031565	0.156557
d	0.0175089	0.319643	0.502602	0.0269191	0.012482	0.0206231	0.00524244	0.0428771	0.00833549	0.00731793	0.0364496
í	0.0474848	0.750161	0.157484	0.00138584	0.00605096	0.00135287	0.00523017	0.00164279	0.0063105	0.000444606	0.0224526
l	0.0280305	0.192096	0.495009	0.021478	0.111826	0.0110376	0.0342113	0.0091051	0.0485002	0.00276062	0.0459455
a	0.00454787	0.197074	0.417705	0.0447758	0.084693	0.0113177	0.0499868	0.0195823	0.034515	0.00340756	0.132395
i	0.00202982	0.103671	0.335718	0.378412	0.0738842	0.0184059	0.0307821	0.0193232	0.0223326	0.00180106	0.0136398
t	0.000203404	0.0307533	0.270968	0.415058	0.0289513	0.0836689	0.00219963	0.101873	0.00453384	0.0186097	0.0431818
ω	6.94322e-06	0.0033269	0.182187	0.481745	0.0238423	0.12402	0.000263414	0.139494	0.00208817	0.0118737	0.0311524
n	1.28824e-05	0.00247476	0.0680864	0.876683	0.0174168	0.0209171	0.000609146	0.00751213	0.00115348	0.000793041	0.00434143
d	0.00472206	0.0552556	0.279138	0.50692	0.0467235	0.0184782	0.0101969	0.0335478	0.014376	0.00351541	0.0271261
ω	0.00358983	0.041768	0.370326	0.282711	0.0643163	0.0160961	0.0209199	0.0534186	0.0416025	0.0101008	0.0951502
m	0.00288067	0.0815278	0.187776	0.110818	0.513641	0.019816	0.0308972	0.00584875	0.021274	0.00114244	0.0243779
ó	0.000913513	0.0391855	0.0771892	0.0796758	0.477448	0.0212242	0.0771493	0.0374174	0.0458661	0.000353866	0.143577
e	0.00407946	0.0110214	0.032791	0.140399	0.233135	0.385957	0.0395493	0.0729636	0.0290891	0.0165098	0.034505
k	0.000172197	0.0090049	0.0275791	0.0656118	0.0638706	0.661654	0.00936305	0.131311	0.0041905	0.0153616	0.011881
o	3.57247e-07	0.0001386	0.00483	0.0681243	0.00865588	0.835873	0.000351176	0.0657435	0.000577588	0.013171	0.00253466
o	2.44173e-07	0.000220963	0.00590252	0.21651	0.0110614	0.731289	0.000732483	0.0261581	0.000688293	0.00567154	0.00176594
i	3.61975e-05	0.00475112	0.0166714	0.010289	0.263488	0.0646344	0.357567	0.183948	0.0576551	0.0037199	0.0372398
p	0.000388035	0.0151885	0.0279179	0.00850188	0.0752457	0.0619021	0.135794	0.394127	0.0844555	0.0394274	0.157052
á	8.03789e-06	0.000337338	0.00417065	0.0117567	0.00812757	0.0633134	0.00237576	0.748314	0.00657781	0.134082	0.0209366
p	3.60099e-05	0.00022204	0.00237506	0.00733459	0.0136546	0.0391248	0.00383366	0.855707	0.00949616	0.0413474	0.0268691
a	0.000248929	0.000182295	0.00108049	0.00368391	0.00629556	0.0138226	0.00800777	0.680558	0.0249594	0.205386	0.055775
l	2.36779e-05	0.000349317	0.00237591	0.00242196	0.0156199	0.0228769	0.0288424	0.425835	0.0491757	0.241564	0.210916
í	8.9585e-05	0.000905347	0.00675975	0.0121823	0.0244786	0.0317013	0.0740298	0.351494	0.105171	0.248802	0.144387
i	0.00105082	0.00583371	0.00569788	0.00358218	0.0246832	0.00496435	0.206341	0.0311263	0.37162	0.208044	0.137056
k	0.000438714	0.00705486	0.0158524	0.0056615	0.0125936	0.0184706	0.023769	0.11386	0.125901	0.535233	0.141166
ώ	3.55157e-06	0.000467482	0.00857794	0.00894647	0.00926675	0.0508327	0.00191014	0.0720724	0.0222874	0.777872	0.047763
s	1.10488e-05	8.70306e-05	0.00134505	0.0308758	0.00363219	0.0325679	0.00257191	0.143967	0.0271974	0.641255	0.11649
ώ	6.0058e-05	0.00103105	0.00700407	0.0347317	0.0110725	0.026086	0.0240193	0.338448	0.0798804	0.271145	0.206522
l	3.32802e-05	0.000696148	0.00212421	0.000499085	0.00645478	0.00144009	0.0454186	0.0240687	0.225036	0.263316	0.430913
ώ	0.00277099	0.00960803	0.0227836	0.0104405	0.0231792	0.00889389	0.137766	0.0281095	0.307825	0.159452	0.289171
n	0.000945149	0.00629076	0.00767202	0.00295475	0.01931	0.00345292	0.129408	0.00858377	0.43447	0.137996	0.248917
g	0.00768221	0.00325186	0.0030043	0.000553189	0.00490513	0.000426496	0.44469	0.00220368	0.494097	0.0163807	0.0228061
á	0.00747923	0.00220182	0.00115624	0.000527941	0.00189563	0.000314026	0.406824	0.00361556	0.471056	0.0259243	0.0790059
</S>	3.77582e-05	0.000293863	0.00145554	0.00147754	0.00702616	0.00264738	0.0342242	0.0201116	0.27707	0.174896	0.48076
