 	après	la	bise	a	renoncé	à	lui	faire	ôter	son	manteau	</S>
l	0.652642	0.231605	0.016061	0.0281487	0.000873781	0.0189629	0.0283315	0.012791	0.000477285	0.00749889	0.0024743	0.000133874
o	0.371582	0.476807	0.0460455	0.0228638	0.00896009	0.0300534	0.0110694	0.0108805	0.00375447	0.00978362	0.00722295	0.000977058
p	0.0760313	0.451065	0.282323	0.00691503	0.0102121	0.0268998	0.0203464	0.033457	0.0136924	0.0057354	0.0560624	0.01726
f	0.0579483	0.316794	0.199802	0.00760496	0.0430785	0.0388557	0.0405902	0.0755477	0.00590278	0.0245675	0.122018	0.0672899
a	0.193091	0.438328	0.213881	0.0107219	0.0626623	0.0302102	0.0147879	0.0104875	0.00335401	0.00441899	0.00997255	0.00808432
o	0.0806978	0.458553	0.268435	0.0532693	0.0222647	0.0295658	0.0193651	0.017606	0.00861731	0.0134418	0.00471875	0.0234653
p	0.0401625	0.154033	0.436956	0.079198	0.211224	0.0209202	0.00980449	0.0149916	0.0142765	0.00300327	0.00620311	0.00922728
ε	0.00429342	0.0285504	0.823395	0.00376737	0.0937292	0.0104237	0.00443346	0.013055	0.00255593	0.00126003	0.00745139	0.00708495
p	0.0279729	0.0648609	0.766636	0.0102013	0.0316359	0.0194797	0.0128993	0.0217054	0.00203669	0.00961382	0.0145135	0.0184449
ε	0.246631	0.0970517	0.380398	0.0453931	0.0152767	0.0114557	0.0675073	0.0252239	0.00123091	0.0235843	0.0262801	0.0599669
o	0.0887801	0.0681332	0.206994	0.314112	0.0126727	0.0321924	0.0919954	0.0371159	0.0032324	0.0614385	0.0090454	0.0742879
y	0.0161328	0.0173085	0.0997222	0.263186	0.397622	0.108218	0.0384706	0.01919	0.00921614	0.00513064	0.00424776	0.0215552
ε	0.0190869	0.0279168	0.136304	0.363551	0.119551	0.196174	0.0515908	0.0230844	0.021923	0.0199577	0.00526604	0.0155948
i	0.0543342	0.014296	0.0740545	0.282375	0.0892793	0.1356	0.0942922	0.0243878	0.0300911	0.0546874	0.0234949	0.123107
o	0.00544774	0.00825555	0.0582184	0.0785486	0.424267	0.19253	0.08301	0.0401782	0.0200145	0.00944206	0.0153634	0.0647245
