 	il	avoua	qu'	il	avait	volé	</S>
w	0.905216	0.0310156	0.0497995	0.0102406	0.00267718	3.08496e-05	0.00102035
a	0.968486	0.00609932	0.00880471	0.0119705	0.00389129	2.15175e-05	0.000727115
a	0.162384	0.464997	0.236997	0.0521606	0.0767336	0.000377899	0.00634999
b	0.0573576	0.671412	0.0987226	0.0518259	0.0651423	0.0295927	0.025947
é	0.0524968	0.138729	0.273111	0.455059	0.0392173	0.000843546	0.0405426
n	0.00903427	0.172006	0.248328	0.194786	0.06504	0.0918376	0.218967
y	0.0738971	0.168612	0.381483	0.223268	0.0192361	0.00601544	0.127488
í	0.0251685	0.325207	0.458021	0.123751	0.0263954	0.00178584	0.0396709
w	0.0476337	0.029806	0.496327	0.311806	0.0482124	0.00849168	0.0577231
á	0.0404642	0.00557066	0.6265	0.226949	0.0340878	0.0012314	0.0651967
r	0.0232983	0.00290747	0.18164	0.559179	0.0724779	0.0421127	0.118385
e	0.106057	0.0318696	0.265153	0.376556	0.0394067	0.00115282	0.179805
w	0.00452984	0.0109069	0.207272	0.329194	0.304145	0.00900031	0.134953
a	0.0198909	0.00696091	0.302749	0.480828	0.151282	0.00319911	0.0350911
á	0.0033978	0.00247684	0.085979	0.15623	0.37912	0.111586	0.261211
y	0.00081306	0.0198125	0.0176191	0.0327708	0.660854	0.183792	0.0843389
í	0.000501327	0.0144662	0.00597152	0.00724533	0.0603618	0.783481	0.127972
b	9.46976e-05	0.000668857	0.00157432	0.00509581	0.0280083	0.866323	0.0982345
h	0.00261217	0.0089496	0.0350904	0.0475729	0.131486	0.520957	0.253333
á	0.000320471	0.00534826	0.0186528	0.0276969	0.0173485	0.668002	0.262631
</S>	0.00322071	0.00390095	0.0366052	0.070524	0.161838	0.0811116	0.6428
