 	j'	ai	déjà	circoncis	mon	enfant	</S>
n	0.979061	0.0147983	0.000498049	0.000272856	0.00525881	8.90142e-05	2.17714e-05
g	0.971279	0.0128725	0.00011964	5.51751e-05	0.0150812	0.000580343	1.18635e-05
á	0.875661	0.103284	0.00495243	0.0035176	0.0103966	0.00210016	8.78868e-05
í	0.0619335	0.204613	0.139881	0.0244542	0.0314278	0.00855658	0.529134
m	0.00726532	0.271417	0.678865	0.0372992	0.00139183	0.000710279	0.00305138
i	0.000216581	0.10457	0.720074	0.166559	0.000504275	0.00346858	0.00460768
s	0.000127657	0.0451829	0.850977	0.101421	0.000173529	0.00122517	0.000892229
á	0.000150284	0.0733792	0.596758	0.326342	0.000263467	0.000244393	0.00286306
á	0.00192288	0.182256	0.361508	0.15968	0.0351117	0.0316834	0.227839
o	0.0142065	0.157999	0.303661	0.353139	0.113845	0.0471517	0.00999745
s	0.0003405	0.0049677	0.088537	0.895514	0.00286601	0.00535332	0.00242158
ε	0.000113714	0.00371617	0.0220019	0.973273	0.00014906	0.00037264	0.000373718
m	0.00123045	0.0128226	0.052742	0.777203	0.00562319	0.00825893	0.14212
έ	0.00866039	0.0417108	0.070473	0.618497	0.11975	0.0162394	0.124669
m	0.000572597	0.0354492	0.0898923	0.183261	0.26558	0.059135	0.36611
w	0.00136225	0.00366132	0.00413005	0.0182213	0.0365872	0.796657	0.139381
á	0.000346887	0.000148788	0.000156821	0.0015148	0.00195443	0.994683	0.00119568
n	0.000329233	0.000665558	0.00166432	0.00245263	0.169734	0.814148	0.0110061
a	0.00313547	0.0163322	0.00494056	0.00967937	0.0480812	0.887037	0.0307945
y	0.00251732	0.0176759	0.0278055	0.0235728	0.688077	0.0480371	0.192314
a	0.000664537	0.0165924	0.0287474	0.0373053	0.75055	0.0875441	0.0785967
n	0.00105473	0.00574647	0.00640786	0.00737128	0.774465	0.128593	0.0763618
g	0.0076833	0.00267556	0.00106766	0.00417864	0.762297	0.138946	0.0831511
á	0.00259468	0.00583281	0.00187557	0.0089491	0.279737	0.0687966	0.632214
</S>	0.000342902	0.00202974	0.00185531	0.00190594	0.312512	0.210228	0.471126
