 	je	vais	te	donner	un	autre	couteau	</S>
n	0.917857	0.00695304	0.0342917	0.0240834	0.00427578	0.00354471	0.00837703	0.000617308
g	0.990239	0.00531435	0.00387439	4.41114e-05	7.03382e-05	0.000412751	3.18652e-05	1.30058e-05
á	0.94276	0.0416937	0.0129649	0.00110866	0.000443593	0.000816674	0.000202474	1.0342e-05
l	0.0717533	0.344908	0.262346	0.0452316	0.025122	0.0431391	0.0156786	0.191821
í	0.651829	0.065157	0.0356775	0.00943894	0.0312138	0.0530848	0.0177979	0.135801
i	0.072707	0.14507	0.140304	0.0440698	0.0932378	0.187457	0.0222203	0.294934
p	0.00334268	0.476145	0.0652418	0.342108	0.0416214	0.0107995	0.0112674	0.0494748
ε	8.08999e-05	0.0458959	0.0720081	0.784469	0.0725212	0.000898636	0.00652733	0.0175985
n	0.00240676	0.0800508	0.298352	0.297606	0.257628	0.0173019	0.00189292	0.044762
ω	0.0114366	0.0171776	0.632371	0.239207	0.0817958	0.0129839	0.00117255	0.00385583
i	0.00166815	0.00849519	0.0850096	0.0270995	0.43802	0.397973	0.00683505	0.0349001
b	0.000701264	0.00337575	0.0314983	0.110684	0.317424	0.342633	0.13658	0.057104
á	0.000732555	0.000201666	0.00904026	0.0342376	0.0161242	0.0120226	0.913469	0.0141722
á	0.000314572	0.000329575	0.00765942	0.00808722	0.0215264	0.0186068	0.89077	0.0527061
i	0.000330025	0.00253654	0.00838628	0.00214674	0.156915	0.520926	0.124876	0.183883
s	0.000408348	0.00218932	0.00420082	0.0261148	0.13251	0.345818	0.239882	0.248876
ú	0.000556248	0.00414536	0.000271954	7.48246e-05	0.0210642	0.885752	0.00968048	0.0784554
s	0.000976857	0.000485802	0.00116025	0.000364925	0.0309038	0.943966	0.010714	0.0114281
u	0.00103677	0.000245194	0.00397595	0.000971048	0.0708129	0.840866	0.0173493	0.0647425
</S>	5.2692e-05	0.000344148	0.00063183	0.000264746	0.0636695	0.187232	0.0558046	0.692
