 	papa	m'	a	envoyé	planter	un	safoutier	dans	la	parcelle	</S>
t	0.762335	0.225381	0.0095865	0.000333993	0.00147186	0.000211265	1.49358e-05	0.000433157	0.000211541	1.08522e-05	9.94425e-06
á	0.283616	0.690417	0.0226492	0.00100833	0.00131383	0.000346043	1.76756e-05	0.000206557	0.000380431	3.58896e-05	9.05761e-06
á	0.0807955	0.704674	0.0559163	0.0810684	0.00783407	0.00207556	0.00823935	0.00130629	0.000720242	0.00262121	0.0547494
á	0.0670762	0.374232	0.412655	0.070976	0.0283579	0.00625215	0.00992039	0.0110756	0.00500361	0.00263728	0.0118137
t	0.00182179	0.044937	0.28265	0.556019	0.0520146	0.015407	0.0297254	0.0101058	0.00277049	0.000825179	0.00372468
í	0.000407603	0.0027172	0.0635202	0.837355	0.048398	0.017415	0.0247599	0.00218492	0.0010826	0.000598674	0.00156126
n	0.00157581	0.00848311	0.0576621	0.694886	0.0933109	0.0175569	0.102352	0.0167879	0.00214043	0.00118217	0.00406363
d	0.00166012	0.00688346	0.108099	0.721799	0.117721	0.0198999	0.0149812	0.00372063	0.00166083	0.00102376	0.00255071
i	0.0127544	0.0489989	0.129994	0.616093	0.149607	0.019293	0.0113109	0.00382261	0.00216769	0.00152772	0.00443081
n	0.00504908	0.385496	0.282639	0.0715207	0.172843	0.0444866	0.00511324	0.00637013	0.0046633	0.00413091	0.0176874
g	0.0402364	0.121922	0.0429435	0.54744	0.118917	0.062534	0.00322662	0.00421996	0.00972849	0.0356584	0.0131742
á	0.0180466	0.69576	0.0573926	0.10694	0.054597	0.0444416	0.00190662	0.000782901	0.00254616	0.0106677	0.00691802
o	0.00376775	0.0050028	0.0536843	0.0199634	0.462743	0.3617	0.0225964	0.0331266	0.019827	0.00772888	0.0098595
p	0.000293237	0.000366406	0.00231098	0.0381663	0.107419	0.0737169	0.759503	0.0128167	0.00202616	0.00213249	0.0012491
i	6.64027e-05	2.42516e-05	0.00270642	0.0426869	0.0476138	0.0896446	0.79757	0.00787231	0.00261298	0.00242634	0.00677554
á	7.63307e-05	2.26584e-05	0.0150686	0.048499	0.131234	0.180975	0.58931	0.0160316	0.00442786	0.00295694	0.0113978
o	0.000982086	0.00256245	0.0323938	0.00663354	0.0853547	0.257309	0.12782	0.260667	0.104714	0.0384342	0.0831294
s	0.00017678	0.000158812	0.000527399	0.000505663	0.00823054	0.042355	0.362034	0.36543	0.100808	0.102618	0.0171573
á	0.006092	0.00174159	0.0027276	0.00370575	0.0335867	0.0638258	0.443119	0.143002	0.0767398	0.168282	0.057178
á	0.001793	0.00346698	0.00432865	0.000780742	0.0138807	0.0329537	0.256144	0.111597	0.0883378	0.318067	0.168651
s	0.000462673	0.00111507	0.00845664	0.00357036	0.0145422	0.0333631	0.0281314	0.237608	0.249841	0.31381	0.109099
é	0.00091493	0.000734962	0.00250957	0.0100995	0.0183569	0.0284816	0.064066	0.059168	0.139098	0.495188	0.181382
f	0.000214087	0.00102281	0.00159678	0.000646916	0.00195797	0.00300412	0.00583941	0.00890253	0.0581485	0.8884	0.0302674
u	0.000494437	0.00106306	0.00339688	0.00228722	0.00566474	0.0215976	0.0154204	0.0334839	0.116489	0.777329	0.0227734
n	0.00161354	0.00125494	7.88672e-05	0.000166327	0.000846198	0.00593032	0.0300654	0.0440804	0.0548191	0.817761	0.0433835
d	4.86543e-05	0.000279877	0.000378863	0.0005718	0.00151387	0.0174767	0.0197901	0.068658	0.120532	0.642156	0.128594
u	2.78821e-05	8.80126e-05	0.00110379	0.00080323	0.00345673	0.033195	0.00471105	0.0423304	0.137031	0.419895	0.357358
</S>	0.000461385	0.00103786	0.00470049	0.000395852	0.00222053	0.0105669	0.002717	0.0604048	0.200427	0.281975	0.435093
