 	j'	ai	apporté	du	gibier	à	mon	beau-père	</S>
n	0.749453	0.0754341	0.0496841	0.047397	0.0297535	0.0196362	0.0280928	0.000282707	0.000266769
g	0.919138	0.00818709	0.00386338	0.00215523	0.0442314	0.000666194	0.021735	1.44811e-05	9.32196e-06
á	0.733177	0.114429	0.0239358	0.00555004	0.082763	0.0045613	0.0352606	0.000251621	7.12361e-05
í	0.0743479	0.433922	0.126575	0.0830561	0.0711191	0.0263314	0.0621534	0.00958382	0.112911
b	0.0133793	0.387372	0.533272	0.0275968	0.00646357	0.00835634	0.00234898	0.00566891	0.0155417
é	0.00344146	0.201915	0.666839	0.0849521	0.00439055	0.0140907	0.00091083	0.0132302	0.0102298
r	0.0099275	0.187443	0.52209	0.153005	0.0448218	0.0290672	0.0138407	0.00801734	0.0317871
i	0.00868503	0.0778508	0.321444	0.297194	0.16218	0.0593562	0.032341	0.00983559	0.0311144
t	0.0185371	0.0649109	0.106496	0.303401	0.421178	0.0431375	0.0194911	0.0129855	0.00986252
á	0.00244735	0.00850788	0.0484612	0.529565	0.11609	0.155537	0.00878218	0.0875915	0.043019
á	0.00518064	0.0163736	0.0365748	0.18915	0.0613269	0.117683	0.00897205	0.409043	0.155696
y	0.0026665	0.0104676	0.0177562	0.222477	0.287261	0.245133	0.189264	0.0174486	0.00752566
a	0.00239934	0.0102086	0.0490697	0.128608	0.324859	0.213715	0.221589	0.0181345	0.0314167
m	0.00141948	0.00415271	0.0102458	0.0765831	0.168209	0.337176	0.348717	0.037115	0.0163823
w	0.000393159	0.00428466	0.0089878	0.0680918	0.114185	0.311219	0.0382173	0.331473	0.123148
á	0.00133209	0.00456671	0.0138768	0.193074	0.0521002	0.430914	0.0139216	0.263316	0.0268989
s	0.00733777	0.00282487	0.010574	0.110988	0.163582	0.215707	0.178139	0.197444	0.113403
í	0.000569326	0.00181432	0.00729798	0.0415752	0.150809	0.39281	0.141236	0.0925526	0.171336
y	0.00125029	0.00444651	0.00649042	0.0361921	0.0605512	0.245951	0.398629	0.0819009	0.164589
a	0.000734117	0.00382187	0.00735446	0.0222735	0.0838918	0.268294	0.421196	0.101611	0.090823
n	0.000275701	0.000538768	0.00177876	0.00325077	0.0170122	0.0396454	0.888358	0.0228682	0.0262722
g	0.00226716	0.000202179	0.00157277	0.00159209	0.0838868	0.0336732	0.844239	0.00460456	0.0279621
á	0.00100278	0.000827203	0.00160721	0.00677764	0.178876	0.0844416	0.399311	0.0169055	0.310251
l	0.000261921	0.0015188	0.00307061	0.0207877	0.0513911	0.144464	0.256283	0.0960147	0.426208
e	0.000546721	0.00319835	0.0114917	0.0201156	0.0289502	0.106812	0.215976	0.103023	0.509886
t	8.13684e-05	0.000839885	0.00302258	0.0129898	0.0122719	0.0756029	0.187939	0.0890296	0.618223
ú	0.000663842	0.00113147	0.0034204	0.0194151	0.0106986	0.181705	0.14948	0.37288	0.260605
n	0.00184517	0.000780859	0.00583797	0.0104981	0.0297652	0.0771384	0.195814	0.07556	0.602761
g	0.00046436	0.000418454	0.0032341	0.00687179	0.0313305	0.0901606	0.263053	0.0126422	0.591825
u	0.00144333	0.000506965	0.0037415	0.0118851	0.101452	0.0938315	0.280479	0.0231233	0.483537
</S>	0.000117297	0.00107456	0.00180216	0.0041022	0.00504609	0.0309825	0.087843	0.0109606	0.858072
