 	qui	va	traverser	le	fleuve	cette	nuit	</S>
o	0.317067	0.528965	0.103864	0.0194447	0.0109437	0.00905145	0.00732429	0.00334001
l	0.0213203	0.391047	0.254742	0.067097	0.0491808	0.017566	0.13226	0.0667863
a	0.00483937	0.108306	0.528423	0.134101	0.0355362	0.0115157	0.0551071	0.122171
b	0.00292112	0.186901	0.413665	0.190725	0.0796898	0.0114621	0.0184719	0.096163
h	0.00247611	0.0434745	0.602169	0.173409	0.0510988	0.0157399	0.0232924	0.0883403
i	0.0238481	0.0862027	0.579873	0.101457	0.0572695	0.0196488	0.019257	0.112445
n	0.0222295	0.00483675	0.174473	0.330101	0.24248	0.0837705	0.0501642	0.0919455
d	0.0489526	0.00329119	0.148504	0.312866	0.204556	0.126274	0.0716514	0.0839045
z	0.00429931	0.000279975	0.00363747	0.0901036	0.493099	0.201891	0.0218934	0.184796
á	0.00227685	0.00125181	0.0212869	0.208418	0.315046	0.232936	0.0846054	0.134178
l	0.0188757	0.00144906	0.0091613	0.175444	0.383932	0.252926	0.0364858	0.121726
é	0.0226914	0.00560387	0.0242673	0.12129	0.302533	0.188639	0.207365	0.12761
l	0.0104419	0.00180634	0.00647378	0.0748581	0.16167	0.280695	0.285243	0.178812
a	0.0153501	0.00268961	0.00976586	0.0483227	0.114827	0.146378	0.184263	0.478403
k	0.0113833	0.00075769	0.00212879	0.0466272	0.12305	0.442238	0.207487	0.166328
ó	0.00126044	0.00319501	0.0059086	0.0246434	0.0361022	0.10927	0.728876	0.0907441
l	0.000340634	0.000859663	0.00973661	0.0628338	0.0556698	0.227181	0.483843	0.159535
i	0.00245043	0.00313911	0.0218458	0.036047	0.0613013	0.179663	0.510274	0.185279
n	0.0042795	0.00196097	0.0112583	0.0548912	0.0987709	0.346444	0.183605	0.29879
d	0.00773263	0.00265484	0.0153542	0.0285875	0.0564658	0.158013	0.12061	0.610582
a	0.00211444	0.000243768	0.000980131	0.00461185	0.0188685	0.0415076	0.0460699	0.885604
</S>	0.000321875	0.000182372	0.00179661	0.01436	0.033251	0.0949809	0.10001	0.755097
