 	je	voudrais	manger	la	partie	molle	de	l'	asperge	</S>
n	0.864617	0.0504448	0.0407488	0.0283884	0.00735868	0.00180933	0.0016939	0.00251992	0.00229634	0.00012302
g	0.991395	0.0054486	0.000547689	0.00144064	0.000959937	1.20988e-05	2.94246e-05	0.000113189	3.11316e-05	2.21322e-05
á	0.988935	0.0086364	0.000549746	0.000891717	0.000806489	4.92266e-05	4.98403e-05	5.54533e-05	2.3472e-05	2.36511e-06
i	0.326361	0.326748	0.074186	0.0937999	0.0583357	0.0144269	0.0151456	0.0293053	0.0129264	0.0487652
d	0.0232822	0.758066	0.0778456	0.0129468	0.020192	0.0410305	0.0255283	0.0077671	0.0124577	0.0208835
i	0.0739236	0.747498	0.0794788	0.0120407	0.0171093	0.022903	0.0105903	0.00174677	0.00135088	0.0333587
l	0.0285859	0.603719	0.218742	0.039154	0.0131239	0.0167405	0.0198227	0.00498942	0.00364804	0.0514748
a	0.062813	0.572756	0.194668	0.046346	0.0215227	0.0166889	0.0128369	0.00618671	0.00273993	0.0634412
p	0.0305274	0.710944	0.110069	0.0439656	0.0355678	0.00794204	0.00745679	0.00782491	0.00187	0.0438326
ó	0.00684034	0.561193	0.195545	0.0392722	0.0237318	0.00935112	0.0120875	0.00477078	0.0894598	0.0577489
s	0.000788369	0.773193	0.162753	0.0361078	0.0159331	0.00424447	0.00267704	0.000773422	0.000563167	0.00296572
á	0.000894254	0.369655	0.381472	0.0824388	0.0225744	0.00851053	0.0083305	0.00395607	0.0326172	0.0895514
o	0.0403938	0.0454592	0.446603	0.272489	0.102687	0.0235957	0.0131365	0.01867	0.00992601	0.0270393
d	0.0054862	0.0877264	0.533611	0.106006	0.0899845	0.140799	0.0168866	0.00366328	0.00776611	0.00807107
z	0.003031	0.0453701	0.354608	0.125866	0.107517	0.205605	0.0655473	0.00916372	0.00894762	0.0743437
á	0.00117069	0.0400452	0.394962	0.134275	0.380242	0.0335661	0.00786484	0.00118763	0.000607409	0.00607943
e	0.00104404	0.00727065	0.156696	0.205976	0.174129	0.155163	0.0630359	0.0573253	0.026057	0.153303
l	0.000229151	0.0145289	0.0636244	0.0541425	0.174751	0.604296	0.0609411	0.00679146	0.0061237	0.014571
o	0.00244377	0.0494568	0.0697335	0.0598051	0.084303	0.452321	0.138359	0.0256257	0.0304764	0.0874757
a	0.000102169	0.00919777	0.0192661	0.0610306	0.0768341	0.632757	0.14739	0.0128844	0.0133076	0.0272305
y	0.000797738	0.00382252	0.0135551	0.0516381	0.0491839	0.319255	0.340146	0.153486	0.0159633	0.0521521
ó	0.00457302	0.0625334	0.058211	0.0980018	0.0821766	0.179029	0.194943	0.220131	0.0181527	0.082248
k	0.00464414	0.00773689	0.015629	0.0799675	0.0739777	0.198774	0.205869	0.223162	0.104505	0.0857358
a	0.000340645	0.00306715	0.00891641	0.0247439	0.00633556	0.0478704	0.0749454	0.024064	0.787166	0.0225508
n	0.000180864	0.00472493	0.0228158	0.02733	0.0171264	0.0829055	0.119385	0.0337765	0.521578	0.170177
d	0.000185191	0.0129325	0.0523745	0.0404536	0.0186887	0.0894665	0.268021	0.113613	0.225003	0.179262
á	0.000599283	0.0219945	0.0235918	0.0530643	0.0509167	0.0593648	0.177652	0.116205	0.198903	0.297709
</S>	0.00317138	0.00295318	0.00831792	0.0183921	0.0196986	0.0378433	0.16308	0.326768	0.118478	0.301297
