 	tu	es	résistant	car	tu	restes	torse	nu	quand	il	fait	frais	</S>
n	0.85313	0.11241	0.00462386	0.0177395	0.00598527	0.000641787	0.00184423	0.00155797	0.00134282	0.000265341	0.000385982	5.38722e-05	1.93233e-05
ω	0.942905	0.0535307	7.48893e-06	0.000386397	0.00295897	3.46206e-05	7.60804e-06	6.261e-05	5.04033e-05	2.20305e-05	1.6562e-05	6.86524e-06	1.03475e-05
o	0.506938	0.402807	0.00657378	0.0125691	0.0311724	0.0104313	0.000134695	0.00731886	0.00417041	0.00519315	0.00279177	0.00122923	0.00866968
d	0.0510069	0.336123	0.325765	0.0729946	0.0145819	0.0759189	0.0345065	0.0244929	0.0173797	0.0067448	0.00724394	0.0119949	0.0212464
í	0.0635143	0.227178	0.173624	0.0430197	0.0200246	0.243845	0.00176414	0.0723222	0.00912521	0.0036015	0.00357549	0.00537628	0.133029
l	0.00944974	0.0859964	0.19001	0.038896	0.00551423	0.0716098	0.013615	0.0348874	0.0293106	0.00825152	0.0190371	0.0145	0.478922
a	0.090051	0.218262	0.152369	0.108016	0.0726315	0.0238664	0.0024688	0.0255038	0.0349159	0.0419839	0.0328613	0.00594903	0.191121
p	0.0388887	0.222029	0.29497	0.119596	0.0429761	0.0275092	0.00272177	0.0221683	0.0209219	0.0292073	0.0171281	0.00467615	0.157207
á	0.00118329	0.0204162	0.917306	0.0292093	0.00296245	0.00727092	0.0137764	0.00287248	0.000903287	0.000690605	0.000247057	0.00144855	0.00171381
m	0.00316251	0.0192073	0.870005	0.0492639	0.00495655	0.0136934	0.0159001	0.00423443	0.00333999	0.00285163	0.00123109	0.000892885	0.0112613
i	0.0047572	0.0841983	0.577991	0.246803	0.0366493	0.00483494	0.0173031	0.00375583	0.00582216	0.0059512	0.00271344	0.00108891	0.00813193
é	0.0142842	0.0775146	0.180572	0.523983	0.0738993	0.0106736	0.0189442	0.0103806	0.0206374	0.0114774	0.00994448	0.0027833	0.0449061
d	0.00632034	0.0164402	0.0537819	0.498049	0.245452	0.108117	0.0308306	0.0111024	0.00657281	0.00490981	0.00858547	0.0037276	0.00611076
í	0.000943334	0.00684229	0.0330864	0.291128	0.0859279	0.311923	0.00525998	0.0508249	0.0226487	0.0101047	0.0191688	0.0141584	0.147984
n	0.00208721	0.0111942	0.0501205	0.283974	0.127241	0.205863	0.0802629	0.0455384	0.0371258	0.0113955	0.021066	0.0209809	0.10315
ω	0.00337038	0.0119563	0.000908438	0.117401	0.767064	0.0277574	0.00145121	0.02428	0.0122593	0.0138291	0.00476937	0.000951642	0.0140021
t	0.00133693	0.0240378	0.0140248	0.239587	0.47613	0.17604	0.00224511	0.0376427	0.00758348	0.00461947	0.00342815	0.00252967	0.0107953
ó	0.00349382	0.0203083	0.166897	0.311184	0.077487	0.118183	0.181572	0.065074	0.0190068	0.00974295	0.00292775	0.00603547	0.018089
o	0.000337935	0.00640206	0.134154	0.192284	0.0978749	0.265517	0.065201	0.0340181	0.0231285	0.0194605	0.0124154	0.0251168	0.124089
b	0.00241516	0.0123855	0.0048904	0.0748607	0.306427	0.306523	0.104052	0.0788288	0.041375	0.0146763	0.0209199	0.00304763	0.0295985
h	0.00280411	0.00219704	0.00286877	0.0549237	0.0633195	0.0819445	0.572365	0.0958421	0.0708839	0.0282811	0.00712754	0.00628653	0.0111558
ó	0.000542476	0.000465534	0.00248923	0.0716354	0.0591885	0.0722214	0.580755	0.0740149	0.0907758	0.0226007	0.00335151	0.00156905	0.0203903
o	0.000377417	0.00294557	0.00532546	0.072425	0.0635229	0.135476	0.531114	0.100571	0.046997	0.0170502	0.00673493	0.00166618	0.0157945
m	0.000767345	0.00268342	0.00180916	0.0148659	0.0319781	0.258088	0.128579	0.405195	0.116588	0.0188528	0.01014	0.00355527	0.00689847
ó	0.000923622	0.0497707	0.0173876	0.0305114	0.0190196	0.2271	0.0425233	0.131463	0.111702	0.0641922	0.0496447	0.0204056	0.235356
n	0.000639845	0.00625553	0.00261917	0.0232743	0.0327606	0.133725	0.0497823	0.494251	0.146732	0.0384185	0.0206202	0.0425943	0.00832686
d	0.00264958	0.007365	0.00056154	0.012204	0.160633	0.0924219	0.00238732	0.557072	0.0867713	0.0423435	0.00928542	0.00265369	0.0236512
i	0.00030019	0.00179206	0.000341625	0.00304382	0.146077	0.119445	0.00921926	0.610054	0.0376498	0.0276633	0.00673951	0.00785719	0.0298182
e	2.81319e-05	0.00109829	0.000312908	0.0129236	0.0833642	0.131028	0.0060263	0.530417	0.0665751	0.0614915	0.026096	0.0138543	0.066785
m	0.000146051	0.00339665	0.000506843	0.00817626	0.0316849	0.0231901	0.0422828	0.246037	0.359184	0.163726	0.0702593	0.00931684	0.0420932
