 	j'	irai	chez	lui	l'	an	prochain	</S>
n	0.965567	0.00724983	0.013549	0.00622936	0.00468444	0.00254312	0.000118089	5.9574e-05
g	0.997798	0.000572883	0.0011032	0.000326778	0.000165126	2.15685e-05	7.5372e-06	5.20326e-06
á	0.990351	0.00605244	0.00185292	0.00069376	0.000610183	0.000262724	0.000141764	3.53346e-05
l	0.228797	0.133721	0.238989	0.0697709	0.0619625	0.0725646	0.0655419	0.128653
í	0.620255	0.0573875	0.0679032	0.0404612	0.0323918	0.0363264	0.0333494	0.111925
i	0.0254378	0.407498	0.220029	0.06316	0.0784375	0.0676909	0.0489144	0.0888325
d	0.00122442	0.975888	0.00631961	0.00230222	0.0015921	0.00333456	0.00287398	0.00646496
z	0.000631237	0.996963	0.00147321	0.000122043	0.000137879	0.000113884	6.28675e-05	0.000495876
w	0.00779849	0.987783	0.00207231	0.000722191	0.000487671	0.000248307	5.88504e-05	0.000829544
a	0.00651407	0.333566	0.230669	0.225322	0.0697109	0.0439717	0.00384076	0.0864063
m	0.00209782	0.0335666	0.524687	0.152547	0.0834194	0.0320469	0.00636167	0.165273
b	0.00123498	0.0436452	0.794865	0.106256	0.0327938	0.0118806	0.000551084	0.00877391
v	0.000266165	0.00230763	0.914379	0.0531756	0.0184047	0.00816468	0.000425334	0.00287702
á	0.000930706	0.0177851	0.832284	0.0894835	0.0397045	0.00822658	0.000871293	0.0107146
a	0.0041018	0.0119413	0.635579	0.201693	0.0675832	0.0159655	0.00128516	0.0618508
w	0.000145407	0.00124253	0.138768	0.585844	0.212865	0.0423455	0.00381244	0.0149768
a	0.00350648	0.00337016	0.112017	0.44678	0.288428	0.0823931	0.0263652	0.037139
o	0.00076792	0.00114881	0.0844793	0.443811	0.325257	0.0857519	0.0155516	0.0432332
b	0.000230126	0.0335765	0.0221999	0.119227	0.385133	0.318593	0.0811952	0.0398443
v	0.000241814	0.0343202	0.162625	0.0991191	0.238544	0.276453	0.15318	0.0355166
ú	0.000181037	0.00517619	0.299534	0.14238	0.174272	0.318296	0.0297348	0.0304258
m	0.00512793	0.000486378	0.0689701	0.208363	0.343098	0.234236	0.0176644	0.122054
ώ	0.000671997	0.000231146	0.0380464	0.12809	0.186725	0.425447	0.0230301	0.197759
ώ	0.000406037	0.00212851	0.0123063	0.0564871	0.128548	0.437798	0.286925	0.0754013
y	0.00121923	0.00649264	0.0177549	0.0228359	0.056108	0.253798	0.589507	0.0522851
a	0.000271446	0.0136832	0.00620133	0.0257608	0.0449598	0.0421659	0.55394	0.313018
a	0.000195009	0.00167448	0.00571981	0.0254383	0.0465283	0.0448559	0.308937	0.566651
</S>	0.000340661	0.000352802	0.00473586	0.0194221	0.025615	0.0653317	0.466356	0.417846
