 	c'	est	vraiment	toi	qui	me	pose	ce	genre	de	question	</S>
o	0.481959	0.118695	0.131449	0.0597141	0.0500716	0.0269013	0.017311	0.0409316	0.0428485	0.00857086	0.00134069	0.020207
m	0.00527842	0.0131325	0.00701225	0.00985124	0.0778933	0.0337356	0.597181	0.101753	0.0662589	0.0073805	0.0226486	0.0578744
a	0.00103335	0.00139235	0.000772314	0.000631353	0.0285422	0.00829287	0.882647	0.010568	0.0117032	0.00110665	0.0520796	0.00123142
a	0.00482919	0.00632333	0.00482499	0.00379739	0.0767254	0.00882679	0.716517	0.02307	0.0632534	0.00297313	0.0264717	0.0623872
s	0.0146948	0.07603	0.0813659	0.0598119	0.154793	0.136963	0.174557	0.108416	0.0769941	0.0337784	0.024529	0.0580673
i	0.0346952	0.075496	0.130774	0.0580633	0.14723	0.0631089	0.0341228	0.0954767	0.0870548	0.170412	0.022219	0.0813481
n	0.0110182	0.0439498	0.0882845	0.0925543	0.0670472	0.279138	0.0436576	0.128802	0.0515321	0.112349	0.0145574	0.0671104
g	0.00895199	0.00555621	0.0384835	0.168633	0.16105	0.278528	0.00984234	0.1248	0.016246	0.0951184	0.0674273	0.025362
á	0.000988858	0.00152354	0.0116179	0.100319	0.158008	0.388222	0.0273587	0.105016	0.0216738	0.0493209	0.0885237	0.0474263
b	0.00220647	0.00203179	0.00822366	0.0129316	0.0366811	0.054034	0.0375597	0.217985	0.118022	0.407374	0.0750527	0.0278981
v	0.0205337	0.0258861	0.0286252	0.0419063	0.0227245	0.0248753	0.0459498	0.0490488	0.403332	0.100626	0.174768	0.0617239
ú	0.000411855	0.00186372	0.00467232	0.0287195	0.0202462	0.0714081	0.04671	0.154307	0.465723	0.142157	0.0292437	0.0345373
u	0.00325935	0.0074308	0.0163574	0.00601207	0.0332093	0.0218275	0.0476072	0.134891	0.114244	0.334794	0.256603	0.0237644
k	0.00488115	0.00523141	0.0149201	0.0232996	0.0328127	0.0520704	0.0180831	0.114117	0.115666	0.354387	0.0854297	0.179102
á	0.00394168	0.0137814	0.0166601	0.0264312	0.0369214	0.0247705	0.00957709	0.0568399	0.158256	0.225641	0.0674831	0.359696
a	0.0016241	0.00838031	0.0190502	0.033692	0.0128821	0.0854765	0.0169991	0.0468277	0.131109	0.116178	0.0274597	0.500321
n	0.00506267	0.00682788	0.0104265	0.014336	0.0207208	0.0681208	0.00657496	0.0582888	0.0514451	0.372809	0.0377747	0.347613
ω	0.00406132	0.00318891	0.0110864	0.0364711	0.0348518	0.154075	0.0050862	0.0348647	0.0109818	0.178916	0.0676802	0.458736
</S>	0.000242541	0.000528846	0.00191055	0.00676578	0.00824459	0.0235428	0.00263848	0.017931	0.00637165	0.0527434	0.00927041	0.86981
