 	il	n'	aime	pas	être	battu	au	jeu	</S>
w	0.924642	0.0619572	0.000672758	0.0101908	0.00103931	0.000564891	0.000846534	5.53791e-05	3.13675e-05
a	0.863084	0.0836033	0.000261788	0.0459448	0.0011126	0.00103753	0.00483261	0.000113931	9.44261e-06
a	0.481462	0.449697	0.0186684	0.0365488	0.00327754	0.00374408	0.0044701	0.000483156	0.00164883
d	0.119781	0.512923	0.169648	0.0420927	0.0572914	0.0546121	0.00942286	0.00352545	0.0307027
i	0.0866061	0.741303	0.118895	0.0100679	0.00328768	0.00561371	0.000991437	0.00030886	0.0329262
p	0.0683006	0.193814	0.434847	0.199877	0.0165164	0.0246477	0.0120633	0.00284929	0.0470853
ó	0.00550861	0.0847993	0.755443	0.055667	0.0674534	0.00937356	0.00130827	0.00928167	0.0111652
s	0.00270314	0.0251594	0.943291	0.0123849	0.00673455	0.00342199	0.000842277	0.00112158	0.00434093
á	0.00533734	0.0350032	0.901223	0.0387568	0.00491045	0.00505051	0.0034849	0.00230049	0.00393339
b	0.0864825	0.0270394	0.0774428	0.595191	0.145875	0.038029	0.0181208	0.00779097	0.00402889
á	0.0171632	0.0310503	0.365168	0.102248	0.41913	0.0272787	0.00280782	0.0318164	0.00333729
a	0.00683296	0.00325963	0.0140681	0.0846822	0.776216	0.0493675	0.00582812	0.0411998	0.0185458
b	0.00336502	0.0185015	0.150641	0.240492	0.214788	0.276975	0.036387	0.00703255	0.0518181
h	0.00852821	0.0216263	0.0597381	0.0796752	0.532302	0.243989	0.0192715	0.0273205	0.00754832
é	0.0013265	0.0067127	0.0534157	0.0509035	0.437734	0.381233	0.0238796	0.0115472	0.0332485
l	0.00058324	0.00287118	0.0308189	0.0541204	0.160511	0.524513	0.0988113	0.0128677	0.114904
á	0.00243566	0.00631446	0.0563316	0.164179	0.203947	0.285834	0.123959	0.0436276	0.113372
w	0.0123859	0.00430431	0.0115918	0.205375	0.12993	0.163026	0.324168	0.108282	0.0409365
a	0.0212756	0.00760575	0.00467872	0.141083	0.43329	0.133312	0.14896	0.0918861	0.017908
k	0.00193269	0.000819786	0.00765344	0.0841804	0.105465	0.144478	0.349802	0.226339	0.0793286
a	0.000963955	0.0040876	0.0191513	0.032968	0.0895445	0.172693	0.0721153	0.55956	0.0489166
á	0.000203309	0.000689063	0.0192271	0.0105605	0.0633728	0.237918	0.0412814	0.410543	0.216205
</S>	0.00258045	0.00289793	0.00707752	0.0215792	0.0209914	0.0660469	0.219019	0.14168	0.518128
