 	c'	est	un	homme	bourru	mais	brave	</S>
a	0.374565	0.362842	0.159563	0.0764326	0.019713	0.00631506	0.000450337	0.000120095
d	0.0320166	0.474362	0.365667	0.0600472	0.0504327	0.00691136	0.00966241	0.000900745
í	0.0433477	0.426446	0.207439	0.233037	0.0578473	0.013528	0.00254589	0.0158097
l	0.0236155	0.123499	0.28937	0.145769	0.0136245	0.00579884	0.0136625	0.38466
o	0.0262518	0.0317804	0.100577	0.334139	0.0367162	0.0365117	0.0159184	0.418106
n	0.00391444	0.0132934	0.128836	0.135287	0.438017	0.0583999	0.130441	0.0918114
y	0.00218732	0.00398345	0.0445577	0.0511282	0.854848	0.0182073	0.0134953	0.0115927
a	0.0137257	0.0167067	0.0901762	0.0472961	0.749021	0.062671	0.00973449	0.0106685
m	0.0153964	0.0395226	0.33005	0.0573356	0.22916	0.0760102	0.0739192	0.178606
a	0.0594435	0.0326427	0.273553	0.19708	0.298605	0.069529	0.00917044	0.0599764
n	0.0694685	0.0294158	0.151909	0.217454	0.228416	0.13593	0.0237723	0.143636
d	0.018834	0.00532227	0.0145326	0.024543	0.313985	0.425532	0.0430878	0.154164
z	0.00146115	0.000770069	0.00318405	0.00632883	0.261292	0.638968	0.0501769	0.037819
á	0.000154817	0.000359714	0.00553559	0.00754982	0.396593	0.467317	0.106159	0.0163309
á	0.0106013	0.0216541	0.14087	0.0444771	0.200317	0.164451	0.167105	0.250524
a	0.0340548	0.0157134	0.0780497	0.0896917	0.137463	0.490567	0.0837728	0.0706875
d	0.0190259	0.0246916	0.0305839	0.0241718	0.0279262	0.226016	0.342562	0.305023
í	0.00288514	0.00344386	0.00247592	0.00651923	0.00444895	0.112792	0.184237	0.683199
n	0.00448187	0.0019522	0.00640632	0.00741276	0.00450967	0.0859059	0.375168	0.514163
d	0.000514809	0.000402244	0.00113273	0.00208558	0.00587697	0.0687726	0.753645	0.16757
z	0.00020183	0.000188629	0.000708524	0.000766574	0.00854399	0.0828108	0.662995	0.243785
a	8.51961e-06	1.57415e-05	0.00021998	0.000151376	0.00397262	0.0500355	0.912414	0.0331827
n	0.000101796	0.000129884	0.00192464	0.00104425	0.0133634	0.0608147	0.571823	0.350799
g	0.00151478	0.00366646	0.0128474	0.00386377	0.0137489	0.0388977	0.6494	0.276061
á	0.000377984	0.000638689	0.00326867	0.000752065	0.0172016	0.0904991	0.381998	0.505264
</S>	0.00426295	0.00403438	0.0123677	0.00468766	0.00355084	0.0250663	0.168178	0.777852
