 	le	véhicule	du	prêtre	est	tombé	en	panne	</S>
o	0.803153	0.0890183	0.0550579	0.0281351	0.0103079	0.00690504	0.00609382	0.000632172	0.000696403
t	0.0750312	0.894576	0.00670545	0.00808789	0.00162676	0.00653458	0.00193755	0.00263398	0.00286659
ω	0.0105089	0.947506	0.00966083	0.016528	0.00132487	0.00913999	0.000642755	0.00271021	0.00197818
m	0.0283749	0.937867	0.014504	0.00864289	0.000788221	0.00193872	0.00129215	0.00322023	0.00337205
b	0.150088	0.669843	0.073206	0.0221132	0.0176675	0.0173037	0.00542801	0.00694953	0.0374011
í	0.128255	0.605579	0.03727	0.00817416	0.0294997	0.0438829	0.00938998	0.0137516	0.124198
l	0.145333	0.0686351	0.638594	0.0422258	0.0163796	0.00408722	0.00703798	0.00364566	0.0740617
i	0.223456	0.127294	0.13934	0.179118	0.0219521	0.0370527	0.0157463	0.0266072	0.229432
m	0.130583	0.0314276	0.50652	0.162682	0.0879758	0.012952	0.0301336	0.00514371	0.032582
á	0.192529	0.0279928	0.0481807	0.0106854	0.442334	0.080556	0.142824	0.0088939	0.046003
p	0.248334	0.0253151	0.131619	0.143662	0.234733	0.0935791	0.0520748	0.0379397	0.0327422
έ	0.0398559	0.0149042	0.0375948	0.485196	0.204053	0.140358	0.0219174	0.0386218	0.0174984
l	0.0415074	0.0337302	0.265615	0.214358	0.114793	0.052422	0.0342464	0.0680503	0.175278
ε	0.00837677	0.00692404	0.0711712	0.445381	0.177821	0.149982	0.0377351	0.0325768	0.0700321
ó	0.0297365	0.00595744	0.144243	0.0613387	0.294694	0.10639	0.281897	0.0278405	0.0479031
m	0.0377582	0.0075936	0.0204541	0.0272115	0.266025	0.290311	0.223663	0.0915949	0.0353887
i	0.0246206	0.0107178	0.00730249	0.00114962	0.0781308	0.145585	0.361108	0.235126	0.136259
d	0.00217314	0.00468444	0.00106151	0.00148347	0.0233991	0.187798	0.14188	0.478526	0.158994
z	0.000759225	0.0009192	0.000781708	0.00117561	0.0134731	0.23558	0.22766	0.240995	0.278655
ó	0.00283513	0.00365377	0.00412684	0.0106596	0.0868009	0.322477	0.231315	0.130751	0.207381
n	0.00161157	0.000729036	0.0063017	0.00252341	0.042668	0.135355	0.126114	0.263814	0.420883
a	0.00294381	0.0110297	0.0137593	0.0081726	0.0334094	0.163389	0.183055	0.325152	0.25909
a	0.0034303	0.000950388	0.0199183	0.00445583	0.0692753	0.0480572	0.211339	0.0926341	0.549939
</S>	0.0261694	0.00333096	0.0210942	0.00765741	0.0586864	0.0682597	0.251868	0.190983	0.371951
