 	abrège	ton	discour	</S>
k	0.90051	0.0926984	0.00581002	0.000981437
y	0.92634	0.0413675	0.0267166	0.0055762
é	0.975042	0.00663709	0.00945634	0.00886463
n	0.560371	0.202622	0.182107	0.0549008
á	0.516229	0.193617	0.146244	0.143909
d	0.599515	0.188735	0.100632	0.111117
z	0.328431	0.128004	0.201177	0.342388
ú	0.0650213	0.166963	0.532846	0.235169
e	0.154281	0.146108	0.280552	0.419059
l	0.0706386	0.0203408	0.0471462	0.861874
á	0.0407385	0.222742	0.074659	0.66186
n	0.00847315	0.848823	0.0855639	0.0571399
ω	0.000474779	0.607966	0.374948	0.0166105
</S>	0.00369256	0.127511	0.144515	0.724282
