 	je	lui	ai	confié	mon	enfant	</S>
n	0.866581	0.0754178	0.0120964	0.00916007	0.036369	0.000167953	0.000207701
g	0.939965	0.0179804	0.0156683	0.00250943	0.023742	0.000107231	2.80086e-05
á	0.828723	0.0448811	0.0906557	0.0164877	0.0115373	0.00757006	0.000145271
í	0.0372199	0.262795	0.28494	0.186516	0.0495941	0.0482865	0.130648
k	0.0303145	0.0761262	0.194862	0.604977	0.0102632	0.0140308	0.0694261
ú	0.00127056	0.0217129	0.0718918	0.844077	0.00175955	0.00823616	0.0510525
l	0.00112185	0.00705318	0.107394	0.865164	0.0126179	0.000754241	0.0058947
u	0.0012489	0.00994122	0.19731	0.761186	0.0102646	0.00111377	0.0189355
m	0.0066786	0.240067	0.381224	0.153514	0.125774	0.00456784	0.0881743
w	0.00177621	0.067314	0.029303	0.0549319	0.0290852	0.791777	0.0258131
á	0.00142355	0.0227545	0.0258255	0.178912	0.0119577	0.749998	0.00912913
n	0.0327034	0.320116	0.146111	0.0228008	0.139849	0.302517	0.0359032
a	0.00721275	0.149185	0.382827	0.274464	0.0930241	0.044542	0.0487447
y	0.00255423	0.0683737	0.152735	0.179632	0.514778	0.0190416	0.0628852
a	0.00386902	0.0280519	0.261118	0.291646	0.288312	0.0329826	0.0940208
n	0.00244547	0.0211381	0.0922087	0.0453194	0.748901	0.0674396	0.0225474
g	0.00805137	0.00334122	0.130106	0.0634101	0.75235	0.00902635	0.0337151
á	0.00400055	0.0119608	0.127559	0.0272501	0.533806	0.0295859	0.265838
m	0.000550001	0.0141233	0.0771274	0.036209	0.507895	0.0606956	0.3034
á	0.000115037	0.00277083	0.00539419	0.00746598	0.059802	0.450803	0.473649
b	0.000699839	0.0130452	0.0214441	0.0291416	0.251892	0.184208	0.499569
ώ	0.00586277	0.00903872	0.107341	0.109788	0.368611	0.249005	0.150355
ω	0.000275288	0.00177379	0.0684509	0.119082	0.28547	0.087002	0.437946
m	0.000137306	0.00231765	0.0147448	0.0181667	0.199621	0.0313654	0.733648
á	0.00108527	0.00802781	0.00610893	0.00575923	0.0877742	0.578954	0.312291
w	0.000508879	0.0075909	0.0119128	0.0130763	0.486842	0.0881676	0.391902
a	0.00457238	0.017323	0.0885683	0.0429559	0.433211	0.0852819	0.328087
</S>	0.000949802	0.00339499	0.0114006	0.00228795	0.254392	0.0342285	0.693347
