 	cet	homme	est	un	brigand	</S>
m	0.723547	0.260011	0.0100049	0.00582223	9.06432e-05	0.000523884
o	0.759886	0.207513	0.0168745	0.00588598	0.000642504	0.00919795
r	0.743898	0.210489	0.0183156	0.0149964	0.00824466	0.00405603
o	0.786951	0.119753	0.0116195	0.0125368	0.0412385	0.0279016
w	0.849528	0.0935516	0.0279726	0.010235	0.0016385	0.0170745
ú	0.545552	0.017269	0.182098	0.120953	0.0145108	0.119618
u	0.295296	0.0336804	0.417962	0.12243	0.02416	0.106471
a	0.0415973	0.0163048	0.70966	0.168175	0.0101104	0.0541519
d	0.00466537	0.00440333	0.609437	0.32264	0.0394087	0.0194449
i	0.000740058	0.000951187	0.430043	0.230412	0.0716491	0.266205
e	0.00503998	0.000844958	0.243743	0.51626	0.0642013	0.169911
n	0.00267352	0.00600455	0.0955748	0.203465	0.398462	0.293821
d	0.0184746	0.000923458	0.123949	0.313571	0.276664	0.266418
z	0.00542659	0.000738736	0.0357745	0.0907266	0.650697	0.216636
ó	0.0177968	0.00366621	0.0508411	0.0709515	0.693175	0.16357
</S>	0.0477208	0.000986996	0.0402436	0.0485706	0.228519	0.633959
