 	nous	avons	arrêté	un	voleur	la	nuit	</S>
b	0.340946	0.546685	0.0184711	0.0359999	0.00410064	0.018627	0.0338529	0.00131761
í	0.878815	0.0623389	0.01528	0.0202884	0.0122459	0.00837821	0.00211385	0.000539595
s	0.974199	0.0156166	0.00253076	0.00195142	0.00528383	0.000252601	1.96422e-05	0.000146413
í	0.711463	0.131815	0.0144352	0.0230326	0.103349	0.00991196	9.18996e-05	0.00590149
l	0.0220287	0.490066	0.167295	0.0597957	0.012879	0.0546489	0.00771831	0.185568
é	0.0395923	0.267567	0.286318	0.077432	0.00610039	0.0971775	0.00229834	0.223514
p	0.00586436	0.433922	0.523688	0.0244572	0.00385814	0.00412965	0.000193552	0.00388722
i	0.0104687	0.235884	0.621303	0.0803635	0.00995471	0.00937533	0.0262425	0.00640853
i	0.00568158	0.202435	0.648236	0.0972343	0.0115395	0.017406	0.00462462	0.0128432
m	0.0583691	0.0596146	0.15033	0.338519	0.187832	0.156545	0.0131217	0.0356675
ú	0.00614355	0.00172662	0.0069646	0.0536121	0.912656	0.0062265	0.000170632	0.0125
b	0.00741555	0.0144507	0.11461	0.239644	0.572126	0.0219154	0.00298456	0.0268536
h	0.152622	0.00663386	0.0209192	0.108236	0.0364756	0.229606	0.100706	0.344801
u	0.00628266	0.00155825	0.0128795	0.210505	0.272261	0.101085	0.156943	0.238487
l	0.000418966	0.000625332	0.021815	0.260706	0.025546	0.411031	0.192809	0.0870484
a	0.00287263	0.00430695	0.049404	0.195582	0.0181796	0.176067	0.115579	0.438009
k	0.013781	0.00126506	0.00713483	0.0506245	0.00877778	0.133839	0.570776	0.213802
ó	0.001066	0.000667426	0.00104046	0.011326	0.00434369	0.0192917	0.941233	0.0210316
l	0.000141823	0.000306487	0.00221339	0.0123161	0.00433286	0.00962792	0.942364	0.0286975
i	0.000338362	0.00155543	0.00982289	0.0521396	0.00371255	0.115916	0.66266	0.153856
</S>	0.00319542	0.00357996	0.0106565	0.0459217	0.00493028	0.221188	0.220751	0.489777
