 	j'	étais	assis	à	même	le	sol	</S>
n	0.6627	0.132038	0.046475	0.0654666	0.0474344	0.0414885	0.00268695	0.0017106
g	0.975812	0.0203841	0.00090567	0.00114414	0.00028519	0.000804605	0.000631404	3.30986e-05
á	0.833571	0.156038	0.004264	0.00345261	0.000584331	0.000774539	0.0012896	2.62415e-05
í	0.197486	0.54934	0.118306	0.0336354	0.0126101	0.0379377	0.00155461	0.0491304
d	0.0301659	0.665491	0.266071	0.0117815	0.0145781	0.00503182	0.000254772	0.00662579
z	0.00292702	0.520234	0.42411	0.0191689	0.0196091	0.00291537	7.0435e-05	0.0109653
e	0.00873433	0.129639	0.797505	0.0560076	0.00325277	0.00191392	0.000746222	0.00220136
d	0.0140562	0.0449735	0.374258	0.295801	0.143545	0.060941	0.00316539	0.0632596
z	0.00165965	0.0299719	0.605502	0.191838	0.0223936	0.0084491	0.0879046	0.0522818
a	0.000510499	0.0380216	0.862731	0.0907142	0.00104369	0.000456711	0.00563006	0.000892637
a	0.0025749	0.026434	0.503128	0.362351	0.0325384	0.0121818	0.0103151	0.0504769
ó	0.000439546	0.00198837	0.00599608	0.236455	0.471746	0.18302	0.00654997	0.0938056
t	0.00131597	0.00665275	0.0101468	0.125238	0.443927	0.2549	0.0788734	0.0789458
s	9.07778e-05	0.00225029	0.0135068	0.0609055	0.141237	0.0735532	0.505999	0.202457
é	3.30155e-05	0.000788094	0.0105569	0.0676954	0.14489	0.046593	0.568349	0.161094
</S>	0.000106714	0.000211678	0.00230767	0.0473976	0.193601	0.142278	0.108844	0.505253
