 	il	répare	la	bretelle	du	fusil	</S>
w	0.972109	0.00596524	0.0161882	0.00250799	0.00312556	2.83009e-05	7.56314e-05
a	0.982213	0.000351938	0.0109606	0.000729381	0.00542113	0.000257463	6.69788e-05
l	0.86065	0.0744748	0.0470913	0.00292302	0.00886606	0.00224962	0.0037453
á	0.185752	0.0646975	0.124209	0.0674931	0.0520693	0.0228425	0.482936
a	0.407067	0.0391042	0.152453	0.0954637	0.0759523	0.0321638	0.197796
l	0.00285454	0.924189	0.059181	0.0105858	0.00105384	0.000900975	0.00123447
o	0.00325156	0.781998	0.177266	0.0293909	0.00263461	0.000862546	0.00459685
n	0.00101157	0.834723	0.131806	0.0262645	0.00147234	0.000644896	0.00407717
d	0.00398473	0.349124	0.551434	0.0763904	0.00853788	0.000853771	0.00967573
á	0.0302662	0.267419	0.478282	0.118033	0.0221457	0.004138	0.079716
i	0.0223825	0.0062655	0.323493	0.223194	0.39767	0.0224929	0.00450266
l	0.00851496	0.0279552	0.0958907	0.722295	0.0892007	0.0472395	0.00890375
a	0.000403473	0.00487824	0.121924	0.688407	0.134218	0.0425478	0.0076221
m	0.00041679	0.00238454	0.084124	0.604861	0.229958	0.0647102	0.0135456
b	0.00119652	0.000684403	0.0363659	0.657653	0.151753	0.0158562	0.136492
í	0.00222049	0.00168937	0.0281658	0.679947	0.0880679	0.0125736	0.187335
l	0.00600964	0.00208721	0.093185	0.173688	0.438517	0.10046	0.186054
ó	0.00148406	0.00590568	0.0278279	0.118401	0.0978465	0.46188	0.286655
t	0.0106169	0.000974933	0.0152887	0.0180921	0.0893853	0.784172	0.0814699
á	0.000440743	0.000725357	0.00296985	0.00920471	0.0107922	0.959842	0.0160254
</S>	0.000637009	0.000279128	0.00269706	0.0147696	0.0205134	0.887685	0.0734187
