 	cet	enfant-là	s'	initie	à	la	pratique	du	kyebé-kyebé	</S>
m	0.973297	0.0177506	0.000860607	0.00134862	0.0015854	0.00101507	0.000806658	0.00152278	0.001139	0.000674722
w	0.228002	0.550565	0.0804198	0.125321	0.0084407	0.00372617	0.00145201	0.000879526	0.000100741	0.00109354
á	0.00877855	0.957522	0.000889426	0.031833	0.000363129	0.000234496	0.000103215	2.54631e-05	0.00016434	8.63068e-05
n	0.177871	0.805442	0.00274648	0.00574958	0.000810279	0.00082759	0.00119344	0.000123839	4.73115e-05	0.00518818
a	0.234259	0.528197	0.0351431	0.0630892	0.00960353	0.0074806	0.00841978	0.00189599	0.000167557	0.111744
w	0.775852	0.0833101	0.0903985	0.0112219	0.0059457	0.00584068	0.00578245	0.00824973	0.000928972	0.0124696
ú	0.378544	0.0941531	0.169784	0.0226604	0.0691552	0.051599	0.0895824	0.0472802	0.00999007	0.0672516
u	0.187473	0.0374632	0.574583	0.0371925	0.0382847	0.0240316	0.0339294	0.0240415	0.00550787	0.0374935
á	0.0751319	0.0318894	0.833443	0.0196171	0.0192662	0.00641201	0.00539842	0.00468693	0.000596744	0.00355846
m	0.00157884	0.0060627	0.329771	0.529819	0.0738275	0.017739	0.0133346	0.00971718	0.00411923	0.01403
i	0.00191023	0.00340511	0.298832	0.432838	0.166298	0.0552692	0.0211307	0.00997393	0.000413629	0.00992836
b	0.000432867	0.000591973	0.0512735	0.917234	0.0200289	0.00475676	0.00157105	0.00134126	0.000284203	0.00248536
h	0.000169085	0.000157649	0.0357651	0.925679	0.0271889	0.00350744	0.00249135	0.000545932	0.000340568	0.00415511
á	3.7082e-05	3.18841e-05	0.00315916	0.984853	0.00746176	0.00151218	0.000453188	0.000484449	0.000933516	0.00107354
n	0.000852318	0.00307739	0.0389787	0.455147	0.194357	0.0825829	0.0388916	0.0186374	0.131804	0.0356714
d	0.000975372	0.000448609	0.0245628	0.352831	0.341286	0.156618	0.087045	0.00473461	0.00486272	0.0266361
á	0.000821512	0.0001821	0.0106355	0.0708956	0.314625	0.362718	0.106093	0.0109839	0.00483826	0.118207
k	0.00298784	0.000431943	0.0370891	0.0213877	0.361062	0.413531	0.118733	0.0323921	0.00749404	0.00489132
y	8.13818e-05	3.76514e-05	0.000925456	0.00256128	0.0513174	0.104598	0.283021	0.0173145	0.518211	0.021932
e	0.000300659	4.72272e-05	0.000593458	0.00405873	0.0373473	0.144724	0.291049	0.0547582	0.445615	0.0215062
b	0.000437421	3.87817e-05	0.00415947	0.0058406	0.0659925	0.165483	0.25727	0.157017	0.272997	0.0707648
h	2.22042e-05	3.10327e-06	0.000521661	0.00454062	0.045644	0.128686	0.224999	0.0749482	0.172235	0.348399
é	0.000521933	0.000193374	0.0024225	0.030324	0.0942525	0.182699	0.250674	0.0873749	0.153812	0.197727
k	0.000137439	1.48319e-05	0.0019067	0.00186465	0.037086	0.0752949	0.198239	0.332188	0.131728	0.22154
y	0.000128477	1.28344e-05	0.000826635	0.000334853	0.0129169	0.0302913	0.214549	0.115026	0.443686	0.182229
e	0.000413965	9.371e-06	0.000500047	0.00234071	0.0064552	0.0114879	0.0392015	0.0694146	0.792808	0.0773684
b	0.000343644	7.24251e-06	0.000332348	0.0012853	0.00550525	0.0105532	0.0199293	0.0757486	0.775852	0.110443
h	1.77382e-05	6.35772e-07	8.34911e-05	0.000350238	0.00641454	0.0213221	0.0526805	0.112992	0.573854	0.232285
é	0.000984309	0.000181134	0.00123885	0.0155759	0.0190697	0.0419004	0.0832937	0.095636	0.460173	0.281947
</S>	0.000218052	1.69542e-05	0.00138485	0.00222271	0.0134855	0.0246007	0.0462257	0.307007	0.154369	0.45047
